nama_kantor,wilayah_administrasi,kecamatan,kelurahan,alamat_kantor,latitude,longitude,telepon,faxsimile
Kantor Walikota Jakarta Utara,Jakarta Utara,Kec. Tanjung Priok,Kel. Kebon Bawang,"Jl. Yos Sudarso, RT.8/RW.14 Kav.27-29",-6.120065,106.892275,021 4301124,021 4357401
Kantor Camat Kelapa Gading,Jakarta Utara,Kec. Kelapa Gading,Kel. Kelapa Gading Timur,Jl. Boulevard Timur Raya No. 1,-6.151319,106.904672,021 4501336,021 4501337
Kantor Lurah Kelapa Gading Timur,Jakarta Utara,Kec. Kelapa Gading,Kel. Kelapa Gading Timur,Jl. Gading Elok Barat III Blok DS No.1,-6.166644,106.902424,021 45858044,021 45858044
Kantor Lurah Pegangsaan Dua,Jakarta Utara,Kec. Kelapa Gading,Kel. Pegangsaan Dua,Jl. Raya Kelapa Nias Blok PA. 3 No. 8,-6.154413,106.910807,021 45841273,021 45866487
Kantor Lurah Kelapa Gading Barat,Jakarta Utara,Kec. Kelapa Gading,Kel. Kelapa Gading Barat,Jalan Tabah I No.4 Komplek TNI-AL Kodamar RT.008 RW.02 ,-6.162897,106.884723,021 4503169,021 4527857
Kantor Camat Penjaringan,Jakarta Utara,Kec. Penjaringan,Kel. Penjaringan,Jl Pluit Raya 5 RT.21/RW.08,-6.126705,106.793906,021 6692051,021 6692051
Kantor Lurah Penjaringan,Jakarta Utara,Kec. Penjaringan,Kel. Penjaringan,Jl.Pluit Selatan Raya No.1 RT.007 RW.07,-6.125477,106.800805,021 66603795,021 66603795
Kantor Lurah Pejagalan,Jakarta Utara,Kec. Penjaringan,Kel. Pejagalan,Jl. Boncel No. 1 Teluk Gongﾠ,-6.133556,106.779851,021 6694091,021 6694091
Kantor Lurah Kamal Muara,Jakarta Utara,Kec. Penjaringan,Kel. Kamal Muara,Jl. Kamal Muara Raya No. 8,-6.098341,106.714253,021 5550302,021 5550302
Kantor Lurah Kapuk Muara,Jakarta Utara,Kec. Penjaringan,Kel. Kapuk Muara,Jl. SMP 122 No.1 RT.001/RW.03,-6.136835,106.763755,021 6192425,021 5401151
Kantor Lurah Pluit,Jakarta Utara,Kec. Penjaringan,Kel. Pluit,Jl. Pluit Karang Permai RT.006/RW.08,-6.12192,106.775666,021 6603729,021 6626557
Kantor Camat  Tanjung Priok,Jakarta Utara,Kec. Tanjung Priok,Kel. Kebon Bawang,Yos Sudarso No.22 RT.16/RW.06,-6.116628,106.892764,021 43935429,021 43935429
Kantor Lurah Tanjung Priok,Jakarta Utara,Kec. Tanjung Priok,Kel. Tanjung Priok,Jl. Tenggiri No. 47 RT.004/08,-6.112824,106.881502,021 4371702,021 43931256
Kantor Lurah Sungai Bambu,Jakarta Utara,Kec. Tanjung Priok,Kel. Sungai Bambu,Jalan Ganggang Raya No.16 RT.013/01,-6.116196,106.881013,021 43930089,021 4371709
Kantor Lurah Kebon Bawang ,Jakarta Utara,Kec. Tanjung Priok,Kel. Kebon Bawang,Jl. Swasembada Timur No. 1,-6.115853,106.888722,021 43930832,021 43930832
Kantor Lurah Warakas,Jakarta Utara,Kec. Tanjung Priok,Kel. Warakas,Jl. Warakas III Gg. XIV No.9 RT.13/03,-6.119739,106.875361,021 4371704,021 4371704
Kantor Lurah Sunter Jaya ,Jakarta Utara,Kec. Tanjung Priok,Kel. Sunter Jaya,Jl. Bentengan Tim VI No. 1 RT. 007/05,-6.149698,106.867397,021 6506000,021 6506000
Kantor Lurah Sunter Agung,Jakarta Utara,Kec. Tanjung Priok,Kel. Sunter Agung,Jl. Sunter Karya Utara Blok G No. 2 RT.014/13,-6.139265,106.871217,021 6459933,021 6459933
Kantor Lurah Papanggo,Jakarta Utara,Kec. Tanjung Priok,Kel. Papanggo,Jl. Bisma Timur II No.1 RT.012/09,-6.13017,106.871322,021 65300278,021 65300278
Kantor Camat Koja,Jakarta Utara,Kec. Koja,Kel. Lagoa, Jl. Mangga No. 49,-6.117971,106.910785,021 43930778,021 43930778
Kantor Lurah Rawabadak Selatan,Jakarta Utara,Kec. Koja,Kel. Rawabadak Selatan,Jl. Alur Laut No.7 RT.009/04,-6.128293,106.898815,021 43900417,021 43900417
Kantor Lurah Koja,Jakarta Utara,Kec. Koja,Kel. Koja,Jl. Inspeksi Kali Sunter No.1 RW.009,-6.16636,106.88136,021 43931927,021 4371711
Kantor Lurah Rawabadak Utara,Jakarta Utara,Kec. Koja,Kel. Rawabadak Utara,Jln. Alur Laut Utara No. 1,-6.11916,106.898729,021 43930174,021 4371705
Kantor Lurah Tugu Selatan,Jakarta Utara,Kec. Koja,Kel. Tugu Selatan,Jl. Bendungan Melayu Utara No.1 RT.002 RW.02,-6.131308,106.908043,021 4301555,021 4371707
Kantor Lurah Lagoa,Jakarta Utara,Kec. Koja,Kel. Lagoa,Jl. Mangga No. 7 RT. 016 RW. 08,-6.114078,106.910727,021 43930187,021 4371710
Kantor Lurah Tugu Utara,Jakarta Utara,Kec. Koja,Kel. Tugu Utara,Jl.Mahoni Selatan No.1 Gg.A RT.014/10,-6.122828,106.912973,021 43571705,021 4371708
Kantor Camat Cilincing,Jakarta Utara,Kec. Cilincing,Kel. Cilincing,Jl. Sungai Landak No.7 ,-6.102511,106.939186,021 4403179,021 4403179
Kantor Lurah Cilincing,Jakarta Utara,Kec. Cilincing,Kel. Cilincing,Jalan Cilincing Bakti VI No.2,-6.109162,106.938919,021 4405558,021 4405558
Kantor Lurah Kalibaru,Jakarta Utara,Kec. Cilincing,Kel. Kalibaru,Jl. Kalibaru Timur II No.60,-6.102268,106.92894,021 4401884,021 4404079
Kantor Lurah Semper Barat,Jakarta Utara,Kec. Cilincing,Kel. Semper Barat,Jl. Pemadam Kebakaran No. 1 ,-6.130436,106.92774,021 4400808,021 4417257
Kantor Lurah Semper Timur,Jakarta Utara,Kec. Cilincing,Kel. Semper Timur,Jalan Madya Kebantenan No. 20 ,-6.112727,106.92611,021 4405089,021 4405089
Kantor Lurah Marunda ,Jakarta Utara,Kec. Cilincing,Kel. Marunda,Jl. Marunda Baru No.5 RW.06 ,-6.124655,106.958301,021 44851565,021 44851565
Kantor Lurah Rorotan,Jakarta Utara,Kec. Cilincing,Kel. Rorotan,Jl. Rorotan IV No. 4,-6.151899,106.956046,021 44850556,021 44850556
Kantor Lurah Sukapura,Jakarta Utara,Kec. Cilincing,Kel. Sukapura,Jl Tipar Cakung No. 17 RT. 010/01,-6.148037,106.924159,021 44837320,021 44837320
Kantor Camat Pademangan ,Jakarta Utara,Kec. Pademangan,Kel. Pademangan Barat,Jl. GOR Pademangan No. 1 ,-6.133156,106.837045,021 6459956,021 6459956
Kantor Lurah Ancol,Jakarta Utara,Kec. Pademangan,Kel. Ancol,Jl. Ancol Barat III No. 1,-6.123823,106.817269,021 6925911,021 6925911
Kantor Lurah Pademangan Timur,Jakarta Utara,Kec. Pademangan,Kel. Pademangan Timur,Jl. Pademangan VII RT. 004 RW.10 No.44,-6.130801,106.845358,021 64711817,021 64702807
Kantor Lurah Pademangan Barat,Jakarta Utara,Kec. Pademangan,Kel. Pademangan Barat,Jl Budi Mulia Raya RT 015 RW 011 ,-6.132591,106.840214,021 64712283,021 64712283
Kantor Walikota Jakarta Barat,Jakarta Barat,Kec. Kembangan ,Kel. Kembangan Selatan,Jalan Raya Kembangan No. 2,-6.185834,106.737469,021 5821722,021 5821721
Kantor Camat Cengkareng,Jakarta Barat,Kec. Cengkareng,Kel. Ceng - Barat,Jl. Kamal Raya No. 1 ,-6.150372,106.726847,021 6192673,021 6193590
Kantor Lurah Cengkareng Barat,Jakarta Barat,Kec. Cengkareng,Kel. Ceng - Barat,Jl. Utama Raya No. 1 ,-6.149718,106.721162,021 6190223,021 6190223
Kantor Lurah Cengkareng Timur,Jakarta Barat,Kec. Cengkareng,Kel. Ceng - Timur,Jl. Fajar Baru Utara No.16A,-6.145135,106.733355,021 6198529,021 6198529
Kantor Lurah Kapuk,Jakarta Barat,Kec. Cengkareng,Kel. Kapuk,Jl.Kapuk Raya RT.002 RW.03 No.1,-6.131364,106.746135,021 6191876,021 6191976
Kantor Lurah Duri Kosambi,Jakarta Barat,Kec. Cengkareng,Kel. Duri Kosambi,Jl. Duri Kosambi Raya No.9,-6.168777,106.722122,021 6193045,021 6193045
Kantor Lurah Rawa Buaya,Jakarta Barat,Kec. Cengkareng,Kel. Rawa Buaya,Jalan Bojong Raya RT.005/04,-6.170786,106.731163,021 5813733,021 5814376
Kantor Lurah Kedaung Kali Angke,Jakarta Barat,Kec. Cengkareng,Kel. Kedaung Kali Angke,Komplek Dept. Agama RT.016 RW.003,-6.153571,106.762131,021 54373623,021 54373623
Kantor Camat Grogol Petamburan,Jakarta Barat,Kec. Grogol Petamburan,Kel. Tj. Duren Utara,Jl. Tanjung Duren Barat IV No. 2 ,-6.178131,106.78324,021 5604330,021 5604330
Kantor Lurah Grogol,Jakarta Barat,Kec. Grogol Petamburan,Kel. Grogol,Jl. Nurdin Raya No. 41-43 RT. 009 RW. 08 ,-6.159235,106.793382,021 5684967,021 5684967
Kantor Lurah Jelambar Baru,Jakarta Barat,Kec. Grogol Petamburan,Kel. Jelambar Baru,Jl. Taman Duta Mas Blok A/5,-6.147199,106.781481,021 5668923,021 5668923
Kantor Lurah Tanjung Duren Selatan,Jakarta Barat,Kec. Grogol Petamburan,Kel. Tj. Duren Selatan,Jl. Tanjung Duren Timur Dalam VI,-6.18116,106.787935,021 5632791,021 5632791
Kantor Lurah Tanjung Duren Utara,Jakarta Barat,Kec. Grogol Petamburan,Kel. Tj. Duren Utara,Jl. Tanjung Duren Raya No.2,-6.173333,106.789006,021 5671743,021 5671743
Kantor Lurah Tomang,Jakarta Barat,Kec. Grogol Petamburan,Kel. Tomang,Jl. Mandala Selatan IV No. 26 RT.012/04,-6.171605,106.800174,021 56941910,021 56941910
Kantor Lurah Jelambar,Jakarta Barat,Kec. Grogol Petamburan,Kel. Jelambar  ,Jl.Hadiah Utama 1 Blok F7 No.153 ,-6.161539,106.781631,021 5684003,021 5684003
Kantor Lurah Wijaya Kusuma,Jakarta Barat,Kec. Grogol Petamburan,Kel. Wijaya Kusuma,Jl. Perdana I No. 2,-6.15364,106.772432,021 56963016,021 56943472
Kantor Camat Tambora,Jakarta Barat,Kec. Tambora,Kel. Angke,Jalan Pangeran Tubagus Angke ,-6.143507,106.79134,021 6320557,021 6320725
Kantor Lurah Kalianyar,Jakarta Barat,Kec. Tambora,Kel. Kalianyar,Jalan Kalianyar IV RT.004 RW.03 No.10,-6.156371,106.799287,021 6313217,021 6313217
Kantor Lurah Tambora,Jakarta Barat,Kec. Tambora,Kel. Tambora,Jl Tambora III No 8,-6.146752,106.808577,021 63850137,021 63850137
Kantor Lurah Tanah Sereal,Jakarta Barat,Kec. Tambora,Kel. Tanah Sereal,JL. KH. Moh. Mansyur No. 116,-6.158306,106.808608,021 6390644,021 63861734
Kantor Lurah Krendang,Jakarta Barat,Kec. Tambora,Kel. Krendang,Jl. Krendang Selatan No. 21,-6.152139,106.801885,021 6313661,021 6313661
Kantor Lurah Jembatan Besi,Jakarta Barat,Kec. Tambora,Kel. Jembatan Besi,Jl. Jembatan Besi VIII No.2 RT.012 RW.06 ,-6.152691,106.798254,021 6310743,021 6310743
Kantor Lurah Angke,Jakarta Barat,Kec. Tambora,Kel. Angke,Jl. H. Jamhari No. 25RT.02/RW.01,-6.143517,106.800282,021 6342578,021 6342578
Kantor Lurah Jembatan Lima,Jakarta Barat,Kec. Tambora,Kel. Jembatan Lima,Jl. Stasiun Angke No.134  RT.005/05 ,-6.144399,106.800717,021 6499829,021 6499829
