Kode,Provinsi,Kabupaten,Bulan,Tahun,Bahasa Indonesia,Bahasa Inggris,Matematika
1114,Aceh,Aceh Tamiang,12,2017,60.9,34.03,32.66
1106,Aceh,Aceh Tengah,12,2017,61.04,33.55,33.17
1104,Aceh,Aceh Tenggara,12,2017,42.2,31.96,27.67
1105,Aceh,Aceh Timur,12,2017,50.39,31,30.91
1111,Aceh,Aceh Utara,12,2017,52.63,36.57,32.46
1117,Aceh,Bener Meriah,12,2017,54.67,29.27,26.8
1110,Aceh,Bireuen,12,2017,54.71,30.86,26.8
1113,Aceh,Gayo Lues,12,2017,48.8,27.67,25.59
1109,Aceh,Pidie,12,2017,47.65,29.5,26.39
1118,Aceh,Pidie Jaya,12,2017,53.87,41.27,43.95
1171,Aceh,Banda Aceh,12,2017,63.17,45.85,39.06
1174,Aceh,Lhokseumawe,12,2017,56.82,35.86,32.22
5103,Bali,Badung,12,2017,61.95,46.95,34.66
5106,Bali,Bangli,12,2017,56.48,39.98,29.97
5108,Bali,Buleleng,12,2017,62.4,42.24,32.88
5104,Bali,Gianyar,12,2017,59.6,42.38,30.53
5101,Bali,Jembrana,12,2017,57.65,38.85,30.63
5107,Bali,Karang Asem,12,2017,62.56,44.47,34.16
5105,Bali,Klungkung,12,2017,55.22,45.17,29.31
5102,Bali,Tabanan,12,2017,60.88,42.07,33.23
5171,Bali,Denpasar,12,2017,63.4,49.49,37.73
1901,Bangka Belitung,Bangka,12,2017,67.52,37.99,36.85
1903,Bangka Belitung,Bangka Barat,12,2017,65.27,36.61,33.48
1905,Bangka Belitung,Bangka Selatan,12,2017,64.92,35.32,34.3
1904,Bangka Belitung,Bangka Tengah,12,2017,67.12,37.86,39.44
1902,Bangka Belitung,Belitung,12,2017,63.65,36.94,32.54
1906,Bangka Belitung,Belitung Timur,12,2017,63.25,36.27,33.07
1971,Bangka Belitung,Pangkalpinang,12,2017,69.47,44.52,45.74
3602,Banten,Lebak,12,2017,56.4,32.6,26.88
3601,Banten,Pandeglang,12,2017,55.46,31.83,27.61
3604,Banten,Serang,12,2017,52.83,31.15,26.37
3603,Banten,Tangerang,12,2017,57.67,35.13,30.45
3672,Banten,Cilegon,12,2017,59.21,34.49,29.51
3673,Banten,Serang,12,2017,58.53,34.91,28.79
3671,Banten,Tangerang,12,2017,62.09,42.1,34.69
3674,Banten,Tangerang Selatan,12,2017,62.31,38.89,30.98
