Kode,Provinsi,Kabupaten,Bulan,Tahun,Bahasa Indonesia,Bahasa Inggris,Matematika,IPA
1114,Aceh,Aceh Tamiang,12,2017,55.56,48.71,45.45,46.19
1106,Aceh,Aceh Tengah,12,2017,65.41,70.16,77.45,67.75
1104,Aceh,Aceh Tenggara,12,2017,44.26,39.68,36.01,37.14
1105,Aceh,Aceh Timur,12,2017,48.39,39.52,38.84,39.95
1111,Aceh,Aceh Utara,12,2017,58.47,49.8,62.74,58.32
1117,Aceh,Bener Meriah,12,2017,50.93,38.47,36.8,39.98
1110,Aceh,Bireuen,12,2017,48.44,35.6,30.95,35.11
1113,Aceh,Gayo Lues,12,2017,47.7,39.7,35.59,38.04
1109,Aceh,Pidie,12,2017,47.94,37.84,35.25,37.26
1118,Aceh,Pidie Jaya,12,2017,58.13,53.52,55.81,53.7
1171,Aceh,Banda Aceh,12,2017,64.13,46.58,41.65,45.91
1174,Aceh,Lhokseumawe,12,2017,69.98,52.61,68.77,68.47
5103,Bali,Badung,12,2017,66.26,54.01,43.06,47.9
5106,Bali,Bangli,12,2017,60.94,41.39,36.8,42.41
5108,Bali,Buleleng,12,2017,62.64,44.15,37.32,43.7
5104,Bali,Gianyar,12,2017,63.77,48.28,41.97,48.57
5101,Bali,Jembrana,12,2017,65.79,45.45,38.86,46.63
5107,Bali,Karang Asem,12,2017,61.17,42.99,37.25,43.5
5105,Bali,Klungkung,12,2017,61.88,45.82,37.37,45.31
5102,Bali,Tabanan,12,2017,64.82,46.72,39.59,46.51
5171,Bali,Denpasar,12,2017,72.38,65.77,59.09,63.12
1901,Bangka Belitung,Bangka,12,2017,64.76,41.33,41.41,44.88
1903,Bangka Belitung,Bangka Barat,12,2017,63.13,40.26,41.38,44.89
1905,Bangka Belitung,Bangka Selatan,12,2017,63.78,38.48,37.07,43.15
1904,Bangka Belitung,Bangka Tengah,12,2017,65.97,39.7,40.23,45.69
1902,Bangka Belitung,Belitung,12,2017,65.78,42.19,41.74,46.68
1906,Bangka Belitung,Belitung Timur,12,2017,68.15,42.95,44.07,50.57
1971,Bangka Belitung,Pangkalpinang,12,2017,70.54,49.98,47.59,51.91
3602,Banten,Lebak,12,2017,51.98,35.78,35.21,38.06
