Perusahaan,Sektor
PT Kartika Bina Medikatama,Healthcare/Medical
PT Kartika Buana Ayu,Exhibitions/Event management/MICE
PT Kartika Cemerlang Sejati,General & Wholesale Trading
PT Kartika Eka Dharma,Transportation/Logistics
PT Kartika Eka Yudha Maritim,Transportation / Logistics
PT Kartika Eka Yudha Maritim (Surabaya),Transportation / Logistics
PT Kartika Food Industry,Food & Beverage/Catering/Restaurant
PT Kartika Inti Sejati,Food & Beverage / Catering / Restaurant
PT Kartika Jaya Makmur,General & Wholesale Trading
PT Kartika Jayamanggala,Retail/Merchandise
PT Kartika Macons,Construction / Building / Engineering
PT Kartika Multi Mining,Mining
PT Kartika Naya,Printing / Publishing
PT Kartika Sinar Mulia,Textiles/Garment
PT Kartika Tirta Hema,Manufacturing / Production
PT Kartika Yudha Perkasa,Transportation/Logistics
PT Kartika Zidan Pratama,Property/Real Estate
PT Kartikawira Adisukses,Food & Beverage/Catering/Restaurant
PT Kartini Cahaya Lestari (Majalah Kartini),Entertainment/Media
PT Kartu Semesta Indonesia,Telecommunication
PT Karuna Centre,Education
PT Karuna Saraswati,General & Wholesale Trading
PT Karung Emas,Polymer / Plastic / Rubber / Tyres
PT Karunia Abadi Anugrah,Retail/Merchandise
PT Karunia Abadi Sejahtera,Property/Real Estate
PT Karunia Adi Sentosa,"Consulting (IT, Science, Engineering & Technical)"
PT Karunia Agung Infiniti,Mining
PT Karunia Alam Indonesia,Manufacturing / Production
PT Karunia Alam Raya Sejati,Agricultural / Plantation / Poultry / Fisheries
PT KARUNIA ALAMINDO UTAMA,Retail/Merchandise
PT Karunia Artha Rahayu,Food & Beverage/Catering/Restaurant
PT Karunia Berca Indonesia,Construction/Building/Engineering
PT Karunia Berca Indonesia (Experienced Candidates),Construction / Building / Engineering
PT Karunia Berkat Sejahtera,Accounting/Audit/Tax Services
PT Karunia Beton Lestari,Manufacturing/Production
PT karunia cantik abadi,Grooming/Beauty/Fitness
PT Karunia Cipta Abadi,Consumer Products / FMCG
PT Karunia Dwi Tunggal,Property / Real Estate
PT Karunia Empat Bersama,Transportation / Logistics
PT Karunia Grafika Multisindo,Printing/Publishing
PT Karunia Indah Cahaya,Manufacturing/Production
PT Karunia Indah Delapan Express,Transportation/Logistics
PT Karunia Indamed Mandiri,Manufacturing / Production
PT Karunia Indo Sentosa,General & Wholesale Trading
PT Karunia Insan Nata Graha,Property/Real Estate
PT Karunia Jatama Sentra,Manufacturing/Production
PT Karunia Jaya Abadi Inds,Food & Beverage/Catering/Restaurant
PT Karunia Jaya Pangan,Others
PT Karunia Jaya Wisata (JW Tour&Travel),Travel/Tourism
PT Karunia Kasih Indah,Agricultural/Plantation/Poultry/Fisheries
PT Karunia Kemilau Korin,Accounting/Audit/Tax Services
PT Karunia Kemilau Permata,Retail / Merchandise
PT Karunia Kencana Inter Global,Manufacturing/Production
PT Karunia Kencana Inter Global (Jakarta Office),Manufacturing/Production
PT Karunia Kreasi Printa,Printing/Publishing
PT Karunia Kreasi Printa Cabang JATAKE,Printing/Publishing
PT Karunia Kreatif Mandiri,Wood/Fibre/Paper
PT Karunia Kuliner Indonesia (Restaurant Remboelan),Food & Beverage/Catering/Restaurant
PT Karunia Mandiri Consultant,"Consulting (IT, Science, Engineering & Technical)"
PT Karunia Megah Mulia,Manufacturing/Production
PT Karunia Mitra Abadi,Heavy Industrial / Machinery / Equipment
PT Karunia Mitra Abadi,Mining
PT Karunia Multi Perkasa,General & Wholesale Trading
PT Karunia Multifinance,Banking/Financial Services
PT Karunia Mulya Abadi,Manufacturing/Production
PT Karunia Perkasa Jaya,Others
PT Karunia Pratama Lintas Teknologi,Others
PT Karunia Pratama Sejahtera,Transportation/Logistics
PT Karunia Prima Engineering,Manufacturing/Production
PT Karunia Rahmat Inti Sejahtera,General & Wholesale Trading
PT Karunia Rejeki Abadi,General & Wholesale Trading
PT Karunia Rumput Laut,Food & Beverage/Catering/Restaurant
PT Karunia Sarana Binangun,Property/Real Estate
PT Karunia Segar Utama,Food & Beverage/Catering/Restaurant
PT Karunia Sejahtera (RayWhite PuloMas),Property / Real Estate
PT Karunia Sejahtera Indah,Hotel / Hospitality
PT Karunia Sejahtera Trans,Transportation/Logistics
PT Karunia Sukses Gemilang,Food & Beverage/Catering/Restaurant
PT Karunia Sukses Utama,Manufacturing / Production
PT Karunia Sumber Mas,Consumer Products / FMCG
PT Karunia Sumber Mas (Jawa Timur),Construction/Building/Engineering
PT Karunia Tehnik Multi Sejahtera,Consulting (Business & Management)
PT Karunia Teknik,Manufacturing / Production
PT Karunia Wahyu Antarnusa (HARRIS HOTEL & RESIDENCE),Hotel / Hospitality
PT Karunia Wijaya Sentosa,General & Wholesale Trading
PT Karuniai Krida Sinergi,"Consulting (IT, Science, Engineering & Technical)"
PT Karuniatama Polypack,Manufacturing / Production
PT Karvak Nusa Geomatika,Others
PT Kary Indomas Elok,Manufacturing/Production
PT Karya Abadi ( Bandung ),Manufacturing / Production
PT Karya Abdi Persada,Electrical & Electronics
PT Karya Adi Kencana,Construction / Building / Engineering
PT Karya Adikita Galvanize,Manufacturing/Production
PT Karya Agung International,Manufacturing / Production
PT Karya Agung Propertindo,Property/Real Estate
PT Karya Agung Sawita,Agricultural / Plantation / Poultry / Fisheries
PT Karya Alam Bahari,Agricultural/Plantation/Poultry/Fisheries
PT Karya Andalan Abadi,Consulting (Business & Management)
PT Karya Anugerah Bersama,Others
PT Karya Anugerah Indah,Printing / Publishing
PT Karya Anugerah Jaya,Food & Beverage/Catering/Restaurant
PT Karya Anugerah Kusuma,Mining
PT Karya Anugerah Rumpin,Agricultural/Plantation/Poultry/Fisheries
PT Karya Anugerah Sejahtera,Polymer / Plastic / Rubber / Tyres
PT Karya Anugerah Sejati Abadi,Consulting (Business & Management)
PT Karya Anugrah Investama,Property/Real Estate
PT Karya Anugrah Multi Packindo,General & Wholesale Trading
PT Karya Anugrah Teknologi (Jakarta),Computer/Information Technology (Hardware)
PT Karya Ardi Prestasi,Heavy Industrial/Machinery/Equipment
PT Karya Aspal Mandiri,General & Wholesale Trading
PT Karya Atap Membrane,Architectural Services/Interior Designing
PT Karya Bahana Unigam,Automobile/Automotive Ancillary/Vehicle
PT Karya Bahari Abadi,Automobile / Automotive Ancillary / Vehicle
PT KARYA BAJA SUKSES,General & Wholesale Trading
PT Karya Baja Sukses,General & Wholesale Trading
PT Karya Bakti Metalasri,Manufacturing / Production
PT Karya Bakti Metalasri,Construction/Building/Engineering
PT Karya Bersama Properti,Property/Real Estate
PT Karya Bersatu Lestari (Jakarta),General & Wholesale Trading
PT Karya Bina Lestari,Healthcare / Medical
PT Karya Bintang Gemilang,Property/Real Estate
PT Karya Boga Ternama,Food & Beverage/Catering/Restaurant
PT Karya Boga Utama,Food & Beverage/Catering/Restaurant
PT Karya Brothers Nusamesindo,General & Wholesale Trading
PT Karya Buana Sejahtera,Transportation/Logistics
PT Karya Budi Agung Sentosa,Construction / Building / Engineering
PT Karya Bumi Baratama,Mining
PT Karya Cakra Mandiri,Polymer/Plastic/Rubber/Tyres
PT Karya Cantika Kusuma,Property / Real Estate
PT Karya Cemerlang Tour Travel,Travel/Tourism
PT Karya Cerebro Kreasi Interaksi,Advertising/Marketing/Promotion/PR
PT Karya Cipta Balindo,Food & Beverage/Catering/Restaurant
PT Karya Cipta Bayu Minapratama,Advertising/Marketing/Promotion/PR
PT Karya Cipta Digital,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Cipta Group,Property / Real Estate
PT Karya Cipta Makmur Abadi,General & Wholesale Trading
PT KARYA CIPTA MANDIRI SEJATI,Construction/Building/Engineering
PT Karya Cipta Pesona,Hotel / Hospitality
PT Karya Cipta Unggul Nusantara,Construction/Building/Engineering
PT Karya Ciptanyata Wisesa,Manufacturing/Production
PT Karya Deli Steelindo,Construction/Building/Engineering
PT Karya Design,Retail / Merchandise
PT Karya Digital,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Digital Nusantara (Lawble),Computer/Information Technology (Software)
PT Karya Digna Indonesia,Consulting (Business & Management)
PT Karya Dinamika Funseason,Property / Real Estate
PT Karya Dua Sahabat Cemerlang,Electrical & Electronics
PT Karya Dua Semesta,Computer / Information Technology (Hardware)
PT Karya Duta Konsulindo,Construction/Building/Engineering
PT Karya Duta Sarana,Transportation / Logistics
PT Karya Dwi Putra,Oil/Gas/Petroleum
PT Karya Ekatama,General & Wholesale Trading
PT Karya Elang Indonesia,Human Resources Management/Consulting
PT Karya Energi Indonesia,General & Wholesale Trading
PT Karya Estetika Indonesia,Grooming/Beauty/Fitness
PT Karya Gemilang Indonusa,Manufacturing/Production
PT Karya Generasi Makmur ( Surabaya ),Retail / Merchandise
PT Karya Giat Sukses Sejahtera,Property/Real Estate
PT Karya Global International,Electrical & Electronics
PT Karya Grafis Indonusa,Arts/Design/Fashion
PT Karya Graha Andara,General & Wholesale Trading
PT Karya Graha Cemerlang,General & Wholesale Trading
PT KARYA GRAHA NITYASA (Tangerang),Construction/Building/Engineering
PT Karya Guna Cipta Sejahtera,Computer / Information Technology (Software)
PT Karya Guna Sumber Perkasa,Gems/Jewellery
