Perusahaan,Sektor
CEJN Products Far East Pte Ltd (Jakarta),Manufacturing/Production
Cek aja dot com,Others
Ceknricek.com,Entertainment/Media
CelebrAsian Media,Advertising / Marketing / Promotion / PR
Celecton Blue Hotel Karawang,Hotel/Hospitality
Celine Gift,Retail / Merchandise
Cello Audio,Automobile/Automotive Ancillary/Vehicle
CELS Indonesia (PT Solusi Harmoni Abadi),Consulting (Business & Management)
Cemani Percetakan dan Digital Printing,Printing / Publishing
Cemara,Others
Cemara Asri Inn,Hotel/Hospitality
Cemara Media Kreasi,Telecommunication
CEMARADUA Resto,Food & Beverage / Catering / Restaurant
CEMENT Company,Manufacturing/Production
Cempaka Group,Property/Real Estate
Cempaka Group,Property/Real Estate
Cendrawasih Trans,Transportation / Logistics
Center Asia Retailindo,Retail/Merchandise
Center for Indonesia's Strategic Development Initiatives,Others
Center For International Forestry Research,Agricultural/Plantation/Poultry/Fisheries
Center for Investment and Bussiness Advisory,Accounting/Audit/Tax Services
Center for Risk Management Studies Indonesia,Education
Center For Special Education,Education
Centerstage Resto,Food & Beverage / Catering / Restaurant
Centillion Japan Co Ltd,Computer/Information Technology (Software)
Centra Graphia,Printing/Publishing
Centra Tama Nasional Bank (CNB),Banking / Financial Services
CENTRA TOUR & TRAVEL,Travel/Tourism
Centraasia (Yogyakarta),Healthcare/Medical
Central Buana,Advertising/Marketing/Promotion/PR
CENTRAL CAPITAL PT,Others
Central Capital Surabaya,Consulting (Business & Management)
Central Castelindo Abadi,Manufacturing/Production
Central Com accessories hp,Others
Central Computer Medan,Computer/Information Technology (Software)
Central Grafindo,Retail/Merchandise
CENTRAL JAWA WOOD INDUSTRY (Temanggung),Manufacturing/Production
Central Makmur Motor,Retail / Merchandise
Central Niaga Hardware,Construction/Building/Engineering
Central Student Services Lampung,Consulting (Business & Management)
Central Student Services Palembang,Consulting (Business & Management)
Central Summit,General & Wholesale Trading
Centralindo Computer,Computer / Information Technology (Hardware)
Centratama Group,Telecommunication
Centre for Resource Efficient and Cleaner Production Indonesia (CRECPI),"Consulting (IT, Science, Engineering & Technical)"
Centro City Residence,Property/Real Estate
Centro Digital,Retail/Merchandise
Centro Lifestyle Departement Store Solo,Retail / Merchandise
Century 21 Gading Serpong,Healthcare/Medical
Century 21 Graha Palembang,Property / Real Estate
Century 21 Grande,Property/Real Estate
CENTURY 21 MEDITERANIA GROUP,Property/Real Estate
Century 21 Mega (Pekanbaru),Property/Real Estate
Century 21 Rasuna,Property/Real Estate
Century 21 United,Property/Real Estate
Century Card,Arts/Design/Fashion
Century Mega Pekanbaru,Property / Real Estate
Century21 Icon,Property/Real Estate
Century21 Maskar Group,Property/Real Estate
Century21 Signature,Property/Real Estate
Ceonyx Games,Entertainment/Media
CEP-CCIT FTUI,Education
Cepat,Others
Cera Production,Advertising/Marketing/Promotion/PR
Ceragem,Others
Cerdas Bangsa College,Education
Ceria,Others
Ceria Babyshop,Retail / Merchandise
Ceria Dental Clinic Group,Healthcare/Medical
Ceria Montessori School,Education
Cerise Cake,Food & Beverage / Catering / Restaurant
Cerise Jewellery,Retail / Merchandise
certain danger nearer first circle,Others
Cerveau Photostudio,Arts / Design / Fashion
Cetakbanyak.com,Printing/Publishing
Cetun,Retail/Merchandise
Ceva Animal Health Indonesia,Agricultural/Plantation/Poultry/Fisheries
CFLD Indonesia,Property/Real Estate
CGS,Transportation/Logistics
CGV Harbour Bay,Others
Chaleons Transindo,Others
Champa Interior,General & Wholesale Trading
Champion Advertising (Makassar),Advertising / Marketing / Promotion / PR
Champion Ban,Automobile/Automotive Ancillary/Vehicle
Champsville Preschool,Education
Chandharwealth Mandiri Indonesia,Consulting (Business & Management)
Chandra Consultan,Consulting (Business & Management)
chandra elsa putra hukom,Others
Chandra Group,Retail/Merchandise
Chandra Gupta Salon Yogyakarta,Grooming / Beauty / Fitness
Chandra Owen Utama,Others
Chandra Saputra,Architectural Services/Interior Designing
Chandra Yusuf & Associates,Law / Legal
Changfa,Agricultural/Plantation/Poultry/Fisheries
Changyou Technology Indonesia,Computer / Information Technology (Software)
Channel Hobby,Retail/Merchandise
Chantique Inti Decor,Manufacturing/Production
ChapterOne-IP,Others
CHAR&COLL GIFTS,Manufacturing/Production
Characterland Indonesia,Retail / Merchandise
