Perusahaan,Sektor
Citranet (Yogyakarta),Telecommunication
Citrapata Bilingual Preschool,Education
Citras Mandiri Sentosa,Construction / Building / Engineering
Cittakom,Computer/Information Technology (Hardware)
Cittic Hotel,Hotel / Hospitality
CITY  BEAUTY,Others
City Arum Siahaan,Others
City Cell,Retail/Merchandise
City Extra Restaurant,Food & Beverage/Catering/Restaurant
City Hotel Balikpapan,Hotel / Hospitality
City Ice Cream Café,Food & Beverage/Catering/Restaurant
City Living,Manufacturing / Production
City One Hotel,Hotel / Hospitality
Civil Engineering,Others
CJ Feed,Manufacturing/Production
CJ IMC Vietnam Co Ltd,Textiles/Garment
CKE Teknik,Retail / Merchandise
CLA SKINCARE CLINIC,Healthcare/Medical
Clapper Technology,Computer / Information Technology (Software)
Clara Education Centre,Education
CLARENCE MUSIC SCHOOL & ART  -  Yayasan Nada Gemilang Prestasi,Education
Clariskin,Grooming/Beauty/Fitness
Claritas School (International Programme),Education
Clarity Photobooth,Arts/Design/Fashion
Clarity Skin Care,Others
Clarte Jewellery,Retail/Merchandise
Class Interior,Architectural Services/Interior Designing
Classical Mental Arithmetic,Education
Classy laundry,Others
Claude,Retail/Merchandise
Claude Official,Others
Clavius,Education
clavon engineering qatar w.l.l,Others
Claymore Design,Arts / Design / Fashion
CLC (Children Learning Chinese),Education
Cleanlab Laundry,Others
Cleanotech Indonesia,Others
Clearpack Singapore Pte Ltd - Indonesia Office,Heavy Industrial/Machinery/Equipment
Clearpath Indonesia,Healthcare/Medical
CLEMENTINE,Retail/Merchandise
Clements Ice Cream,Retail/Merchandise
Cleo Gresik,General & Wholesale Trading
Cleon Offset,Printing / Publishing
CLEQ OU,Computer/Information Technology (Software)
Clevio Coder Camp,Education
Clic factory,Retail / Merchandise
Click,Others
Click Communication,Advertising / Marketing / Promotion / PR
Click House,Grooming/Beauty/Fitness
CLIE Design,Architectural Services/Interior Designing
Clinic of English,Education
Clio Bali,Hotel / Hospitality
CLO DBS,Others
Clockwise Pictures,Arts/Design/Fashion
Clodus Parking (PT. Clodus Indah Jaya),Others
Closely Coded,Computer/Information Technology (Software)
Cloud Lounge,Food & Beverage/Catering/Restaurant
Cloud Space Trade,Others
CloudKu.id,"Consulting (IT, Science, Engineering & Technical)"
CloudSpace Trade,Computer/Information Technology (Software)
Clover Tour,Travel/Tourism
Club Alacarte,Food & Beverage/Catering/Restaurant
CLUB BALI,Travel/Tourism
CMA BSD City,Education
CMYK dps,Advertising/Marketing/Promotion/PR
CNN internationals,Education
CNOOC SES Ltd,Oil / Gas / Petroleum
coach active refused amount into,Others
coach political jump make then,Others
coba,Others
Coca-Cola Amatil Indonesia,Manufacturing/Production
Coco and Ginger,Retail / Merchandise
CoCo Compu-care,"Consulting (IT, Science, Engineering & Technical)"
Coconut Joe's,Food & Beverage / Catering / Restaurant
Coconut Lab Pte. Ltd.,Others
Coconuts Resto,Food & Beverage / Catering / Restaurant
Cocoon Bar Beach Club,Food & Beverage / Catering / Restaurant
Cocoon Medical Spa,Grooming/Beauty/Fitness
Cocotinos Manado,Travel/Tourism
COCOTINOS RESORT - SEKOTONG,Hotel/Hospitality
Coda Fashion,Apparel
Coda Payments Pte Ltd,Computer/Information Technology (Software)
Codebrew Pte Ltd,Computer/Information Technology (Software)
Codeltra Asia,Consulting (Business & Management)
Codesign Indonesia,Computer / Information Technology (Software)
Codingin Aja,Computer/Information Technology (Software)
Coffee Alley,Food & Beverage/Catering/Restaurant
Coffee Anyone,Food & Beverage/Catering/Restaurant
Coffee Box,Food & Beverage / Catering / Restaurant
Coffee Break Cafe Bandung,Food & Beverage / Catering / Restaurant
Coffee Clinic,Food & Beverage / Catering / Restaurant
Coffee Foundation,Food & Beverage/Catering/Restaurant
COFFEE TALK,Food & Beverage/Catering/Restaurant
Coffee Tree,Food & Beverage/Catering/Restaurant
Coffeebeerian,Food & Beverage/Catering/Restaurant
Coffeeshop,Others
Coldwell Banker Excellence,Property / Real Estate
Coldwell Banker Indonesia,Property/Real Estate
Coldwell Banker Indonesia,Property/Real Estate
Coldwell Banker Indonesia (Bina Mulia Sentosa),Property/Real Estate
