Perusahaan,Sektor
CST,Exhibitions/Event management/MICE
CST English Centre (Gading Serpong - Jembatan Lima - Jelambar - Poris),Education
CTC.COM.AU Pty Ltd,"Consulting (IT, Science, Engineering & Technical)"
CTI Global Human Resources Inc,Human Resources Management/Consulting
Cube Interior,Architectural Services/Interior Designing
Cuckoleo,Food & Beverage/Catering/Restaurant
Cuckoo,Others
Cucu Foto Bridal Salon Kelapa Gading,Others
Cultivate,Food & Beverage/Catering/Restaurant
Cumula Creative Partner,Advertising / Marketing / Promotion / PR
CupSealer.com,General & Wholesale Trading
Cupuwatu Resto,Food & Beverage/Catering/Restaurant
Curry House Jakarta,Food & Beverage/Catering/Restaurant
Cushy Churros,Others
Custombagus,"Consulting (IT, Science, Engineering & Technical)"
CustomMebel.com,Architectural Services/Interior Designing
Cutemiel Baby & Kids,Textiles/Garment
cuttingsablon inc.,Others
CV 	Blue Swan Tour and Travel,Travel/Tourism
CV  Alpha Teknindo,Manufacturing/Production
CV  Anugerah Abadi,Agricultural/Plantation/Poultry/Fisheries
CV  Indotech Water,Manufacturing/Production
CV  Kharisma Eka Putra,Agricultural / Plantation / Poultry / Fisheries
CV  Kopi Panas,Exhibitions/Event management/MICE
CV  Sejaterah,Others
CV  Sinar Telekom,Telecommunication
CV  Tropis Fish,Agricultural/Plantation/Poultry/Fisheries
CV 3dkuadro Archviz,Architectural Services / Interior Designing
CV 76 Computer,Computer / Information Technology (Hardware)
CV 77 Advertising Sukses Bersama ( WITONO PROMOSI),Advertising/Marketing/Promotion/PR
CV 99 Jaya Abadi,Transportation / Logistics
CV 99 Surabaya,Manufacturing/Production
CV A & D Electronic Batam,Retail/Merchandise
CV A&J Auto Hygiene,Automobile / Automotive Ancillary / Vehicle
CV AB Hydraulic,General & Wholesale Trading
CV Aba Mandiri Sejahtera Tekhnik,Manufacturing/Production
CV Abad Baru,Consumer Products / FMCG
CV Abad Dua Satu Makmur,General & Wholesale Trading
CV Abadan,Healthcare / Medical
CV Abadi Buana Powerindo,Electrical & Electronics
CV ABADI DJAJA RUKUN SEJAHTERA,Arts/Design/Fashion
CV Abadi Inti Utama,Automobile / Automotive Ancillary / Vehicle
CV ABADI JAYA,Others
CV Abadi Jaya Mandiri,Agricultural/Plantation/Poultry/Fisheries
CV Abadi Megah Motor,Automobile/Automotive Ancillary/Vehicle
CV Abadi Printama,Printing / Publishing
CV Abadi Teknik Safety,General & Wholesale Trading
CV Abaga Brothers,Travel/Tourism
CV Abba Living,Manufacturing/Production
CV Abbaliving Indonesia (Bali),Architectural Services/Interior Designing
CV Absolute Grafika,Advertising / Marketing / Promotion / PR
CV Acai Jaya,Food & Beverage / Catering / Restaurant
CV Access Bali,Transportation / Logistics
CV Achsada,Manufacturing/Production
CV ACM,Others
CV Acrylife,Arts / Design / Fashion
CV Active Q Creative Kids,Education
CV Acupresure,Healthcare / Medical
CV Adamsbell Global,Others
CV Ade Prima gemilang,Retail/Merchandise
CV Adela Berkah Abadi,Textiles/Garment
CV Adex Infurindo,Architectural Services/Interior Designing
CV Adi Cipta Utama,Manufacturing/Production
CV Adi Karya (Surabaya),Consulting (Business & Management)
CV Adicentra Kimia Raya,Chemical/Fertilizers/Pesticides
CV Adila Nashwa Salam,Retail / Merchandise
CV Adinugraha Cipta Indonesia,Retail / Merchandise
CV Adiprina Persada,Construction/Building/Engineering
CV Aditya Media,Printing / Publishing
CV Adly Putra Perdana,Food & Beverage/Catering/Restaurant
CV Adrian Pratama Putra,General & Wholesale Trading
CV Afanes,Food & Beverage/Catering/Restaurant
CV Afta Kencana,Manufacturing/Production
CV Afta Suryakencana,Construction/Building/Engineering
CV AGET NUSANTARA JAYA,Food & Beverage/Catering/Restaurant
CV Agri Busana,Manufacturing / Production
CV Agrindo Supra Food,Food & Beverage/Catering/Restaurant
CV Agrosari,Agricultural/Plantation/Poultry/Fisheries
CV Agrosindo Utama,Agricultural/Plantation/Poultry/Fisheries
CV Agung,Printing / Publishing
CV agung jaya Group,Transportation/Logistics
CV Agung Mandiri,Retail/Merchandise
CV Agung Motor,Automobile/Automotive Ancillary/Vehicle
CV Agung Property,Property / Real Estate
CV Agung Sentosa Prima,General & Wholesale Trading
CV Agung Sentra Solusi,Computer/Information Technology (Software)
CV Agung Utama Brand KIRANA Corp.,Exhibitions/Event management/MICE
CV AHM Biotech Indonesia,Healthcare/Medical
CV AIMEN,Retail/Merchandise
CV Aira Indah,Manufacturing / Production
CV Airandi Sejahtera,Electrical & Electronics
CV Ajiva Citra Dunia,Printing/Publishing
Cv aka sarana jaya,Others
CV Akar Daya Mandiri,Telecommunication
CV Akar Daya Mandiri Yogyakarta,Telecommunication
CV Akasa Dwijaya Bali,Computer/Information Technology (Software)
CV AKASA Solution,Arts/Design/Fashion
CV Akasia Internusa,General & Wholesale Trading
CV Akasya Catering,Food & Beverage / Catering / Restaurant
CV Akbar Kusdinar,Consulting (Business & Management)
