Perusahaan,Sektor
CV Imni Group,Advertising/Marketing/Promotion/PR
CV Impima International,General & Wholesale Trading
CV Impresi,Arts/Design/Fashion
CV Ina Karya Jaya,Manufacturing / Production
CV Inaura Anugerah,Repair & Maintenance Services
CV Inco Jaya Bahagia,Heavy Industrial / Machinery / Equipment
CV Indah Jaya Tronik,Telecommunication
CV Indah Kencana,Consumer Products / FMCG
CV Indah Mulia Abadi,Healthcare/Medical
CV Indaroma,Manufacturing / Production
CV Indikids (Children Wear),Apparel
CV Indo Bangunan,Retail/Merchandise
CV Indo Bumi Energi (Kal-Tim),Mining
CV INDO GLOBAL PERSADA,General & Wholesale Trading
CV Indo Javaland,Food & Beverage/Catering/Restaurant
CV Indo Ray Busana,Apparel
CV Indo Raya Grosir,General & Wholesale Trading
CV Indo Trinity Digital,Retail / Merchandise
CV Indochina,Retail/Merchandise
CV Indogo,Food & Beverage/Catering/Restaurant
CV IndoGracia,Printing/Publishing
CV Indografika Group,Printing / Publishing
CV Indographia Prima Utama Surakarta,General & Wholesale Trading
CV INDOJAYA TACKLE,General & Wholesale Trading
CV Indomat,Others
CV Indomedia Edutainment,Entertainment / Media
CV Indomedia Kreasi,"Consulting (IT, Science, Engineering & Technical)"
CV Indonesia Brand Design (ID.Brand),Printing/Publishing
CV Indonesia Cemerlang,Manufacturing/Production
CV Indonesia Global Sarana,"Consulting (IT, Science, Engineering & Technical)"
CV Indonesia Komunika,Exhibitions/Event management/MICE
CV INDONESIA MAXI DINAMIKA,Others
CV Indonesian Core Technologies,Computer/Information Technology (Software)
CV Indonesian Institute of Internet Technologies,Computer/Information Technology (Software)
CV Indonetmedia Corporation,"Consulting (IT, Science, Engineering & Technical)"
CV Indoniaga Perkasa,Others
CV INDONUSA TECHNOLOGY,Telecommunication
CV Indopac Dynamic,Repair & Maintenance Services
CV Indopal Lombok Property,Property/Real Estate
CV Indopart Industrial,Manufacturing/Production
CV Indoparts,General & Wholesale Trading
CV Indopro (Indopro Hospitality Management),Hotel/Hospitality
CV Indosalsa Bogatama,Food & Beverage/Catering/Restaurant
CV Indosurya Mahakam,Manufacturing/Production
CV Indotech Sukses Makmur,General & Wholesale Trading
CV Indotehnik Cipta Makmur,Construction/Building/Engineering
CV IndoTeknik Telecommunication Indonesia,Telecommunication
CV Indotest Multi Laboratama,Manufacturing/Production
CV INDOTEXMART,Manufacturing/Production
CV Industrial Clinic Services,Healthcare / Medical
CV Industry Kreatif Indonesia,Arts / Design / Fashion
CV Inersia Construction Cabang Sidoarjo,Construction / Building / Engineering
CV Infinite Solution,"Consulting (IT, Science, Engineering & Technical)"
CV Info Mega Sarana,Retail / Merchandise
CV Info Mega Sarana (Surabaya),Telecommunication
CV Information Technology Service Centre (Balikpapan),Computer/Information Technology (Software)
CV Inolabs Indonesia,Computer/Information Technology (Software)
CV Inovasi Global Media,"Consulting (IT, Science, Engineering & Technical)"
CV Inoventra Solusindo Gemilang,Computer / Information Technology (Software)
CV Insan Mandiri Pekanbaru,Printing/Publishing
CV Inspira Ventura,Retail / Merchandise
CV Intan Transport Nusantara,Transportation / Logistics
CV Intekindo Jaya,Call Center/IT-Enabled Services/BPO
CV Intergrasi Solusi Inovatif,Education
CV Intermedia Solusindo (Jogjashop.com),Computer/Information Technology (Software)
CV Intermediate Sales & Purchase,Construction / Building / Engineering
CV Intersolusi Cipta Softindo,Computer/Information Technology (Software)
CV Intertech Langgeng Setia (Surabaya),Heavy Industrial/Machinery/Equipment
CV Intertex,Textiles/Garment
CV Inti Daya Engineering,Heavy Industrial/Machinery/Equipment
CV INTI INTERIOR,General & Wholesale Trading
CV Inti Jaya Logistik,General & Wholesale Trading
CV INTI KREASI MANDIRI JAYA,Construction/Building/Engineering
CV Inti Logam Utama,Manufacturing / Production
CV Inti Mitra,Others
CV Inti Muda Utama,Property / Real Estate
CV Inti Perada Pemalang,Consumer Products/FMCG
CV Inti Persada Transmisi,Heavy Industrial/Machinery/Equipment
CV Inti Prima Purwokerto,Manufacturing / Production
CV Inti Ruang Dimensi,Construction/Building/Engineering
cv inti sumatra global Medan,Healthcare/Medical
CV Inti Teknik,Manufacturing/Production
CV Intikita Mandiri,General & Wholesale Trading
CV Intisari Alam,General & Wholesale Trading
CV Intrafood,Manufacturing/Production
CV Intrasoft Data Intermedia,"Consulting (IT, Science, Engineering & Technical)"
CV Irawan Jaya,Food & Beverage/Catering/Restaurant
CV Irfan Architect And Partners,Accounting/Audit/Tax Services
CV Irsan Karya Jasa Tama,Entertainment / Media
CV Isa Grafika,Printing / Publishing
CV Island Promotions,Travel/Tourism
CV Isocorp Technology,Computer/Information Technology (Hardware)
CV Istana Boneka,Manufacturing/Production
CV Istana Indonusa,Retail / Merchandise
CV Istana Kayu Sukses Makmur,Manufacturing/Production
Cv Istana Mote,Gems / Jewellery
CV Istimewa Furniture,Wood/Fibre/Paper
CV Isya Tujuan Hakiki,Textiles / Garment
CV IT Computer Studio,Electrical & Electronics
CV Ivena Bali,Retail/Merchandise
