Perusahaan,Sektor
Deersign Graphics,Arts/Design/Fashion
Dega Product Development,Arts/Design/Fashion
Degenius IT Training Center,Education
DEHEALTH SUPPLIES,Others
Dejabu Dewata,Hotel/Hospitality
Dejonk All Weather Furniture,Architectural Services / Interior Designing
Deka Marketing Research,Consulting (Business & Management)
"Dekatama Centra, PT",Textiles/Garment
Dekor Cipta Ruang,Architectural Services/Interior Designing
Dekor Haus,Architectural Services / Interior Designing
Dekor Indonesia,Arts / Design / Fashion
Deksha Orla Tranggana,Advertising/Marketing/Promotion/PR
Dekuta Boutique Hotel,Hotel/Hospitality
Dekwek Resto,Food & Beverage / Catering / Restaurant
Del Institute of Technology,Others
Delaguna Group,Manufacturing/Production
Deli Indah Hotel,Hotel / Hospitality
Delicia Bakery,Food & Beverage/Catering/Restaurant
Deligence AI,General & Wholesale Trading
Delikatessa Meat Processing,Food & Beverage / Catering / Restaurant
Delina Advertising,Printing / Publishing
Deliva Anugra,General & Wholesale Trading
Deliveree (PT Angkut Teknologi Indonesia),Computer/Information Technology (Software)
DELL Stores,Computer/Information Technology (Hardware)
Delman Resto,Food & Beverage / Catering / Restaurant
Delonix Hotel Karawang,Hotel/Hospitality
Delphi Bali Pre-School,Education
Delsharaya Automotive,Others
Delta Dewata,Retail / Merchandise
Delta Pas International,Repair & Maintenance Services
Delta Teknik Dan Delta Dwipa,Construction / Building / Engineering
Delta Tirta Sari,Others
Deltares,Non-Profit Organisation / Social Services / NGO
Demadania land,Others
Demandailing Cafe,Food & Beverage/Catering/Restaurant
Demelia Hotel,Hotel/Hospitality
Dena Tour&Travel,Travel / Tourism
Denaro Pizza & Resto,Food & Beverage / Catering / Restaurant
Denden Nurholis,Others
Dendi surahman,Others
Dendy Azis & Co Law Firm,Others
Deni,Others
Deni management,Others
Deni muhammad alfa,Others
Deni Supriatna,Others
DENKO GROUP,General & Wholesale Trading
Denni Ahmad,Others
Denny's Design,Architectural Services / Interior Designing
Dennys,Others
Dental Care & Aesthetic Center,Healthcare/Medical
Dental Clinic Dermaga,Healthcare / Medical
Dentsu Media Group Indonesia,Advertising / Marketing / Promotion / PR
Departemen Obgin FKUI - RSCM,Education
Department of Education (Australia Embassy),Education
dePASAR.com,General & Wholesale Trading
Depe,Others
DEPHNA SHOPEE,Stockbroking/Securities
Depnaker,Education
DEPO CETAK INDONESIA,Printing / Publishing
Depo Sumber Bangunan,Retail/Merchandise
Depot Bu Indra,Others
Deprince Company Limited,Human Resources Management / Consulting
DEQUEEN MEDAN,Food & Beverage/Catering/Restaurant
Derawan Berjaya Mining,Mining
Derma Esthetic Center,Healthcare / Medical
Derma Science Innovation,Healthcare/Medical
Dermalabs (Pontianak),Grooming / Beauty / Fitness
Dermalia Skin Care Centre,Grooming/Beauty/Fitness
Derrick Solutions Indonesia,Heavy Industrial/Machinery/Equipment
Desa Coding,Computer/Information Technology (Software)
Desa Lontar Daycare,Healthcare/Medical
Desainart,Architectural Services/Interior Designing
desgn grafis,Others
DESIGN DESK STUDIO,Manufacturing / Production
Design Dope,Architectural Services / Interior Designing
Design Optik & Modern Wash,Retail / Merchandise
Design Talk,Arts / Design / Fashion
DesignCub3,Arts/Design/Fashion
Deskundige and Partners,Law / Legal
Desti Mualfah,Others
Desti Ratnasari,Others
Destijl CiptaKreasi,Consulting (Business & Management)
Destination Management Company Bali,Travel/Tourism
DESTINATION TOUR,Others
Desy Domiatih Amaral,Others
DETA GROUP,Others
Detail Architecture,Arts / Design / Fashion
DETAIL Digital Printing Print Advertising,Printing / Publishing
Detention Room,Food & Beverage / Catering / Restaurant
detikcom,Journalism
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT,Government/Defence
Deutsche Schule Jakarta,Education
DevDosh Ltd,Property/Real Estate
Developer Tangerang,Property/Real Estate
Devina Living,Others
Devindo Tech Cellular,General & Wholesale Trading
Devino Beauty & Slimming Centre,Grooming / Beauty / Fitness
Devis Jaya,Advertising/Marketing/Promotion/PR
Devy Privat,Education
DEWAN TEKNOLOGI INFORMASI DAN KOMUNIKASI NASIONAL (WANTIKNAS),Computer/Information Technology (Hardware)
