Perusahaan,Sektor
G R U Z Z E,Others
G+ Services,Consulting (Business & Management)
G. I. EFICTETUS SIMBOLON SPS,Others
G7 Residence,Hotel/Hospitality
Gadget Addict,Electrical & Electronics
GadgetCiti.Com,Computer / Information Technology (Software)
GadgetCiti.Com (Bali),Computer/Information Technology (Software)
Gadgetmanias,Retail/Merchandise
Gading Kostum,Arts/Design/Fashion
Gading Mas Swalayan,Retail/Merchandise
Gading Raya Padang Golf & Klub,Sports
Gading Serpong Bakery,Food & Beverage/Catering/Restaurant
Gadjian.com,Computer/Information Technology (Software)
Gado Gado Boplo,Food & Beverage/Catering/Restaurant
Gadri Resto,Food & Beverage/Catering/Restaurant
Gafa Kursus,Education
Gagasceria Innovative Education,Education
GAGASREKA,Architectural Services/Interior Designing
Gaha Interior,Architectural Services/Interior Designing
Gaia Cosmo Hotel,Hotel/Hospitality
GAIA Hotels & Resorts,Hotel/Hospitality
Gaintactics.Com,Education
Gajah  Surya  Plastik,Polymer/Plastic/Rubber/Tyres
Gajah Mada Food Street,Food & Beverage/Catering/Restaurant
Gajah Tour,Travel/Tourism
Gajahmada House of CCTV,Electrical & Electronics
"Gala Megah Investment, JO",Property / Real Estate
Galang Furniture,Retail/Merchandise
Galaxy CNC,Printing/Publishing
Galaxy English & Mathematics Course,Education
Galaxy Holiday,Travel/Tourism
Galaxy of Watches,Retail/Merchandise
Galaxy Property,Property/Real Estate
Galaxy Tour &Travel,Travel / Tourism
Galeni Decoration,Exhibitions/Event management/MICE
Galenium Pharmasia Laboratories Surabaya,Manufacturing/Production
Galeri Alternator,Automobile/Automotive Ancillary/Vehicle
Galeri Ciumbuleuit Hotel & Apartement,Hotel / Hospitality
Galeri Medika,BioTechnology/Pharmaceutical/Clinical research
Galeri Olahraga,General & Wholesale Trading
Galeri Pot,General & Wholesale Trading
Galeri Teknologi Bali,Computer / Information Technology (Hardware)
GALERIA JAKARTA,Retail / Merchandise
GaleriMedika,Others
GALFAST,Retail/Merchandise
Galih Setiawan,Others
Galleri,Others
Gallery Carpet,Textiles/Garment
Gallery Kohinoor,Accounting/Audit/Tax Services
Gallery Living Architect,Advertising / Marketing / Promotion / PR
Gallery Property,Entertainment/Media
Gallery Tenun Ananda Balinese,Textiles / Garment
Galuh,Others
Galuh Citarum,Electrical & Electronics
GAMA 88 SURAKARTA,Education
Gama English Course,Education
Gama Ikan Bakar & Seafood,Food & Beverage / Catering / Restaurant
Gama'88 Bekasi,Education
GAMALIEL.NET,Others
Game Level One,Computer/Information Technology (Software)
Game Web,Computer / Information Technology (Hardware)
Gamelan Restaurant,Food & Beverage / Catering / Restaurant
Gammara Hotel Makassar,Hotel/Hospitality
Gamya Group,Transportation / Logistics
GAN GROUP,Property / Real Estate
Gandaria Residence,Hotel/Hospitality
Gandasari,Others
Gandhie Language Training and Test Center,Education
Gandsoft,Computer/Information Technology (Software)
Ganesha Education Bali,Education
Ganesha Operation,Education
Ganesha Operation  (Sukoharjo),Education
Ganesha Operation (Bantul),Education
Ganesha Operation (Makassar),Education
Ganesha Operation (Palembang),Education
Ganesha Operation (Sragen),Education
Ganesha Operation (surakarta),Education
Ganesha Operation (Yogyakarta),Education
Ganesha Operation Bali,Education
Ganesha Operation Bandung,Education
Ganesha Operation Blora,Education
Ganesha Operation Boyolali,Education
Ganesha Operation Cabang Jambi,Education
Ganesha Operation Karanganyar,Education
Ganesha Operation Klaten,Education
Ganesha Operation Pasuruan,Education
Ganesha Operation Pekalongan,Education
Ganesha Operation Purwodadi,Education
Ganesha Operation Salatiga,Education
Ganesha Operation unit Wonogiri,Education
Ganesha Operation unit Yosodipuro,Education
Gangnam Aesthetic Jakarta,Grooming/Beauty/Fitness
Gantina Edu Center,Education
GARDA ATA PERKASA,Human Resources Management/Consulting
Garden City Hotel,Hotel/Hospitality
Garden Permata Hotel Bandung,Hotel / Hospitality
Gardena Department Store and Supermarket,Retail/Merchandise
Gardenia Resort And Spa,Hotel/Hospitality
Garis Garis Kreasindo,Architectural Services/Interior Designing
Garmen ocb,Others
