Perusahaan,Sektor
Koperasi Abi,Others
Koperasi Agro Niaga Jaya Abadi Unggul (KAN Jabung),Agricultural/Plantation/Poultry/Fisheries
Koperasi Amartha Indonesia,Banking / Financial Services
KOPERASI ANUGERAH MANDIRI,Banking/Financial Services
Koperasi Anugrah Mega Mandiri,Banking/Financial Services
Koperasi ARSA,Banking / Financial Services
KOPERASI ARTHA CENTRAL ASIA,Banking/Financial Services
Koperasi Artha Guna Mandiri,Banking/Financial Services
Koperasi Artha Mulia,Banking/Financial Services
Koperasi Artha Sejati,Banking/Financial Services
Koperasi Asadana Semesta,Banking/Financial Services
Koperasi Astra International,Banking/Financial Services
Koperasi Bakti Utama Jawa Timur,Banking / Financial Services
Koperasi Bali Segara,Banking/Financial Services
Koperasi Bali Segara Kuta,Banking/Financial Services
Koperasi Berkah Dana,Banking / Financial Services
Koperasi Budi Mulya,Human Resources Management / Consulting
Koperasi Bukit Panorama,Oil / Gas / Petroleum
Koperasi Cahaya Pundi Lestari,Banking/Financial Services
Koperasi Cakra Dhana Werdhi,Banking / Financial Services
Koperasi Cipaganti,Transportation / Logistics
Koperasi Coca Cola Amatil Medan,Others
Koperasi Daya Listrik,Banking/Financial Services
Koperasi Federal International Finance2000,Insurance
Koperasi Griya Mawar Sejahtera,Banking/Financial Services
Koperasi Gunung Delta Mas Kepanjen,Banking / Financial Services
Koperasi Hasil Karya Bersama (FIP),Human Resources Management / Consulting
Koperasi Indonesia Tanah Airku,Banking/Financial Services
Koperasi ISI Surakarta,Others
Koperasi Jasa Keuangan Syariah Artha Sarana Barokah,Banking / Financial Services
Koperasi Jaya Mandiri,Banking/Financial Services
Koperasi Karya Maju Bersama,Banking / Financial Services
Koperasi Karyawan Air Timur Jakarta,Consulting (Business & Management)
Koperasi Karyawan Angkasa Pura Bandar Udara Juanda Surabaya,Aerospace / Aviation / Airline
Koperasi Karyawan Angkasa Pura I (Balikpapan),Transportation / Logistics
Koperasi Karyawan Bisnis Indonesia,Banking/Financial Services
Koperasi Karyawan BNI Syariah,Accounting/Audit/Tax Services
