Perusahaan,Sektor
Maxima Creative Agency,Advertising/Marketing/Promotion/PR
Maximised Web Media (Yeoman Tech),Computer/Information Technology (Software)
Maximize Living,Architectural Services/Interior Designing
Maximum Ultimate Organizer,Exhibitions / Event management / MICE
Maxindo Computer,Computer / Information Technology (Software)
MAXINDO JAYA,Food & Beverage/Catering/Restaurant
Maxine Photography & Video Art,Arts / Design / Fashion
MAXONE HOTEL,Hotel/Hospitality
Maxpower Group,Electrical & Electronics
maxpower group,Others
MAXX INDONESIA,Consulting (Business & Management)
Maxx-Indonesia,Human Resources Management/Consulting
maxxi klin,Others
Maxxland,Others
MAYA MARDIANA,Others
Mayaloka Villas Bali,Hotel / Hospitality
Mayang Suki & Pancake Restarurant,Food & Beverage / Catering / Restaurant
mayani,Others
MAYAPADA HEALTHCARE,Healthcare/Medical
Mayasari Tour Travel,Travel / Tourism
Mayo Indonesia,Computer/Information Technology (Software)
Mayoutfit,Others
Mayra (Moslem Fashion and Style For Woman),Textiles/Garment
Maystar Restaurant Surabaya,Food & Beverage/Catering/Restaurant
Mayura Sentra Gym & Music School,Education
MAZABUTA GROUP,Environment/Health/Safety
Mazda Medan,Automobile/Automotive Ancillary/Vehicle
Mazda Semarang,Automobile/Automotive Ancillary/Vehicle
Mbak Diskon,Computer / Information Technology (Software)
Mbelinger Store,Retail/Merchandise
MC Consulting,Manufacturing/Production
Mc Mikie's,Food & Beverage/Catering/Restaurant
MCA Indonesia,Consulting (Business & Management)
Mcc motor,Automobile/Automotive Ancillary/Vehicle
MCC Overseas Ltd.,Construction/Building/Engineering
"MCC-WIKA-NINDYA-WASKITA, JO",Others
Mcf finance,Others
McLaren Jakarta,Automobile/Automotive Ancillary/Vehicle
mClinica Pte. Ltd (Jakarta),Healthcare/Medical
MDF twinss,Food & Beverage/Catering/Restaurant
MDP Therapy Centre,Healthcare/Medical
MDU Anugerah,Manufacturing/Production
Me - Nail,BioTechnology / Pharmaceutical / Clinical research
ME Magazine (PT Katuju Rekacipta),Printing / Publishing
Meat n Sea,Food & Beverage/Catering/Restaurant
MEC Indonesia,Education
Mecapan Sdn. Bhd.,Others
Med-El Cochlear Implants,Retail / Merchandise
Medan,Agricultural/Plantation/Poultry/Fisheries
Medan Independent School,Education
Medan International Convention Center,General & Wholesale Trading
Medan International School,Education
Medan Montessori School,Education
Medan Ville Hotel,Hotel/Hospitality
MEDAN- SUMATERA UTARA,Others
Medang Residence Syariah,Property/Real Estate
Medco Foundation,Non-Profit Organisation/Social Services/NGO
Medco Geothermal Sarulla,Others
Medece Kosmetika Indonesia,Grooming/Beauty/Fitness
Media 21 Realty,Property/Real Estate
Media Aplikasi Indonesia,"Consulting (IT, Science, Engineering & Technical)"
Media Confidence,Computer/Information Technology (Software)
media corvis,General & Wholesale Trading
MEDIA DIGITALINDO,Computer/Information Technology (Software)
Media Edukasi Positif,Education
Media Grafindo (EPSON Premium Partner),Printing/Publishing
MEDIA HATI,"Consulting (IT, Science, Engineering & Technical)"
Media Informasi Teknologi Indonesia / Epic Triangle,Computer/Information Technology (Software)
Media Inti Visitama,Others
Media Prioritas,Advertising / Marketing / Promotion / PR
Media Promo Nusantara,Advertising/Marketing/Promotion/PR
Media Satu Group,Printing / Publishing
MediaComm,Others
Medial Partner,Call Center / IT-Enabled Services / BPO
Mediatechindo,"Consulting (IT, Science, Engineering & Technical)"
Medical Shop,Healthcare/Medical
MEDIFAST,Others
Medigreen Clinic,Others
Medika Antapani,Healthcare/Medical
Medika Group,BioTechnology/Pharmaceutical/Clinical research
Medika Plaza,Others
Medika Tahta Glory,Healthcare/Medical
medikpro,Others
MedikPro Aesthetic & Laser Clinic,Others
Medisata Global Solusi,Healthcare/Medical
medisgo,Others
Mediterranea Restaurant by Kamil,Food & Beverage/Catering/Restaurant
Mediterranean Bali,Education
Medivac Asia,Aerospace/Aviation/Airline
Medley music school,Education
Medogh.Com,General & Wholesale Trading
Medspa-Spa Salon,Healthcare / Medical
Medya Klinik,BioTechnology / Pharmaceutical / Clinical research
MeerZegen Cafe & Restaurant,Food & Beverage/Catering/Restaurant
Mega Baja,Manufacturing/Production
Mega Capital Securitas,Others
MEGA DIGITAL,Others
Mega Elektronik,Retail / Merchandise
Mega Factory,Others
MEGA FINANCE LEMBANF,Banking/Financial Services
