Perusahaan,Sektor
PT Abetama Sempurna (Balikpapan),Electrical & Electronics
PT Abetama Sempurna (Jakarta),Consumer Products / FMCG
PT Abhaya Eka Astiti (INTERNATIONAL SOS BALI),Environment / Health / Safety
PT Abhimata Citra Abadi,Telecommunication
PT Abhimata Manunggal,General & Wholesale Trading
PT Abhimata Persada,Computer/Information Technology (Software)
PT Abhipraya Teknik Mandiri,Heavy Industrial/Machinery/Equipment
PT Abhiseka Bangun Citra,"Consulting (IT, Science, Engineering & Technical)"
PT Abhitech Matra Indah,Consulting (Business & Management)
PT Abhitrans Matra Indah,Transportation/Logistics
PT Abi Elang Indo,Manufacturing/Production
PT Abileo Alam Makmur,Computer / Information Technology (Software)
PT Abimanyu Sekar Nusantara,Manufacturing/Production
PT Abimanyuland Cahya Asia,Property/Real Estate
PT Abirupa Prabaswara Cipta Mahadewi,BioTechnology/Pharmaceutical/Clinical research
PT ABISHAR TECHNOLOGIES INDONESIA,"Consulting (IT, Science, Engineering & Technical)"
PT ABM Global Solutions,Computer / Information Technology (Software)
PT Abot Deli,Textiles / Garment
PT Abov Kreatif Indonesia,Architectural Services/Interior Designing
PT Abraham Jaya Group,Travel/Tourism
PT Abraham Tour Midas Group,Travel / Tourism
PT ABS Labelindo,Printing/Publishing
PT Absolut Controlindo Internasional,Electrical & Electronics
PT Absolute Connection,"Consulting (IT, Science, Engineering & Technical)"
PT Absolute Picture Indonesia,General & Wholesale Trading
PT Absolute Scuba Indonesia,Accounting / Audit / Tax Services
PT Abtamas Kurnia,Automobile / Automotive Ancillary / Vehicle
PT Abuba,Food & Beverage/Catering/Restaurant
PT Abuki Jaya Stainless Indonesia,Manufacturing / Production
PT Abul Pratamajaya,Human Resources Management/Consulting
PT Abyor International,"Consulting (IT, Science, Engineering & Technical)"
PT Abyudaya Harmony Selaras,Construction/Building/Engineering
PT Ac Autoindo Pratama,Automobile/Automotive Ancillary/Vehicle
PT ACA Pacific,Computer/Information Technology (Software)
PT Acacia IT Services Indonesia,Computer/Information Technology (Software)
PT Academia Citra Abadi,Consulting (Business & Management)
PT Acara Pesta Gemilang,Exhibitions/Event management/MICE
PT Acatya Gading Bimata,Human Resources Management / Consulting
PT Acatya Multi Sentosa,Consumer Products/FMCG
PT Accel Mitra Solusi,Computer / Information Technology (Hardware)
PT Accel Multikikai Suksestama,Manufacturing/Production
PT Accelerating Business Eminence,General & Wholesale Trading
PT Accelist Lentera Indonesia,Computer/Information Technology (Software)
PT Accent Technology,Manufacturing / Production
PT Accenta Prosmartindo,Human Resources Management / Consulting
PT ACCENTUATES,Human Resources Management/Consulting
PT Accenture,Consulting (Business & Management)
PT Access Asia Holiday,Travel / Tourism
PT Access Lintas Solusi,Computer/Information Technology (Hardware)
PT Access Micro Sistem,Computer / Information Technology (Software)
PT Access Mobile Indonesia,Telecommunication
PT Access One Indonesia,Consulting (Business & Management)
PT Acclivis Technologies And Solutions,Computer/Information Technology (Software)
PT Accolades Lakhsmi Resort,Hotel/Hospitality
PT Accor Advantageplus,Hotel/Hospitality
PT Accor Advantageplus (Surabaya),Accounting/Audit/Tax Services
PT Accor Teknologi Indonesia,Computer/Information Technology (Software)
PT Accord Mandiri Batam,Manufacturing / Production
PT Accu Technology Indonesia,Electrical & Electronics
PT Accupunto International,Construction / Building / Engineering
PT Ace Construction Indonesia,Construction / Building / Engineering
PT Ace Hardware Indonesia ( Jambi ),Retail/Merchandise
PT Ace Hardware Indonesia (Bali),Retail / Merchandise
PT Ace Hardware Indonesia (Banjarmasin),General & Wholesale Trading
PT Ace Hardware Indonesia (Corporate),Retail/Merchandise
PT Ace Hardware Indonesia (Palembang),General & Wholesale Trading
PT Ace Hardware Indonesia (Pekanbaru),General & Wholesale Trading
"PT Ace Hardware Indonesia , TBK",Chemical / Fertilizers / Pesticides
"PT Ace Hardware Indonesia, Tbk",Retail / Merchandise
PT ACE INA Insurance,Insurance
PT Ace Indonesia Reksatama,Human Resources Management/Consulting
PT Ace industries indonesia,Advertising / Marketing / Promotion / PR
PT ACE Life Assurance (Surabaya),Insurance
PT ACE Life Indonesia,Insurance
PT Ace Oldfields,Manufacturing/Production
PT Ace Property Development,Property/Real Estate
PT Ace Visi Indonesia,Manufacturing / Production
PT Ace-Emtek Indonesia,Construction/Building/Engineering
PT Acebond Indonesia,Construction / Building / Engineering
PT Acece Sarana Prima,Construction / Building / Engineering
PT Aceh Timur,General & Wholesale Trading
PT Acelife Assurance,Insurance
PT Acer Indonesia,Computer/Information Technology (Hardware)
PT Aces Digital Multitrada,Electrical & Electronics
PT Acetris Formatika,"Consulting (IT, Science, Engineering & Technical)"
PT Acez Instruments Indonesia,Heavy Industrial/Machinery/Equipment
PT Acg Indonesia,Healthcare/Medical
PT Achieve Human Resource,Consulting (Business & Management)
PT AchieveGlobal Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT ACI Korindo Ekspress,Transportation/Logistics
PT Acinti Prima,Manufacturing/Production
PT Acis Ekamula Sucakti,Automobile / Automotive Ancillary / Vehicle
PT Ack Rimba Lestari,Accounting/Audit/Tax Services
PT Aclarin Prima Sejahtera,Human Resources Management/Consulting
PT ACM Technology,General & Wholesale Trading
PT ACOCHEM INDONESIA,Accounting/Audit/Tax Services
PT Acommerce Solusi Lestari,"Consulting (IT, Science, Engineering & Technical)"
PT Acon Indonesia,Manufacturing / Production
PT ACOOLER COLD CHAIN EQUIPMENT,Others
PT Acorn Konsultan,Consulting (Business & Management)
