Perusahaan,Sektor
PT Andritz Hydro ( Jakarta ),Construction/Building/Engineering
PT Andromeda Atria Wisata (Head Office),Travel / Tourism
PT Andromedia,Computer/Information Technology (Software)
PT Andromega Buana Abadi,Construction/Building/Engineering
PT Andy Widjaya Architects,Architectural Services/Interior Designing
PT Aneka,General & Wholesale Trading
PT Aneka Abadi Suplindo,Construction/Building/Engineering
PT Aneka Andalan Asia,Transportation/Logistics
PT Aneka Asia Buana,Computer / Information Technology (Software)
PT Aneka Bangun Usaha,Construction / Building / Engineering
PT Aneka Banusakti,Manufacturing / Production
PT Aneka Berkat,General & Wholesale Trading
PT Aneka Beton Prima (Makassar),Construction / Building / Engineering
PT Aneka Bina Citra,Construction / Building / Engineering
PT Aneka Bintang Gading,Food & Beverage/Catering/Restaurant
PT Aneka Bintang Sejati Labelindo,Advertising/Marketing/Promotion/PR
PT Aneka Boga Nusantara,Consumer Products/FMCG
PT Aneka Bumi Pratama,Manufacturing/Production
PT ANEKA CAHAYA SURYA,Telecommunication
PT Aneka Cipta (Jakarta),Retail / Merchandise
PT Aneka Cipta Kreasi Jaya,Construction/Building/Engineering
PT Aneka Cipta Kreatif,Exhibitions/Event management/MICE
PT Aneka Cipta Total Solusindo,"Consulting (IT, Science, Engineering & Technical)"
PT Aneka Citra Refrindo,Utilities / Power
PT Aneka Coffee Industry,Manufacturing/Production
PT Aneka Coklat Kakoa,Food & Beverage / Catering / Restaurant
PT Aneka Coklat Kakoa (Jakarta),Food & Beverage/Catering/Restaurant
PT Aneka Dasuib Jaya,Accounting/Audit/Tax Services
PT Aneka Daya Prima (Jakarta),Repair & Maintenance Services
PT Aneka Dharma Persada,Construction / Building / Engineering
PT Aneka Froze Triutama,Electrical & Electronics
PT Aneka Glass Abadi,Manufacturing / Production
PT Aneka Globalindo Footwear,Manufacturing / Production
PT Aneka Grafindo,General & Wholesale Trading
PT Aneka Indomakmur,Manufacturing/Production
PT Aneka Infokom Tekindo,General & Wholesale Trading
PT Aneka Interniaga Gemilang,Construction/Building/Engineering
PT Aneka Inti Wangi,Retail/Merchandise
PT Aneka Isolasi,General & Wholesale Trading
PT Aneka Jaringan Indonesia,Construction/Building/Engineering
PT Aneka Jasa Grhadika,Architectural Services/Interior Designing
PT Aneka Jasa Sinergi,Human Resources Management/Consulting
PT Aneka Jaya Pratama,General & Wholesale Trading
PT Aneka Jaya Property,Property / Real Estate
PT ANEKA KAKAO,Manufacturing/Production
PT Aneka Karya,General & Wholesale Trading
PT Aneka Karya Konstruksi,Construction/Building/Engineering
PT Aneka Karya Lestari,Environment/Health/Safety
PT Aneka Kencana Plastindo,Manufacturing/Production
PT Aneka Kimia Inti,Chemical/Fertilizers/Pesticides
PT Aneka Komkar Utama,Polymer/Plastic/Rubber/Tyres
PT Aneka Konsep Pratama,General & Wholesale Trading
PT Aneka Kopi Indonesia,Food & Beverage / Catering / Restaurant
PT Aneka Kreasi Maju Terus,Wood / Fibre / Paper
PT Aneka Maju Terus,Retail/Merchandise
PT Aneka Makmur Sejahtera,Automobile / Automotive Ancillary / Vehicle
PT Aneka Mas Motor,General & Wholesale Trading
PT Aneka Medika Indonesia,BioTechnology / Pharmaceutical / Clinical research
PT ANEKA MESIN KONSTRUKSINDO,Heavy Industrial/Machinery/Equipment
PT Aneka Mode Indonesia,Manufacturing/Production
PT Aneka Multi Alam,General & Wholesale Trading
PT Aneka Multi Data,Computer / Information Technology (Software)
PT Aneka Oasis Indah,Food & Beverage/Catering/Restaurant
PT ANEKA PANEL INDONESIA,Manufacturing/Production
PT Aneka Papera Indah,Retail/Merchandise
PT Aneka Paperindo Sejahtera,Manufacturing/Production
PT Aneka Perkasa Masindo,Automobile/Automotive Ancillary/Vehicle
PT Aneka Perkasa Masindo Semarang,Automobile / Automotive Ancillary / Vehicle
PT Aneka Pesona Paradiso,Travel/Tourism
PT Aneka Pratama Plastindo,Printing/Publishing
PT Aneka Prima,Transportation / Logistics
PT Aneka Prima Permai Tours&Travel,Travel / Tourism
PT Aneka Prima Sari Rasa,Food & Beverage/Catering/Restaurant
PT Aneka Rasa Makmur,Food & Beverage / Catering / Restaurant
PT Aneka Rasa Murni,Food & Beverage/Catering/Restaurant
PT Aneka Raya Cemerlang,Healthcare / Medical
PT Aneka Raya Optima,General & Wholesale Trading
PT Aneka Roda Kencana,Automobile / Automotive Ancillary / Vehicle
PT Aneka Rupa Tera,Printing/Publishing
PT Aneka Sakti Bakti (Asaba) [Balikpapan Branch],Retail / Merchandise
PT Aneka Sakti Bakti (Asaba) Yogyakarta Branch,General & Wholesale Trading
PT Aneka Sakti Bakti Cabang Surabaya,"Consulting (IT, Science, Engineering & Technical)"
PT Aneka Sarana Konstrindo ( Asako ),Repair & Maintenance Services
PT Aneka Sarana Perkasa,Construction / Building / Engineering
PT Aneka Sarana Realindo,Banking / Financial Services
PT Aneka Search Indonesia,Consulting (Business & Management)
PT Aneka Sentratama Cahaya Optima (ASCO),Construction/Building/Engineering
PT Aneka Serba Boga,Food & Beverage / Catering / Restaurant
PT Aneka Sistim Informasi,Computer / Information Technology (Software)
PT Aneka Solusi Engineering,Construction/Building/Engineering
PT Aneka Solusi Teknologi,Computer / Information Technology (Software)
PT Aneka Star,Heavy Industrial/Machinery/Equipment
PT Aneka Sumberbumi Jaya,Manufacturing/Production
PT Aneka Surya Aluminium,Construction/Building/Engineering
PT Aneka Surya Globalindo,Construction / Building / Engineering
PT Aneka Tambang (Persero) Tbk,Others
PT Aneka Tambang Tbk,Mining
PT Aneka Tani Mandiri,Agricultural / Plantation / Poultry / Fisheries
PT Aneka Tigatiga Makmur,Food & Beverage/Catering/Restaurant
PT Aneka Timber & Furniture,Retail/Merchandise
