Perusahaan,Sektor
PT Aneka Tirta Sukoindo,Manufacturing/Production
PT Aneka Tuna Indonesia,Manufacturing/Production
PT ANEKA TUSMA,Manufacturing / Production
PT Aneka Unggul Polindo,Wood/Fibre/Paper
PT ANEKA USAHA cab. Bekasi,Others
PT Aneka Warna Indah,General & Wholesale Trading
PT Aneka Warna Indah (Divisi Marketing),General & Wholesale Trading
PT Aneka Warna Semesta,Manufacturing/Production
PT Aneka Wisata Tour & Travel,Travel/Tourism
PT Anekaplas Sumbermakmur,Polymer/Plastic/Rubber/Tyres
PT Anekatek Consultants,"Consulting (IT, Science, Engineering & Technical)"
PT ANEKATEKNIK TEGUHSELARAS,Heavy Industrial/Machinery/Equipment
PT Anekatrans Persada Indonesia,Transportation / Logistics
PT Anema Group & Management,Hotel/Hospitality
PT Anema villas & hotels,Hotel/Hospitality
PT Anexco Mitra Abadi,BioTechnology/Pharmaceutical/Clinical research
PT Angel Fashion Studio,Manufacturing / Production
PT Angelina Kartika Timur Cemerlang,Textiles/Garment
PT Angels Products,Manufacturing/Production
PT Angga Reksa Bahari,Construction/Building/Engineering
PT Anggada Perkasa,Transportation/Logistics
PT Anggada Putra Rekso Mulia ( APRM ),Consumer Products/FMCG
PT Anggana Catur Prima,General & Wholesale Trading
PT Anggana Sandya Development,General & Wholesale Trading
PT Anggara Architeam,"Consulting (IT, Science, Engineering & Technical)"
PT Anggaraksa Perkasa,Healthcare / Medical
PT Anggarda Himber Indonesia,Food & Beverage/Catering/Restaurant
PT Anggarkasih,Repair & Maintenance Services
PT Anggia Ari Surya,Construction / Building / Engineering
PT Anggie Rassly Andalan,Grooming/Beauty/Fitness
PT Anggrek Hitam,Construction/Building/Engineering
PT Anggrek Merah,Construction/Building/Engineering
PT Anggrek Wisata Indonesia,Travel/Tourism
PT Anggun Elok Nusantara,Grooming/Beauty/Fitness
PT Anggun Permai Tekindo,Mining
PT Anggur Indo Raya ( AIR ),Property / Real Estate
PT ANGGUR MERAH SUBUR,Computer/Information Technology (Software)
PT Anghauz Indonesia,Manufacturing/Production
PT Angin Sukses Jaya,Retail/Merchandise
PT Angka Teknik Sepadan,Manufacturing / Production
PT Angka Wijaya Sentosa,Construction / Building / Engineering
PT Angkasa Adibayu Buana,Transportation / Logistics
PT Angkasa Adibayu Buana (Surabaya),Transportation/Logistics
PT Angkasa Biru Lestari,General & Wholesale Trading
PT Angkasa Biru Raya,Property / Real Estate
PT Angkasa Buana Cipta,Manufacturing / Production
PT Angkasa Buana Niaga Cipta,Electrical & Electronics
PT Angkasa Cipta Cemerlang,General & Wholesale Trading
PT Angkasa Ekabakti,Transportation / Logistics
PT Angkasa Indo Jaya,Human Resources Management / Consulting
PT Angkasa Interland,Property/Real Estate
PT Angkasa Masa Depan,Food & Beverage/Catering/Restaurant
PT Angkasa Megah Plasindo,Manufacturing/Production
PT ANGKASA PURA 2 JAKARTA,Others
PT Angkasa Pura Hotel,Hotel/Hospitality
PT Angkasa Pura Logistik,Transportation/Logistics
PT Angkasa Pura Properti,Property/Real Estate
PT Angkasa Pura Retail,Retail/Merchandise
PT Angkasa Pura Suport,Aerospace/Aviation/Airline
PT Angkasa Putra,Printing / Publishing
PT Angkasa Putra Data Teknologi,Call Center / IT-Enabled Services / BPO
PT Angkasa Raya Steel,Manufacturing/Production
PT Angkasa Rekayasa Cemerlang,Architectural Services / Interior Designing
PT Angkasa Sakti,Heavy Industrial / Machinery / Equipment
PT Angkasaraya Jaya Internasional,Construction/Building/Engineering
PT Angkasindo Dunia ( Niagara ),General & Wholesale Trading
PT AngkeTrans Megah,Transportation / Logistics
PT Angkutan Utama Perkasa,Transportation/Logistics
PT Angler Biochemlab,BioTechnology/Pharmaceutical/Clinical research
PT Anglo Distrindo Antara,Retail/Merchandise
PT Anglo Eastern Plantations Management Indonesia,Agricultural/Plantation/Poultry/Fisheries
PT Angric Teknik Persada,Construction/Building/Engineering
PT Angsa Daya,Manufacturing / Production
PT Angsa Emas Perdana,Food & Beverage/Catering/Restaurant
PT Angsa Putih Kurnia Kharisma,Manufacturing/Production
PT Angsamerah,Healthcare/Medical
PT Angsuranku Teknologi Indonesia,Others
PT Angsuranku Teknologi Indonesia (jkt),Computer/Information Technology (Software)
PT Anhe Hydro Engineering,Construction/Building/Engineering
PT Anho Biogenesis Prima Indonesia,Healthcare/Medical
PT Animal Clinic Jakarta,Healthcare / Medical
PT Animo Sarana,Construction/Building/Engineering
PT Anindo Dutabhuana,Education
PT Anindo Perkasa Abadi,Manufacturing/Production
PT Anindojaya Swakarsa,BioTechnology/Pharmaceutical/Clinical research
PT Anindya Wiraputra,Mining
PT Anita Jaya,Retail/Merchandise
PT Anjani Persada Wisata,Travel/Tourism
PT Anjari Global Indonesia,Grooming/Beauty/Fitness
PT Anjaya Paramudya Perkasa,Repair & Maintenance Services
PT Ankaido Sarana Sejahtera,Transportation / Logistics
PT Anlipo,General & Wholesale Trading
PT ANNAJAH SOLVINDO,General & Wholesale Trading
PT Annapola,Property / Real Estate
PT Annapurna Jaya Agung,Automobile/Automotive Ancillary/Vehicle
PT ANNIESA HASIBUAN FASHION,Arts/Design/Fashion
PT Annisa Mitra Husada (Rumah Sakit Annisa),Healthcare/Medical
PT Anomali Coffee,Food & Beverage/Catering/Restaurant
PT Anriz Global Connection,"Consulting (IT, Science, Engineering & Technical)"
PT Anro Multi,"Consulting (IT, Science, Engineering & Technical)"
