Perusahaan,Sektor
PT Anugerah Hospitalindo,Healthcare/Medical
PT Anugerah Idealestari,General & Wholesale Trading
PT Anugerah Indahmulia Abadi,Accounting/Audit/Tax Services
PT Anugerah Internusa Prima,Automobile / Automotive Ancillary / Vehicle
PT Anugerah Jaya Mandiri Bersama,Manufacturing / Production
PT Anugerah Jaya Steel,General & Wholesale Trading
PT Anugerah Jelajah Indonesia Logistic,Transportation/Logistics
PT Anugerah Karista Aditama,Wood/Fibre/Paper
PT Anugerah Karya Aditama Sentosa,Advertising/Marketing/Promotion/PR
PT Anugerah Karya Andalan (AKA),Consulting (Business & Management)
PT Anugerah Karya Dharma,Construction / Building / Engineering
PT Anugerah Kasih Investama,Property/Real Estate
PT Anugerah Kasih Karunia Abadi,Consulting (Business & Management)
PT Anugerah Kasih Putera (Honda Anugerah),Automobile/Automotive Ancillary/Vehicle
PT Anugerah Kasih Sejahtera,Travel/Tourism
Pt anugerah kekal plastindo,Polymer / Plastic / Rubber / Tyres
PT Anugerah Kencana Sakti,General & Wholesale Trading
PT Anugerah Kharisma Jaya,General & Wholesale Trading
PT Anugerah Kreatif Mandiri,Mining
PT Anugerah Langkat Makmur,Agricultural/Plantation/Poultry/Fisheries
PT Anugerah Lestari Konstruksi Nusantara,Construction/Building/Engineering
PT Anugerah Lima Tujuh Sejahtera,Others
PT Anugerah Lima Tujuh Sejahtera (AMS),Consulting (Business & Management)
PT Anugerah Maju Bersama,Computer/Information Technology (Hardware)
PT Anugerah Maju Bersama Cemerlang,Electrical & Electronics
PT Anugerah Makmur Sejahtera,Transportation/Logistics
PT ANUGERAH MANDIRI INTERNASIONAL TRANS,Accounting/Audit/Tax Services
PT Anugerah Manggala Damai,Consulting (Business & Management)
PT Anugerah Maritim Indonesia,Telecommunication
PT Anugerah Matahari Gemilang,Property / Real Estate
PT Anugerah Mega Energi,Mining
PT Anugerah Mega Lestari,Healthcare/Medical
PT Anugerah Mega Perdana,Healthcare / Medical
PT Anugerah Mentari Bersinar,Retail/Merchandise
PT Anugerah Metal Mitra Mandiri,Chemical/Fertilizers/Pesticides
PT Anugerah Mitra Semesta,Manufacturing / Production
PT Anugerah Mortar Abadi,Manufacturing/Production
PT Anugerah Mulia Bersatu,Consulting (Business & Management)
PT Anugerah Mulia Indobel,Consumer Products/FMCG
PT Anugerah Mulia Raya,Oil/Gas/Petroleum
PT Anugerah Niaga Gemilang,Oil/Gas/Petroleum
PT ANUGERAH NUSA DAYA,Property/Real Estate
PT Anugerah Nusa Dinamika,Consulting (Business & Management)
PT Anugerah Nusa Guna,Manufacturing/Production
PT Anugerah Nusa Teknik,General & Wholesale Trading
PT Anugerah Palm Indonesia,Others
PT Anugerah Pangan Prima Lestari,Consumer Products / FMCG
PT Anugerah Pangan Sentosa,Food & Beverage/Catering/Restaurant
PT Anugerah Papercup Indonesia,Manufacturing/Production
PT Anugerah Pasific Jaya,Transportation/Logistics
PT Anugerah pelangi sukses,Agricultural/Plantation/Poultry/Fisheries
PT Anugerah Pelita Harapan,Human Resources Management / Consulting
PT Anugerah Perdana Putra,Banking / Financial Services
Pt Anugerah perwira indo,Others
PT Anugerah Pharmindo Lestari (APL),BioTechnology/Pharmaceutical/Clinical research
PT Anugerah Pharmindo Lestari (Surabaya Branch),Healthcare/Medical
PT Anugerah Pratama Inspirasi,Accounting/Audit/Tax Services
PT Anugerah Prima Properti,Property/Real Estate
PT Anugerah Protecindo,Automobile/Automotive Ancillary/Vehicle
PT Anugerah Protecindo (Surabaya),Automobile / Automotive Ancillary / Vehicle
PT Anugerah Putera Jaya,Property / Real Estate
PT Anugerah Raya Kencana,Chemical/Fertilizers/Pesticides
PT Anugerah Reed Indonesia,Manufacturing / Production
PT Anugerah Sakti,Textiles / Garment
PT Anugerah Samudra Indomakmur,Transportation / Logistics
PT Anugerah Securindo Indah,Consumer Products / FMCG
PT Anugerah Securindo Indah (Bandung),Stockbroking / Securities
PT Anugerah Sekawan Makmur,Education
PT Anugerah Semesta Niaga,BioTechnology/Pharmaceutical/Clinical research
PT Anugerah Sentosa Agung,Retail/Merchandise
PT Anugerah Setia Kawan,Computer / Information Technology (Software)
PT Anugerah Sinergi Pratama,Automobile/Automotive Ancillary/Vehicle
PT Anugerah Sistema Perkasa (Surabaya),Heavy Industrial/Machinery/Equipment
PT Anugerah Smartbit Indonesia,Computer / Information Technology (Hardware)
PT Anugerah Solusi Tekindo,Computer/Information Technology (Hardware)
PT Anugerah Spareparts Sejahtera,Manufacturing/Production
PT Anugerah Srirejeki Alam Sentosa (ILP Rawamangun),Education
PT Anugerah Sukses Travelindo,Travel/Tourism
PT Anugerah Surya Dinara,Heavy Industrial/Machinery/Equipment
PT Anugerah Surya Pratama,Mining
PT Anugerah Suryo Propertindo,Construction/Building/Engineering
PT Anugerah Tangkas Transportindo,Transportation/Logistics
PT Anugerah Terang Indonesia,Electrical & Electronics
PT Anugerah Terang Indonesia (Semarang),Retail / Merchandise
PT Anugerah Terang Mandiri (PA Armada Trans Jaya ),Transportation/Logistics
PT Anugerah Terang Sejati,Printing / Publishing
PT Anugerah Texindotama,General & Wholesale Trading
PT Anugerah Tirta Kahuripan,Construction / Building / Engineering
PT Anugerah Tirta Sukses,Semiconductor/Wafer Fabrication
PT Anugerah Total Sejahtera,Consumer Products / FMCG
PT Anugerah Tovica (Kinderland Jakarta Selatan),Education
PT Anugerah Tristar Sejahtera,Retail / Merchandise
PT Anugerah Tritunggal Electrindo,Electrical & Electronics
PT Anugerah Unggul  Gemilang,Consulting (Business & Management)
PT Anugerah Utama Finance (Sidoarjo),Banking/Financial Services
PT Anugerah Utama Multifinance (Lampung),Banking/Financial Services
PT Anugerah Vata Abadi,General & Wholesale Trading
PT Anugerah Wijayatrisna,Construction/Building/Engineering
PT ANUGRAH,Accounting/Audit/Tax Services
PT Anugrah Abadi Baru,"Consulting (IT, Science, Engineering & Technical)"
