Perusahaan,Sektor
PT Asia Quattro Net,Telecommunication
PT Asia Raya Eksibisi,Exhibitions/Event management/MICE
PT ASIA RAYA TECHNOLOGY,Electrical & Electronics
PT Asia Recycle Mandiri,Polymer/Plastic/Rubber/Tyres
PT Asia Sailing Voyage,Travel/Tourism
PT Asia Sakti Wahid Foods Manufacture,Manufacturing/Production
PT Asia Sarana Telekomunika,Computer/Information Technology (Software)
PT ASIA SAWIT MAKMUR JAYA,Agricultural/Plantation/Poultry/Fisheries
PT Asia Select Indonesia,Consulting (Business & Management)
PT Asia Serv Indonesia,Oil/Gas/Petroleum
PT Asia Servitama,Consulting (Business & Management)
PT Asia Sinar Inti Abadi,Manufacturing/Production
PT Asia Sinergi Solusindo,"Consulting (IT, Science, Engineering & Technical)"
PT Asia Surya Prima Kencana,Manufacturing/Production
PT Asia Talenta Mandiri,General & Wholesale Trading
PT Asia Teknologi Solusi,Computer/Information Technology (Software)
PT Asia Teleservices,Telecommunication
PT Asia Tenggara,Retail/Merchandise
PT Asia Timur Makmurjaya,Construction/Building/Engineering
PT Asia Tirta Perdana,Transportation / Logistics
PT Asia Tools United,Others
PT Asia Top,Others
PT Asia Tracks Indonesia,Computer/Information Technology (Software)
PT Asia Tractors (Balikpapan),General & Wholesale Trading
PT Asia Trade Perkasa,Advertising / Marketing / Promotion / PR
PT Asia Trade Perkasa,General & Wholesale Trading
PT Asia Trading Paramitra (ATP),Apparel
PT Asia Unggul Semesta,Food & Beverage/Catering/Restaurant
PT Asia Utama Indonesia,Retail/Merchandise
PT Asia Utama Konsultan,Human Resources Management/Consulting
PT Asia Utama Wisata,Travel/Tourism
PT Asia Vakansi,Hotel / Hospitality
PT Asiable Indonesia,Travel / Tourism
PT Asiacapital Utama Indonesia,General & Wholesale Trading
PT ASIADAYA ABADI,Human Resources Management/Consulting
PT Asiadaya Abadi Yogyakarta,Human Resources Management/Consulting
PT Asiadrill Bara Utama,Mining
PT Asiakomnet Multimedia,Telecommunication
PT Asiamadya Selaras,Sports
PT Asiamax Mining Indonesia,Mining
PT Asiamoon,Manufacturing / Production
PT Asian Agri Group,Heavy Industrial / Machinery / Equipment
PT Asian Bearindo Jaya,General & Wholesale Trading
PT Asian Bearindo Sejahtera,General & Wholesale Trading
PT Asian Center For Management And Entrepreneurship,Education
PT Asian Collections Garment,Textiles/Garment
PT Asian Cotton Industry,Textiles / Garment
PT Asian Groupage Services,Transportation/Logistics
PT Asian Groupage Services Cabang Surabaya,Transportation / Logistics
PT Asian Hybrid Seed Technologies Indonesia,Agricultural / Plantation / Poultry / Fisheries
PT Asian Isuzu Casting Center,Automobile/Automotive Ancillary/Vehicle
PT Asian Pack Chem,Manufacturing/Production
PT Asian Paints Indonesia,Manufacturing/Production
PT Asian Tec Indonesia,Construction/Building/Engineering
PT Asian Trails Indonesia,Travel/Tourism
PT Asiana Chemicalindo Lestari,Agricultural/Plantation/Poultry/Fisheries
PT Asiana Lintas Development,Property/Real Estate
PT Asiana Raga Indonesia,Property / Real Estate
PT Asianet Piranti Sukses,Electrical & Electronics
PT Asianfast Marine Industries,Marine/Aquaculture
PT Asiapac Energy Indo,General & Wholesale Trading
PT Asiapac Multi Solusi,Manufacturing/Production
PT Asiapacific True Trust,General & Wholesale Trading
PT Asiapapercon Internusa,Manufacturing / Production
PT Asiaparts Indotech,Manufacturing/Production
PT Asiapasific Xpressindo,Transportation/Logistics
PT AsiaPay Technology Indonesia,Banking/Financial Services
PT Asiaplast Industries Tbk,Manufacturing/Production
PT Asiapools Kalista,Construction / Building / Engineering
PT Asiapro Cemerlang,Manufacturing/Production
PT AsiaRep,Mining
PT Asiasejahtera Perdana Pharmaceutical,Consumer Products/FMCG
PT Asiasejahtera Perdana Pharmaceutical (Bali),Consumer Products / FMCG
PT Asiasejahtera Perdana Pharmaceutical (Surabaya),Food & Beverage/Catering/Restaurant
PT Asiasoft Nusantara,"Consulting (IT, Science, Engineering & Technical)"
PT Asiatech Integrasi,"Consulting (IT, Science, Engineering & Technical)"
PT Asiatek Solusi Indonesia,Human Resources Management/Consulting
PT ASIATRUST TECHNOVIMA QUALITI,Mining
PT Asiboma Primadona,Consulting (Business & Management)
PT Asietex Sinar Indopratama,Textiles/Garment
PT Asih Eka Abadi (International SOS),Healthcare/Medical
PT Asih Growing Guna,Agricultural/Plantation/Poultry/Fisheries
PT Asihan Jaya Indah,Manufacturing / Production
PT ASIMA ABADI,Retail/Merchandise
PT Asimetris Data Sentosa,Computer / Information Technology (Software)
PT Asindo Global  (Malang),Travel/Tourism
PT Asirindo,Entertainment/Media
PT Asjaya Indosurya Securities,Stockbroking / Securities
PT Asjaya Mukti Graha (Jakarta),Property/Real Estate
PT Askara Internal,Automobile/Automotive Ancillary/Vehicle
PT Askara Marga Perkasa,Manufacturing/Production
PT Askomindo Dinamika,Computer/Information Technology (Software)
PT Askotama Inti Nusantara,Chemical/Fertilizers/Pesticides
PT ASL Shipyard Indonesia,Construction / Building / Engineering
PT ASL Transport,Transportation / Logistics
PT Asli Gagasan Sejahtera,Construction/Building/Engineering
PT Asli Motor Bantul,Retail/Merchandise
PT Asli Motor Klaten,Automobile/Automotive Ancillary/Vehicle
PT Asmara Home Product Indonesia ( Bali ),Retail/Merchandise
PT Asmara Home Products Indonesia,General & Wholesale Trading
