Perusahaan,Sektor
PT BFI FINANCE INDONESIA TBK (KLATEN),Banking/Financial Services
PT BFI Finance Indonesia Tbk (Lamongan),Banking / Financial Services
PT BFI Finance Indonesia Tbk (Pekanbaru),Banking / Financial Services
PT BFI Finance Indonesia Tbk (Pontianak),Banking/Financial Services
PT BFI Finance Indonesia Tbk (Rantau prapat),Banking / Financial Services
PT BFI Finance Indonesia Tbk (Sidoarjo),Banking/Financial Services
PT BFI Finance Indonesia Tbk (Sragen),Banking/Financial Services
PT BFI Finance Indonesia Tbk (Tarakan),Banking / Financial Services
PT BFI Finance Indonesia Tbk (Yogyakarta),Banking/Financial Services
PT BFI Finance Indonesia Tbk Bali,Banking/Financial Services
PT BFI Finance Indonesia Tbk Bojonegoro,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Kebumen,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Kediri,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Magelang,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Manado,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Mataram,Banking / Financial Services
PT BFI Finance Indonesia Tbk Cabang Pangkalan Bun,Banking / Financial Services
PT BFI Finance Indonesia Tbk Cabang Purwodadi,Banking/Financial Services
PT BFI Finance Indonesia Tbk Cabang Solo,Banking / Financial Services
PT BFI Finance Indonesia Tbk Cabang Sragen,Banking / Financial Services
PT BFI Finance Indonesia Tbk Cabang Surabaya Pakuwon,Banking / Financial Services
PT BFI Finance Indonesia Tbk Gresik,Banking/Financial Services
PT BFI Finance Indonesia Tbk Lamongan,Banking/Financial Services
PT BFI Finance Indonesia Tbk Malang,Banking / Financial Services
PT BFI Finance Indonesia Tbk Solo,Banking / Financial Services
"PT BFI FINANCE INDONESIA, Tbk",Banking/Financial Services
"PT BFI Finance Indonesia, Tbk Surabaya",Banking / Financial Services
PT BFI Finance IndonesiaTbk,Banking/Financial Services
PT BFI Finance IndonesiaTbk (Yogyakarta),Banking / Financial Services
PT BFI finance Samarinda,Banking/Financial Services
"PT BFI Finance, Tbk Tuban",Banking/Financial Services
PT BFI Finance.Tbk (Branch Sampit),Banking/Financial Services
PT BGAP,Repair & Maintenance Services
PT BGC Indonesia,Human Resources Management / Consulting
PT BGIB Insurance Brokers,Insurance
PT BGP INDONESIA,Oil/Gas/Petroleum
PT BGP Indonesia,Oil/Gas/Petroleum
PT Bhadranaya Indonesia Grup,Hotel/Hospitality
PT Bhakti Adikarya Buana Abadi,Science & Technology
PT Bhakti Buana Makmur Distributor,Construction/Building/Engineering
PT Bhakti Energi Persada,Mining
PT Bhakti Idola Tama,General & Wholesale Trading
PT Bhakti Insan Abadi (MPKDM),Retail / Merchandise
PT Bhakti Karya Mandiri,Construction/Building/Engineering
PT Bhakti Karya Persada,Education
PT Bhakti Karya Vita,Hotel / Hospitality
PT Bhakti Mulia Jaya - International Cambridge Centre,Education
