Perusahaan,Sektor
PT Buana Percetakan Indonesia,Printing / Publishing
PT Buana Perkasa Permai (Surabaya),Automobile / Automotive Ancillary / Vehicle
PT Buana Prima Group,Human Resources Management / Consulting
PT Buana Primalite Abadi Sukses,Architectural Services / Interior Designing
PT Buana Propertindo Madani,Property/Real Estate
PT Buana Rasa Indonesia,Food & Beverage/Catering/Restaurant
PT Buana Sejahtera Multidana,Banking/Financial Services
PT Buana Sejahtera Multidana (Pekanbaru),Banking / Financial Services
PT Buana Sejahtera Wisata,Travel/Tourism
PT BUANA SEJAHTERA WISATA,Others
PT Buana Selaras Globalindo,Telecommunication
PT Buana Semesta Lubrindo,Oil/Gas/Petroleum
PT Buana Semesta Multi Cahaya,Aerospace/Aviation/Airline
PT Buana Sinar Abadi,Manufacturing/Production
PT Buana Sriwijaya Sejahtera (Palembang),Agricultural / Plantation / Poultry / Fisheries
PT Buana Sriwijaya Sejahtera Group,Agricultural/Plantation/Poultry/Fisheries
PT Buana Sukses Pratama,General & Wholesale Trading
PT Buana Surya Makmur,Property / Real Estate
PT Buana Talimas Propertindo,Textiles/Garment
PT Buana Triarta,Manufacturing/Production
PT Buana Tunas Segara Subur,Others
PT Buana Tunas Segera Subur,Electrical & Electronics
PT Buana Varia Komputama,Computer/Information Technology (Software)
PT Buana Varia Komputama Surabaya,"Consulting (IT, Science, Engineering & Technical)"
PT Buana Wirasubur Sakti,Agricultural / Plantation / Poultry / Fisheries
PT Buanacitra Internusa,Retail/Merchandise
PT Buanaprima Kharismajaya,Construction / Building / Engineering
PT Buanatama Dimensi Consultant,Consulting (Business & Management)
PT Buanatama Metalindo,Manufacturing/Production
PT Buanatama Sarana Medika,Manufacturing/Production
PT Buanatechno Cipta Solusi,"Consulting (IT, Science, Engineering & Technical)"
PT Buaran Raya Permai,Manufacturing / Production
PT Buaya Travel Indonesia,Travel/Tourism
PT Bubu Kreasi Perdana,Advertising/Marketing/Promotion/PR
PT Buccheri Indonesia,Retail/Merchandise
PT Buchi Indonesia,Chemical/Fertilizers/Pesticides
PT Budaya Daden,Advertising / Marketing / Promotion / PR
PT Budaya Mutiara (Kyokko),Agricultural / Plantation / Poultry / Fisheries
PT Budi Arta Sakti,General & Wholesale Trading
PT Budi Bakti Prima,Construction/Building/Engineering
PT Budi Delta Swakarya,Property / Real Estate
PT Budi Jaya (Bali),Printing / Publishing
PT BUDI JAYA AMENITIES,Printing/Publishing
PT Budi Lim Arsitek,Architectural Services/Interior Designing
PT Budi Makmur Jayamurni,Grooming / Beauty / Fitness
PT Budi Muaratex,Textiles/Garment
PT Budi Rahardja Cahaya,Retail / Merchandise
PT Budi Tamora Permai,Manufacturing/Production
PT Budi Texindo Prakarsa,Manufacturing / Production
PT BUDIARTA MULTI JAYA,Property/Real Estate
PT Budidharma Dibyaraga,Grooming / Beauty / Fitness
PT Budiindah Muliamandiri,Construction / Building / Engineering
PT Budijaya Makmursentosa,General & Wholesale Trading
PT Budikencana Megahjaya,Property / Real Estate
PT Budiman Subrata Niaga,Advertising / Marketing / Promotion / PR
PT Budimas Makmur Mulia,Consumer Products / FMCG
PT Budimas Pundinusa,Construction/Building/Engineering
PT Budimulia Prima Realty,Property / Real Estate
PT Budipratama Sejati,Automobile/Automotive Ancillary/Vehicle
PT Budsan International,Hotel / Hospitality
PT Buena Persada Mining Services,Mining
PT Bueno Energy Indonesia,General & Wholesale Trading
PT Bueno Technology Indonesia,General & Wholesale Trading
PT Bufatra Solusi Pratama,General & Wholesale Trading
PT Buffalo Tours Indonesia,Travel/Tourism
PT Bugar Makmur Sentosa,Grooming/Beauty/Fitness
PT Buhmwoo Indonesia,Oil/Gas/Petroleum
PT Builders Shop Indonesia,Property/Real Estate
PT Building and Plant Safety Institute,Education
PT Buildyet Indonesia,Manufacturing/Production
PT Built To Last International Trade,Manufacturing/Production
PT Buka Media Teknologi,Computer / Information Technology (Hardware)
PT Bukaka Forging Industries,Manufacturing / Production
PT Bukaka Inti Aircon,Manufacturing / Production
"PT Bukaka Teknik Utama, Tbk",Construction/Building/Engineering
PT Bukalapak (Jakarta),"Consulting (IT, Science, Engineering & Technical)"
PT Bukalapak.com,Advertising/Marketing/Promotion/PR
PT Bukan Bejo Biasa,Computer/Information Technology (Software)
PT Bukit Alam Permata,Property / Real Estate
PT Bukit Asam Prima,Mining
PT Bukit Asam Tbk,Mining
PT Bukit Ashar,Manufacturing/Production
PT Bukit Baja Anugrah,Manufacturing / Production
PT Bukit Baja Nusantara,Manufacturing/Production
PT Bukit Baros Cempaka,Food & Beverage/Catering/Restaurant
PT Bukit Borneo Sejahtera,Agricultural / Plantation / Poultry / Fisheries
PT Bukit Darmo Property Tbk ( Surabaya ),Property/Real Estate
PT Bukit Desa Bintang,Manufacturing / Production
PT Bukit Indah Gayatri,Human Resources Management/Consulting
PT Bukit Intan Indoperkasa,Mining
PT Bukit Inti Makmur Abadi,Consumer Products / FMCG
PT Bukit Jaya Utama,Manufacturing / Production
PT Bukit Kembar Permai,Architectural Services/Interior Designing
PT Bukit Lagoi Villa,Property / Real Estate
PT Bukit Makmur Istindo Nikeltama,Mining
PT Bukit Makmur Land,Property / Real Estate
PT Bukit Makmur Mandiri Utama,Mining
PT Bukit Makmur Mandiri Utama (Balikpapan),Mining
PT Bukit Mas Bearindo,General & Wholesale Trading
PT Bukit Mas Jaya,Manufacturing / Production
