Perusahaan,Sektor
PT Bursa Efek Indonesia,Banking/Financial Services
PT Bursa Komoditi Dan Derivatif Indonesia,Banking/Financial Services
PT Bursa Media Komunika,Advertising / Marketing / Promotion / PR
PT Busana Haji Indonesia,Retail/Merchandise
PT Busana Mas,Manufacturing / Production
PT Busana Mulyatex,Textiles/Garment
PT Busana Perkasa Abadi,Retail / Merchandise
PT Busana Remaja Agracipta,Textiles/Garment
PT Busana Remaja Agracipta,Manufacturing/Production
PT Busana Remaja Agracipta,Manufacturing / Production
PT Business Intelligence Technologies,"Consulting (IT, Science, Engineering & Technical)"
PT Business Opportunity Indonesia,Entertainment / Media
PT Business Software Solution,Computer / Information Technology (Software)
PT Businessfirst International,Consulting (Business & Management)
PT Bussan Auto Finance (BAF),Banking/Financial Services
PT Bussan Auto Finance Batam,Banking / Financial Services
PT Bustiket Global Technology,Travel/Tourism
PT Busy Bee,Manufacturing / Production
PT Butik Indo,Arts / Design / Fashion
PT Buton Asphalt Indonesia,Construction/Building/Engineering
PT Buwana Artha Nusantara,Healthcare / Medical
PT Buwana Mitra Semesta,Manufacturing/Production
PT Buyung Poetra Sembada Tbk,Agricultural/Plantation/Poultry/Fisheries
PT Buzoo Indonesia,Manufacturing / Production
PT Buzzle Indonesia,Retail / Merchandise
PT BW Plantation Tbk,Agricultural / Plantation / Poultry / Fisheries
PT BWL Indonesia,General & Wholesale Trading
PT By Design Cipta Graha Indah,Arts / Design / Fashion
PT By Sea Asia (Yogyakarta),General & Wholesale Trading
PT Byan Technology,"Consulting (IT, Science, Engineering & Technical)"
PT Bymart Asia,Manufacturing/Production
PT Byna,Telecommunication
PT Bypassindo Jayaindah,Automobile/Automotive Ancillary/Vehicle
PT Byte Device,General & Wholesale Trading
PT Bytel Sarana Telkomindo,Telecommunication
PT C Daya Cipta (Bandung),Human Resources Management / Consulting
PT C Dayacipta Cabang Pekanbaru,Human Resources Management / Consulting
PT C&P Consultant,Consulting (Business & Management)
PT C. Dayacipta,Human Resources Management / Consulting
PT C2MFG Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT CABANA BOGA LESTARI,Hotel/Hospitality
PT Caberawit Pariwara,Advertising/Marketing/Promotion/PR
PT Cabinindo Putra,Manufacturing/Production
PT Cable Communication Indonesia,Computer / Information Technology (Software)
PT Cable Solutions Indonesia,Electrical & Electronics
PT Cable Tech,Automobile/Automotive Ancillary/Vehicle
PT Cabot Indonesia,Manufacturing / Production
PT CAD PANGAN MANDIRI,Food & Beverage/Catering/Restaurant
PT CADIMBA SAGA DIMENSI,Architectural Services / Interior Designing
PT CAFIS INDONESIA,Computer/Information Technology (Software)
PT Cahaya Abadi Lestari,Manufacturing/Production
PT Cahaya Abadi Pertiwi,Computer/Information Technology (Software)
PT Cahaya Abadi Semesta,Manufacturing/Production
PT Cahaya Abadi Sukses,Textiles / Garment
PT Cahaya Agung Abadi,Advertising/Marketing/Promotion/PR
PT Cahaya Agung Lestari,Automobile/Automotive Ancillary/Vehicle
PT CAHAYA ALAM ABADI,Human Resources Management/Consulting
PT Cahaya Alam Nusantara Indah,Gems / Jewellery
PT Cahaya Alam Semen,General & Wholesale Trading
PT Cahaya Andhika Tamara,Others
PT Cahaya Araminta,Manufacturing / Production
PT Cahaya Arif Abadi,Telecommunication
PT Cahaya Artha Ekatransport,Transportation / Logistics
PT CAHAYA BAHARI SENTOSA,Property/Real Estate
PT Cahaya Baja Fantasindo,Manufacturing/Production
PT Cahaya Bandung Jaya,Property/Real Estate
PT Cahaya Bangsa,Education
PT Cahaya Bangunan Baru,Construction / Building / Engineering
PT Cahaya Batu Raja Blok,Oil / Gas / Petroleum
PT Cahaya Benteng Mas,Manufacturing/Production
PT Cahaya Beringin Sejahtera,Electrical & Electronics
PT Cahaya Berkat Sempurna,Advertising/Marketing/Promotion/PR
PT Cahaya Berlian Lestari Offset,Printing / Publishing
PT CAHAYA BINTANG ABADI,Education
PT Cahaya Biru Sakti Abadi,Manufacturing/Production
PT Cahaya Buana Intitama ( Manufaktur ),Manufacturing / Production
PT Cahaya Buana Intitama (Holding),Manufacturing / Production
PT Cahaya Bukit Biru,Electrical & Electronics
PT Cahaya Bumi Cemerlang,General & Wholesale Trading
PT Cahaya Ceria Cemerlang,Telecommunication
PT Cahaya Cipta Abadi,General & Wholesale Trading
PT Cahaya Cipta Mandiri,Manufacturing/Production
PT Cahaya Citra Alumindo (Jakarta),Others
PT Cahaya Damai Propertindo,Property/Real Estate
PT Cahaya Daring Indonesia,General & Wholesale Trading
PT Cahaya Dewata Nusantara,Heavy Industrial/Machinery/Equipment
PT CAHAYA DUNIA EKSPEDISI (Alibaba Jet Commerce),Transportation/Logistics
PT Cahaya Dwi Karunia,General & Wholesale Trading
PT Cahaya Edukasi Sejahtera,Education
PT Cahaya Esa Karunia Optima,General & Wholesale Trading
PT Cahaya Fajar Merekah,General & Wholesale Trading
PT Cahaya Fortuna Sejati,Construction/Building/Engineering
PT Cahaya Freight Services,Transportation / Logistics
PT Cahaya Gemilang Abadi Sentosa,Property/Real Estate
PT Cahaya Global Makmur,Mining
PT Cahaya Global Vision,Property/Real Estate
PT Cahaya Globalindo Logistic,Transportation/Logistics
PT CAHAYA GRAHA LESTARI,Property / Real Estate
PT Cahaya Gunung Jati,Others
PT Cahaya Harapan Satya Printing,Printing / Publishing
