Perusahaan,Sektor
PT Cahaya Hidup Prima,Computer/Information Technology (Software)
PT Cahaya Intan Indonesia,BioTechnology / Pharmaceutical / Clinical research
PT Cahaya Jakarta,Printing/Publishing
PT Cahaya Kareso Gemilang,Accounting/Audit/Tax Services
PT Cahaya Kasih Sempurna,Repair & Maintenance Services
PT Cahaya Kawan Abadi,"Consulting (IT, Science, Engineering & Technical)"
PT Cahaya Kawanua Abadi,Property / Real Estate
PT Cahaya Kharisma Plasindo (Sukoharjo),Manufacturing/Production
PT Cahaya Kita Grafika,General & Wholesale Trading
PT Cahaya Konsultan Persada,Others
PT Cahaya Kreatif Asia,Education
PT Cahaya Kriya Tritunggal,Arts/Design/Fashion
PT Cahaya Kurnia Utama,Construction / Building / Engineering
PT Cahaya Lentera Esa Abdi Nusantara - CLEAN INC.,Others
PT Cahaya Lestari Permai Abadi,General & Wholesale Trading
PT Cahaya Mahkota Abadi,Automobile / Automotive Ancillary / Vehicle
PT Cahaya Maju Bersama,Manufacturing/Production
PT CAHAYA MAKMUR INTERNATIONAL,Heavy Industrial/Machinery/Equipment
PT Cahaya Martani Gemilang,Education
PT Cahaya Mas Cemerlang,Repair & Maintenance Services
PT Cahaya Mas Makmur,Polymer/Plastic/Rubber/Tyres
PT Cahaya Mas Mandiri,Manufacturing / Production
PT CAHAYA MAS TEKNOLOGI INDONESIA,General & Wholesale Trading
PT Cahaya Mega Sofian,Consumer Products/FMCG
PT Cahaya Megah Pradana,Retail/Merchandise
PT Cahaya Meranti Internasional,Property/Real Estate
PT Cahaya Mitratama Technology,"Consulting (IT, Science, Engineering & Technical)"
PT Cahaya Motor Cemerlang,Apparel
PT CAHAYA MUSTIKA ABADI,Transportation/Logistics
PT Cahaya Mutiara Mandiri,Telecommunication
PT Cahaya Mutiara Sentosa,Others
PT Cahaya Nusantara Bali,Construction / Building / Engineering
PT Cahaya Pelangi Indah,Gems / Jewellery
PT Cahaya Pengajaran Abadi,Transportation / Logistics
PT Cahaya Perdana Transalam (PKM Group),Oil/Gas/Petroleum
PT Cahaya Perkasa Sentana,Retail / Merchandise
PT Cahaya Permata Dunia,Repair & Maintenance Services
PT Cahaya Permata Paramesti,Retail/Merchandise
PT Cahaya Persada,Human Resources Management / Consulting
PT Cahaya Pilar Perkasa,Retail/Merchandise
PT Cahaya Pilar Utama,Property/Real Estate
PT Cahaya Plastindo Sejahtera (PANCA BUDI GROUP),Polymer/Plastic/Rubber/Tyres
PT Cahaya Poles Mulia,Manufacturing/Production
PT Cahaya Prestasi Utama,Entertainment / Media
PT Cahaya Prima Computindo,Computer / Information Technology (Software)
PT Cahaya Prima Kreasi,Advertising / Marketing / Promotion / PR
PT Cahaya Prima Lestari Abadi,Manufacturing / Production
PT Cahaya Prima Sentosa,Printing/Publishing
PT Cahaya Prima Suksestama,General & Wholesale Trading
PT Cahaya Printama,Printing/Publishing
PT Cahaya Properti Indonesia,Property / Real Estate
