Perusahaan,Sektor
PT Circumflex Technology,Call Center / IT-Enabled Services / BPO
PT Cirebon Electric Power,Electrical & Electronics
PT Cirebon Energi Prasarana,Utilities/Power
PT Cirebon Furniture,Wood/Fibre/Paper
PT Cirebon Grahatama,Hotel / Hospitality
PT Cirebon Hotel & Convention ( The Luxton Cirebon Hotel),Hotel/Hospitality
PT Ciriajasa  Cipta Mandiri,Construction/Building/Engineering
PT Ciriajasa Rancang Bangun Mandiri,BioTechnology/Pharmaceutical/Clinical research
PT Cirill Indonesia,Manufacturing / Production
PT Cirindo Mining Utama,Mining
PT Cisadane Raya Chemicals,Chemical/Fertilizers/Pesticides
PT Cisadane Sawit Raya,Agricultural/Plantation/Poultry/Fisheries
PT Cisangkan,Manufacturing/Production
PT Cisangkan (Jakarta),General & Wholesale Trading
PT Cisarut Suprautama (Surabaya),Marine/Aquaculture
PT CISINDO,Manufacturing / Production
PT Cistech Alpha Indonesia,General & Wholesale Trading
PT Cita Alam Permai,Wood/Fibre/Paper
PT Cita Baja Autotruck,Automobile / Automotive Ancillary / Vehicle
PT Cita Bawana,Arts / Design / Fashion
PT Cita Beauty Primaeva,Grooming/Beauty/Fitness
PT Cita Cendera Mata,Food & Beverage/Catering/Restaurant
PT Cita Inti Pratama,Construction/Building/Engineering
PT Cita Kayana Semesta,Retail/Merchandise
PT Cita Kemala Mandiri,Construction/Building/Engineering
PT Cita Kreasi Latena,Consulting (Business & Management)
PT Cita Laras,Consulting (Business & Management)
PT Cita Mineral Investindo Tbk,Mining
PT Cita Mulia,General & Wholesale Trading
PT Cita Mulia (Parahita Diagnostic Center),Healthcare/Medical
PT Cita Rasa Asia,Food & Beverage/Catering/Restaurant
PT Cita Rasa Indonesia,Food & Beverage/Catering/Restaurant
PT Cita Rasa Indonesia Makmur,Food & Beverage/Catering/Restaurant
PT Cita Rasa Prima Indonesia,Food & Beverage/Catering/Restaurant
PT Cita Selera Makmur,Food & Beverage/Catering/Restaurant
PT Citacontrac,Construction/Building/Engineering
PT Citamas Buwana Energi,Oil/Gas/Petroleum
PT Citanduy Perkasa,Property / Real Estate
PT Citarasa Indonesia Abadi,Food & Beverage / Catering / Restaurant
PT Citareka Bina Inovasi,Computer / Information Technology (Software)
PT Citasamit Indonusa,Textiles/Garment
PT Citatah Tbk,Manufacturing/Production
PT Citec Engineering Indonesia,Construction/Building/Engineering
PT Citi Champion,"Consulting (IT, Science, Engineering & Technical)"
PT Citi Interiorindo,Consumer Products/FMCG
PT CITI PLUMB,Manufacturing/Production
PT Citic Envirotech Indonesia,Environment/Health/Safety
PT Citicom Computer Technology,Computer / Information Technology (Hardware)
PT Citicon Medialand,Property/Real Estate
PT Citicon Nusantara Industries,Construction/Building/Engineering
PT Citicon Nusantara Industries,Manufacturing/Production
PT Citidata Digital Indonesia,General & Wholesale Trading
PT Citiglas Inova,Manufacturing/Production
PT Citihub Hotel Manajemen,Hotel/Hospitality
PT Citihub Indonesia Surabaya,Hotel / Hospitality
PT Citilink Indonesia,Aerospace / Aviation / Airline
PT Citilink Network Solutions,Computer / Information Technology (Software)
PT Citius Solusi Indonesia (Jakarta),Human Resources Management/Consulting
PT Cito Medika Utama,Healthcare/Medical
PT Cito Putra Utama,Manufacturing/Production
PT Cito Putra Utama ( Laboratorium Klinik Cito ),Healthcare/Medical
PT Citos Connection,Travel / Tourism
PT Citos Jaya Indonesia,Computer/Information Technology (Hardware)
PT Citos Travel Connection,Travel/Tourism
PT Citosarana Jasapratama,Others
PT Citra Abadi Bosco,Wood/Fibre/Paper
PT Citra Abadi Indah Cemerlang,Automobile / Automotive Ancillary / Vehicle
PT Citra Abadi Lintas Persada,Construction/Building/Engineering
PT Citra Agathis Integra,"Consulting (IT, Science, Engineering & Technical)"
PT Citra Agro Raya,Mining
PT Citra Agung Prima Mandiri,Manufacturing / Production
PT Citra Agung Prima Mandiri Surabaya,Human Resources Management/Consulting
PT Citra Air (Asian Tigers Lane Moving & Storage),Transportation/Logistics
PT Citra Airindo Abadi,Manufacturing/Production
PT Citra Aji Parama,Printing / Publishing
PT Citra Ajiantama Abadi,Construction / Building / Engineering
PT Citra Alfa Mandiri,Manufacturing / Production
PT Citra Anak Mandiri,Education
PT Citra Ananda,Healthcare / Medical
PT Citra Angkasa Cemerlang,Heavy Industrial/Machinery/Equipment
PT Citra Angkasa Tercipta,Education
PT Citra Anugrah Teknika,Property / Real Estate
PT CITRA ARAFIQ MEDIKA,Healthcare/Medical
PT Citra Art Management,Others
PT Citra Artistic Furniture,Architectural Services / Interior Designing
PT Citra Asia Raya,Others
PT Citra Asia Raya,Others
PT Citra Asri Buana,Automobile / Automotive Ancillary / Vehicle
PT Citra Asri Davindo,Advertising/Marketing/Promotion/PR
PT Citra Ayu Abadi,Grooming / Beauty / Fitness
PT Citra Bahasa Global,Retail/Merchandise
PT Citra Bakti Indonesia,Banking / Financial Services
PT Citra Bakti Nusa Karya,General & Wholesale Trading
PT Citra Balindo Mandiri (TAKSU Bali),Arts/Design/Fashion
PT Citra Bangun Persada Gemilang,General & Wholesale Trading
PT Citra Bangun Prakasa,Property/Real Estate
PT Citra Bangun Properti ( Coldwell Banker Indonesia ),Construction / Building / Engineering
PT Citra Baru Megah,General & Wholesale Trading
PT Citra Baru Perkasa,Chemical / Fertilizers / Pesticides
PT Citra Baru Steel,Manufacturing/Production
