Perusahaan,Sektor
PT Duta Medan Citarasa Kuliner,Food & Beverage / Catering / Restaurant
PT Duta Media Dinamika Informasi,Consulting (Business & Management)
PT Duta Megah Persada,Construction/Building/Engineering
PT Duta Mitra Propertindo,Property/Real Estate
PT Duta Multi Karya,Manufacturing / Production
PT Duta Mutiara Citra,Advertising/Marketing/Promotion/PR
PT Duta Nada Mas Prima,Entertainment / Media
PT Duta Niaga Jumantara,Advertising/Marketing/Promotion/PR
PT Duta niaga mandiri (OPPO),Manufacturing / Production
PT Duta Niaga Multi Sejahtera,Automobile/Automotive Ancillary/Vehicle
PT Duta Nichirindo Pratama,Automobile / Automotive Ancillary / Vehicle
PT Duta Nuansa Artistika,Architectural Services / Interior Designing
PT Duta Organik Indonesia,Manufacturing / Production
PT Duta Oto Prima,Automobile / Automotive Ancillary / Vehicle
PT Duta Paramindo Sejahtera,Construction/Building/Engineering
PT Duta Pelita Insani,Human Resources Management/Consulting
PT Duta Pendawa Kharisma,Hotel/Hospitality
PT Duta Perkasa Utama Jaya,Construction/Building/Engineering
PT Duta Permata Murni,Textiles/Garment
"PT Duta Pertiwi ,Tbk",Property / Real Estate
PT Duta Plastik Industri,Manufacturing/Production
PT Duta Pratama Engineering,"Consulting (IT, Science, Engineering & Technical)"
PT Duta Pratama Lestari,Hotel/Hospitality
PT Duta Pratama Makmur Sejahtera,Textiles/Garment
PT Duta Pratama Makmur Sejahtera,General & Wholesale Trading
PT Duta Prima Makmur,Transportation / Logistics
PT Duta Prima Tunggal,Education
PT Duta Primasindo Abadi,Advertising / Marketing / Promotion / PR
PT Duta Property (Dupro),Property/Real Estate
PT Duta Putera Sumatera,Automobile / Automotive Ancillary / Vehicle
PT Duta Putera Sumatera (Surabaya),Transportation / Logistics
PT Duta Rantai Mas,Manufacturing/Production
PT Duta Regency Karunia,Property / Real Estate
PT Duta Reka Bumi,Construction / Building / Engineering
PT Duta Rekayasa,Property/Real Estate
PT Duta Sarana Engineering (Jakarta),Repair & Maintenance Services
PT Duta Sarana Perkasa (Karanganyar),Manufacturing / Production
PT Duta Sarana Sukses,Consumer Products/FMCG
PT Duta Sejahtera Lestari,Construction / Building / Engineering
PT Duta Serpack Inti,Food & Beverage/Catering/Restaurant
PT Duta Service,Others
PT Duta Solusi Hutama,Construction / Building / Engineering
PT Duta Solusi Pratama,Heavy Industrial/Machinery/Equipment
PT Duta Surya Bahagia,Consulting (Business & Management)
PT Duta Surya Pratama,Agricultural / Plantation / Poultry / Fisheries
PT Duta Surya Sukses,Oil / Gas / Petroleum
PT Duta Tong Yang Indonesia,Manufacturing / Production
PT Duta Tour Jumantara,Travel/Tourism
PT Duta Trisna Adiyasa,Construction/Building/Engineering
PT Duta Usaha Abadi,Hotel/Hospitality
PT Duta Vinci Indonesia,Architectural Services / Interior Designing
PT Duta Visual Nusantara Tivi Tujuh (Trans 7),Entertainment / Media
PT Duta Wahana Karawang,Hotel/Hospitality
PT Duta Warga Jaya,Property / Real Estate
PT Dutabahari Menara Lines-Dockyard,Manufacturing/Production
PT Dutacipta Konsultama,"Consulting (IT, Science, Engineering & Technical)"
PT Dutacipta Pakarperkasa,Construction/Building/Engineering
PT Dutaflow Hidrolik,Heavy Industrial/Machinery/Equipment
PT Dutagaruda Piranti Prima,Human Resources Management/Consulting
PT Dutagriya Sarana,Human Resources Management/Consulting
PT Dutagriya Sarana (Bali),Human Resources Management / Consulting
PT Dutakom Wibawa Putra (D~NET),Call Center/IT-Enabled Services/BPO
PT Dutakom Wibawa Putra (Surabaya Experienced Candidates),Telecommunication
PT Dutakom Wibawa Putra Cabang Malang,Call Center / IT-Enabled Services / BPO
PT Dutakreasi Bersama Realtindo,General & Wholesale Trading
PT Dutalaras Energi,Heavy Industrial/Machinery/Equipment
PT Dutalaras Indah,Architectural Services/Interior Designing
PT Dutalestari Sentratama,Consumer Products/FMCG
PT Dutamas Genta Karya,Human Resources Management / Consulting
PT Dutamasindo Lestari,Gems/Jewellery
PT Dutamulti Intioptic Pratama,Manufacturing / Production
PT Dutaniaga Khatulistiwa,General & Wholesale Trading
PT Dutanova Indoperkasa,Heavy Industrial / Machinery / Equipment
PT Dutanova Indoperkasa Medan,Computer / Information Technology (Hardware)
PT Dutapalma Nusantara (Darmex Agro Group),Agricultural/Plantation/Poultry/Fisheries
PT Dutapro Solo,Exhibitions / Event management / MICE
PT Dutarama Indah Setia,Polymer / Plastic / Rubber / Tyres
PT Dutaraya Tataperkasa,Marine / Aquaculture
PT Dutarindo Sarana Perkasa,General & Wholesale Trading
PT Dutikon Sejahtera,Construction/Building/Engineering
PT Duvin Loka Lestari,Transportation / Logistics
PT Duyuen Group,General & Wholesale Trading
PT Duyuen Group Id,Others
PT DVS Rheem,General & Wholesale Trading
PT Dwamitra Property and Services (DwaProperty),Property/Real Estate
PT Dwi Abadi Farma,BioTechnology/Pharmaceutical/Clinical research
"PT Dwi Aneka Jaya Kemasindo, Tbk",Construction / Building / Engineering
PT Dwi Ara Prakarsa,General & Wholesale Trading
PT Dwi Bali Jaya,Transportation / Logistics
PT Dwi Batara Boga,Food & Beverage/Catering/Restaurant
PT Dwi Boga Prima,Food & Beverage / Catering / Restaurant
PT Dwi Cahaya Mulia,Healthcare/Medical
PT Dwi Cahaya Perkasa,Construction / Building / Engineering
PT Dwi Centro Perkasa,General & Wholesale Trading
PT Dwi Cermat Indonesia,Consulting (Business & Management)
PT Dwi Cermat Indonesia,Computer / Information Technology (Software)
PT Dwi Cipta Hutama,Hotel/Hospitality
PT Dwi Cipta Multigraha,Construction/Building/Engineering
PT Dwi Cipta Usaha,Transportation/Logistics
PT Dwi Ciptakarsa (Mazda),Manufacturing / Production
