Perusahaan,Sektor
PT Eduphil International,Education
PT Eduplus Internasional,Education
PT Eduplus Internasional,Education
PT Edurion Aplikasi Universal,Computer/Information Technology (Software)
PT Eduspec Indonesia,Education
PT Edutekno Investama Abadi,Computer/Information Technology (Software)
PT EduTrain,Education
PT Edward Forrer,General & Wholesale Trading
PT EFADA Medical Industries Indonesia,Manufacturing/Production
PT Efarina Etaham,Hotel/Hospitality
PT Efarina Televisi,Journalism
PT Efata Indonesia Tour & Travel,Advertising/Marketing/Promotion/PR
PT Efata Tri Satya,Advertising/Marketing/Promotion/PR
PT Efek Pakarindo,Manufacturing/Production
PT Efel Indo Utama,General & Wholesale Trading
PT Efel Indo Utama (Jakarta),Manufacturing/Production
PT Effa Jaya,Human Resources Management / Consulting
PT Effa Jaya (Makassar),Human Resources Management / Consulting
PT Efferensindo Kencana,Security / Law Enforcement
PT Effhar (Semarang),Printing / Publishing
PT Effrensindo Kencana,Others
PT Efrata Retailindo,Retail / Merchandise
PT Efunding Teknologi Keuangan,Others
PT Ega Mekinka Grup,Heavy Industrial/Machinery/Equipment
PT Ega Paintindo,Manufacturing / Production
PT Ega Tekelindo Prima,Electrical & Electronics
PT Eggo Mitra Sukses,Food & Beverage/Catering/Restaurant
PT Egi Inovasi Nusantara,Telecommunication
PT Egi Manakarra Konstruksi,Oil / Gas / Petroleum
PT Egis International Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT eGlobal Teknologi Solusindo,Computer/Information Technology (Software)
PT Eguardian Indonesia,Computer / Information Technology (Software)
PT Egyf Hutomo,Construction/Building/Engineering
PT Ei Lee Garment Indonesia,Textiles / Garment
PT EIG Dermal Wellness Indonesia,Grooming/Beauty/Fitness
PT EIGERINDO MPI,Retail / Merchandise
PT Eigerindo Multi Produk Industri,Retail/Merchandise
PT Eight Winds,"Consulting (IT, Science, Engineering & Technical)"
PT Eins Trend,Manufacturing / Production
PT Eisai Indonesia,BioTechnology/Pharmaceutical/Clinical research
PT Eiwa Plastic Industry,Polymer / Plastic / Rubber / Tyres
PT EJJV Engineering Indonesia,Construction/Building/Engineering
PT Ek Prima Ekspor Indonesia,Textiles/Garment
PT Eka Agency Management ( Jakarta ),Insurance
PT Eka Anugrah Dinamika,Advertising / Marketing / Promotion / PR
PT Eka Anugrah Kreasindo,Advertising/Marketing/Promotion/PR
PT Eka Artha Cipta,Arts/Design/Fashion
PT Eka Bogainti (HokBen),Food & Beverage/Catering/Restaurant
PT Eka Cipta Megahosindo,Manufacturing/Production
PT Eka Citrabumi Raya,Manufacturing/Production
PT Eka Consol Utama Line,Transportation / Logistics
PT Eka Damar Insan Mulia,"Consulting (IT, Science, Engineering & Technical)"
PT Eka Daya Karya Sejahtera (EDKS),"Consulting (IT, Science, Engineering & Technical)"
PT Eka Daya SejatiSukses,Agricultural/Plantation/Poultry/Fisheries
PT Eka Dharma Jaya Sakti,Manufacturing/Production
PT Eka Dwi Boga,Food & Beverage / Catering / Restaurant
PT Eka Electrical Industry,Electrical & Electronics
PT Eka Jaya Internasional,Manufacturing/Production
PT Eka Karya Konstruksi (EKKON),Architectural Services / Interior Designing
PT Eka Lentera Filosofi,Education
PT EKA MAJU MESININDO,Retail / Merchandise
PT Eka Manunggal Sentosa,Construction/Building/Engineering
PT Eka Mas Republik,Telecommunication
PT Eka Matra Anugerah,Human Resources Management/Consulting
PT Eka Nuri,Oil/Gas/Petroleum
PT Eka Nusantara Line,Transportation / Logistics
PT Eka Ormed Indonesia,Manufacturing / Production
PT Eka Perkasa Rekabuana,Manufacturing/Production
PT Eka Prima Agung,Retail / Merchandise
"PT Eka Sari Lorena Transport, Tbk",Transportation/Logistics
PT Eka Sentosa Abadi,"Consulting (IT, Science, Engineering & Technical)"
PT Eka Silver & Gold Jewelry,Retail/Merchandise
PT Eka Sinar Abadi,Manufacturing/Production
PT Eka Subur Retreads,Polymer/Plastic/Rubber/Tyres
PT Eka Sumber Artha,General & Wholesale Trading
PT Eka Surya Wijaya,Automobile / Automotive Ancillary / Vehicle
PT Eka Swastya,Manufacturing/Production
PT Eka Timur Raya,Agricultural/Plantation/Poultry/Fisheries
PT Eka TM Sukses Mandiri,Grooming/Beauty/Fitness
PT Eka Upaya,Retail / Merchandise
PT Eka Wahana Indocon,Construction/Building/Engineering
PT Eka Warna Kimia,Chemical/Fertilizers/Pesticides
PT Ekacitra Bumi karya,Telecommunication
PT Ekacitta Dian Persada,General & Wholesale Trading
PT Ekadharma International Tbk,Manufacturing / Production
PT Ekadharma International Tbk (Balikpapan),Manufacturing / Production
PT Ekadharma International Tbk (Makassar),Manufacturing / Production
PT Ekagriya Lestari,Property / Real Estate
PT Ekakarta Jadimakmur Sejahtera,Others
PT Ekakarta Jadimakmur Sejahtera (Head Office),General & Wholesale Trading
PT Ekakarya Graha Flora,Agricultural/Plantation/Poultry/Fisheries
PT Ekakarya Graha Flora (Cikampek Factory),Agricultural / Plantation / Poultry / Fisheries
PT Ekalaya Saputra,Food & Beverage / Catering / Restaurant
PT Ekamant Indonesia,General & Wholesale Trading
PT Ekamas Fortuna,Wood / Fibre / Paper
PT Ekamatra Anugerah,General & Wholesale Trading
PT Ekamita Arahtegar,Healthcare/Medical
PT Ekaniaga Antarbenua,Accounting / Audit / Tax Services
PT Ekanuri,Oil/Gas/Petroleum
PT Ekapermata Suryasentosa,Others
