Perusahaan,Sektor
PT Geonet Infomedia,"Consulting (IT, Science, Engineering & Technical)"
PT Geosadi Maprotec,General & Wholesale Trading
PT Geoservices (Banjarbaru),Mining
PT Geostructure Dynamics,Construction/Building/Engineering
PT Geotama System Persada (PT GSP),Computer/Information Technology (Hardware)
PT Geotama Triniti,BioTechnology / Pharmaceutical / Clinical research
PT Geotech System Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Geotechnical & Enviromental Services Indonesia,Construction/Building/Engineering
PT Geotechnical Systemindo,Construction/Building/Engineering
PT Geotekindo,Construction/Building/Engineering
PT Geoteq Integrasi Semesta,Manufacturing / Production
PT Geotimes Aksara Media,Accounting/Audit/Tax Services
PT Geotronix Pratama Indonesia,Oil/Gas/Petroleum
PT Geptronika Sentosa Utama,"Consulting (IT, Science, Engineering & Technical)"
PT Gerai Hawa Indonesia,Apparel
PT Gerai Mulya Abadi,Repair & Maintenance Services
PT Gerai Terpadu Indonesia,Consulting (Business & Management)
PT Gerak Puncak Lancar,Computer / Information Technology (Hardware)
PT Gerbang Bali,Consulting (Business & Management)
PT GERBANG BISNIS INDONESIA,Computer/Information Technology (Software)
PT Gerbang Cahaya Utama,Others
PT Gerbang Cemerlang,Manufacturing/Production
PT Gerbang Cipta Kreasi,General & Wholesale Trading
PT Gerbang Cipta Sarana,"Consulting (IT, Science, Engineering & Technical)"
PT GERBANG GADA MAKMUR,Agricultural / Plantation / Poultry / Fisheries
PT Gerbang Indoniaga,Transportation/Logistics
PT Gerbang Madani Group,Property / Real Estate
PT Gerbang Mandiri Sukses,General & Wholesale Trading
PT Gerbang Saranabaja,Construction/Building/Engineering
PT Gerbang Sinergi Prima,Computer/Information Technology (Software)
PT Gerbang Telekomunikasi & Informasi,"Consulting (IT, Science, Engineering & Technical)"
PT Gerbang Wisata Indonesia,Travel/Tourism
PT Gerfa Indonesia,Manufacturing / Production
PT Gerfa Manunggal Teknindo,Retail/Merchandise
PT Geriloji,Manufacturing / Production
PT Gerindo Indahtama Sukses,Construction/Building/Engineering
PT Gerindo Raya Sakti,Construction / Building / Engineering
PT Gerindo Tehnik,Electrical & Electronics
PT Ges Marine Engineering Batam,Marine / Aquaculture
PT Gesika Multi Abadi,Construction/Building/Engineering
PT Gesit Alumas,General & Wholesale Trading
PT Gesit Sarana Perkasa,Property / Real Estate
PT Gestrindo Sakti Utama,Others
PT Get Prepped Indonesia,Education
PT Geum Cheon Indo,Manufacturing/Production
PT Geurang,Others
PT Gevaert - Agfa HealthCare Indonesia,Healthcare/Medical
PT Gevo Games Creative,Entertainment/Media
PT Gewinn Gold Hotama,Manufacturing / Production
PT GF Indonesia,Manufacturing/Production
PT GFC Terpadu,Arts/Design/Fashion
PT Gfire Service Gautama,Others
PT Gfk Retail & Technology Indonesia (Makasaar),Retail / Merchandise
PT GfK Retail and Technology Indonesia,Consulting (Business & Management)
PT Ghalaya Abadi Persada Line,Transportation / Logistics
PT Ghalia Indonesia Printing,Printing/Publishing
PT Gharmapala Putra Utama,Hotel/Hospitality
PT Ghavitri Sumber Makmur,Oil / Gas / Petroleum
PT Ghewantika Konstruksi,Construction/Building/Engineering
PT Ghim Li Indonesia,Manufacturing / Production
PT Ghita Indotrans Sentosa,Transportation/Logistics
PT Ghuroba Madani,Consulting (Business & Management)
PT GI Media,Entertainment/Media
PT Giadaya,Manufacturing / Production
PT Giana Nirmala Nubia,Gems/Jewellery
PT Gianina Sumbermas Abadi,Manufacturing / Production
PT Gianindo Elok Angkasa,Construction/Building/Engineering
PT Giant Abadi Mustika Anugrah,Travel/Tourism
PT Giant Sumarindo,General & Wholesale Trading
PT Giant Transporter Indonesia,Transportation/Logistics
PT Giant Transporter Indonesia (Jakarta),Transportation/Logistics
PT Giantlok Industrial Supplies,Manufacturing/Production
PT Giat Utama Maju,Property/Real Estate
PT Gibeon Solutions,Computer / Information Technology (Software)
PT Gidion Jaya,BioTechnology/Pharmaceutical/Clinical research
PT GIEB Indonesia,Manufacturing/Production
PT Giesecke & Devrient Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT GIffari Utama Transindo,Agricultural/Plantation/Poultry/Fisheries
PT Giga Forte Teknologi,Telecommunication
PT Giga Intrax,Oil / Gas / Petroleum
PT Giga Media,Advertising/Marketing/Promotion/PR
PT Giga Properti Sejahtera,Property / Real Estate
PT Gigan Solusi Teknologi,Computer/Information Technology (Hardware)
PT Gigantika Pratama Prima,Computer / Information Technology (Software)
PT Gigieat Indonesia Raya,Food & Beverage/Catering/Restaurant
PT Gihon Telekomunikasi Indonesia,Telecommunication
PT Giken precision indonesia,Agricultural/Plantation/Poultry/Fisheries
PT Gikoko Kogyo Indonesia,Heavy Industrial/Machinery/Equipment
PT Gila Makan Enak (Jakarta),Food & Beverage/Catering/Restaurant
PT Gilang Adiperdana,Advertising / Marketing / Promotion / PR
PT Gilang Agung Persada,Retail/Merchandise
PT Gilang Dian Permata,Electrical & Electronics
PT Gilang Jayaraya,Consumer Products/FMCG
PT Gili Inti Sinergi,Travel/Tourism
PT Gili Jati Lestari,Hotel/Hospitality
PT Gilkor,Computer/Information Technology (Software)
PT Gilland Ganesha (Singo Group),Consulting (Business & Management)
PT Gillian Trading,General & Wholesale Trading
PT Gilontas,Transportation/Logistics
PT Gimnastik Indonesia,Healthcare / Medical
