Perusahaan,Sektor
PT Golden Agro Sejahtera,General & Wholesale Trading
PT Golden Agro Sejahtera ( Jakarta ),Agricultural/Plantation/Poultry/Fisheries
PT Golden Arrow Indonesia,Agricultural / Plantation / Poultry / Fisheries
PT Golden Asia,Banking/Financial Services
PT Golden Brick,General & Wholesale Trading
PT Golden Bridge International,Manufacturing/Production
PT Golden Brilliant Sanitaryware,General & Wholesale Trading
PT Golden Buana Lestari,General & Wholesale Trading
PT Golden Citra Dinamika,Automobile/Automotive Ancillary/Vehicle
PT Golden Crown Mahakarya Perkasa,Travel / Tourism
PT Golden Dolbe,Food & Beverage / Catering / Restaurant
PT Golden Dragon Indonesia,Chemical/Fertilizers/Pesticides
PT GOLDEN EXPRESSINDO,Transportation/Logistics
PT Golden Flexible Packaging,Manufacturing/Production
PT Golden Flower (Head Office),Textiles/Garment
PT GOLDEN GARMENT INDONESIA,Others
PT Golden Garments Indonesia,Textiles/Garment
PT Golden Gate Mandiri,Transportation/Logistics
PT Golden Globe Medica,Manufacturing/Production
PT GOLDEN GRAND MILLS,Manufacturing/Production
PT Golden Great Borneo,Mining
PT Golden Great Borneo Divisi Logistic,Mining
PT Golden Great Orient International,Manufacturing/Production
PT Golden Harvest Cocoa Indonesia,Heavy Industrial/Machinery/Equipment
PT Golden Heart,Property/Real Estate
PT Golden Hitek Malindo,General & Wholesale Trading
PT Golden Hope Nusantara,Agricultural/Plantation/Poultry/Fisheries
PT Golden Indonesia Seed,Agricultural / Plantation / Poultry / Fisheries
PT Golden Inti Star,Wood/Fibre/Paper
PT Golden Jaya Abadi,Accounting/Audit/Tax Services
PT Golden Kreasi Inova,Manufacturing / Production
PT Golden Kurniatama,Manufacturing/Production
PT Golden Land Gemilang,Agricultural/Plantation/Poultry/Fisheries
PT Golden Makmur Agri,Agricultural/Plantation/Poultry/Fisheries
PT Golden Mandiri Jaya,Textiles / Garment
PT Golden Manyaran (Jakarta),Manufacturing/Production
PT Golden Mining,Mining
PT Golden Nusa Jaya Tours,Travel/Tourism
PT Golden Nusa Persada,Property / Real Estate
PT Golden Ocean Line,Transportation/Logistics
PT Golden Persada Multitex,Textiles / Garment
PT GOLDEN PRATAMA,Healthcare/Medical
PT Golden Pratama Engineering,Heavy Industrial/Machinery/Equipment
PT Golden Pratama Gemilang,Heavy Industrial / Machinery / Equipment
PT Golden Pratama Gemilang (Surabaya),Heavy Industrial / Machinery / Equipment
PT Golden Prima Sejahtera,General & Wholesale Trading
PT Golden Prima Sentosa,Transportation/Logistics
PT Golden Putra Mandiri (ABBA TIES),Consumer Products / FMCG
PT Golden Rama Express,Travel/Tourism
PT Golden Retailindo,Retail/Merchandise
PT Golden Riau Jaya,Manufacturing / Production
PT Golden Sari Chemical Industry (Lampung),Chemical/Fertilizers/Pesticides
PT Golden Sky Indonesia,Hotel/Hospitality
PT Golden Solution Corporindo,Computer/Information Technology (Hardware)
PT Golden Star Indonesia,Automobile/Automotive Ancillary/Vehicle
PT Golden Stone Indonesia,General & Wholesale Trading
PT Golden Tangguh Pratama,Printing / Publishing
PT Golden Trading Internasional,Others
PT Golden Travelindo Internasional,Travel / Tourism
PT Golden Victory Indonesia,Telecommunication
PT Golden Vision Gemilang,Manufacturing / Production
PT Golden Westindo Artajaya,Agricultural/Plantation/Poultry/Fisheries
PT Golden Wing International,General & Wholesale Trading
PT Goldenindo Abra,Manufacturing/Production
PT Goldenindo Lestari,Manufacturing / Production
PT Goldenlab International,BioTechnology / Pharmaceutical / Clinical research
PT Goldenpack Perkasa,Manufacturing / Production
PT Goldhen Mandiri Perkasa,Agricultural / Plantation / Poultry / Fisheries
PT Goldhotelier,Others
PT Goldmount Technology Indonesia,Manufacturing / Production
PT Golf Events Indonesia,Exhibitions / Event management / MICE
PT Golgon,Consumer Products/FMCG
PT Golo Sukses Mandiri,Retail / Merchandise
PT Goltens Jakarta,Oil/Gas/Petroleum
PT Gondowangi Tradisional Kosmetika,Manufacturing / Production
PT GOOBNE BOGA UTAMA,Food & Beverage/Catering/Restaurant
PT Good And Nice,Food & Beverage/Catering/Restaurant
PT Good Fish Logistics,Marine/Aquaculture
PT Good Food Service Cab Jakarta,Food & Beverage/Catering/Restaurant
PT Good Guys Indonesia,Textiles/Garment
PT Good Health Products Indonesia,Healthcare/Medical
PT Good Land,Property / Real Estate
PT Good Luck International Bali,Others
PT Good Spice Food ( Bandung ),Retail/Merchandise
PT Good Wood Interior,Wood/Fibre/Paper
PT Goodel Skylove Indonesia,Heavy Industrial/Machinery/Equipment
PT Goodway Vacation Club,Hotel/Hospitality
"PT Goodyear Indonesia, Tbk",Manufacturing/Production
PT Gorgeous Master,Architectural Services / Interior Designing
PT Gorontalo Minerals,Mining
PT GOS Indoraya,Human Resources Management / Consulting
PT GOS Indoraya,Human Resources Management/Consulting
PT GOS Indoraya (Semarang),Human Resources Management / Consulting
PT Gosantha Global,Computer/Information Technology (Hardware)
PT Gosco Plantation,Agricultural/Plantation/Poultry/Fisheries
PT GOSEPA Tour & Travel,Travel/Tourism
PT Goshen Electronics Indonesia,Education
PT Goshen Prime International,Others
PT Goshen Swara Indonesia,General & Wholesale Trading
PT Gosyen Indonesia Utama,Manufacturing / Production
