Perusahaan,Sektor
PT Indo Oil Perkasa,Oil/Gas/Petroleum
PT Indo Pacific Aroma,Manufacturing / Production
PT Indo Palapa,Construction/Building/Engineering
PT Indo Panshi Bumi,Construction/Building/Engineering
PT INDO PASIFIK KREASI UTAMA,Advertising/Marketing/Promotion/PR
PT Indo Patala Adinta,Construction / Building / Engineering
PT Indo PD Mandiri,Food & Beverage/Catering/Restaurant
PT Indo Peixin,Manufacturing / Production
PT Indo Perkasa Usahatama,Construction / Building / Engineering
PT Indo Plafon,Construction/Building/Engineering
PT INDO PLATING TECHNOLOGY INDUSTRY,Heavy Industrial/Machinery/Equipment
PT Indo Porcelain,Manufacturing/Production
PT Indo Powerserv,Human Resources Management/Consulting
PT Indo Pratama sejahtera,General & Wholesale Trading
PT Indo Pratama Sukses,Retail/Merchandise
PT Indo Pratama Teleglobal,Telecommunication
PT Indo Premier Investment Management,Stockbroking / Securities
PT Indo Premier Securities,Stockbroking/Securities
PT Indo Premier Securities (Surabaya),Stockbroking / Securities
PT Indo Premium Foods,Food & Beverage / Catering / Restaurant
PT Indo Prima Jaya Group (Primajaya Group),Telecommunication
PT Indo Prima Perkasa,Consumer Products/FMCG
PT Indo Prima Sehat,Healthcare/Medical
PT Indo Prima Semesta,General & Wholesale Trading
PT Indo Prima Supplay,Utilities/Power
PT Indo Properti Investama,Property / Real Estate
PT Indo Properti Persada,Property / Real Estate
PT Indo Pusat Bumi,Construction / Building / Engineering
PT Indo Rasa Sayang,Food & Beverage / Catering / Restaurant
PT Indo Raya Ekspres,Entertainment/Media
PT Indo Raya Lestari,Computer/Information Technology (Hardware)
PT Indo Ridlatama Power,Utilities / Power
PT Indo Right Pack,Manufacturing/Production
PT Indo Sansheng C&R,Construction/Building/Engineering
PT Indo Sarijaya Lestari,General & Wholesale Trading
PT INDO SEAWEED Mojokerto,Manufacturing/Production
PT Indo Sehat Lestari,Healthcare / Medical
PT Indo Semesta Luhur,Transportation/Logistics
PT Indo Seven Oceans,General & Wholesale Trading
PT Indo Sewing Abadi,Heavy Industrial/Machinery/Equipment
PT Indo She,Healthcare/Medical
PT Indo Sinar Jaya,Property/Real Estate
PT Indo Singa Makmur,Property / Real Estate
PT Indo Sino Agrochemical,Chemical/Fertilizers/Pesticides
PT Indo Sistem Global Jakarta,Computer/Information Technology (Software)
PT Indo Solution Pack Machinery,Manufacturing/Production
PT Indo Solutionpack Machinery,General & Wholesale Trading
PT Indo Spine Medika,Healthcare/Medical
PT Indo Stationery Ritel Utama,Retail/Merchandise
PT Indo Straits Cabang Samarinda,Construction / Building / Engineering
"PT Indo Straits,Tbk",Marine/Aquaculture
PT Indo Sukses Pratama,Chemical/Fertilizers/Pesticides
PT Indo Sultan Jaya,Accounting/Audit/Tax Services
PT Indo Sunmotor Gemilang,Automobile/Automotive Ancillary/Vehicle
PT Indo Surga Jaya - Fuwa Fuwa Cheesecake,Food & Beverage/Catering/Restaurant
PT Indo Sutech Sejahtera,General & Wholesale Trading
PT Indo Swissatama,Construction/Building/Engineering
PT Indo System Automation,Electrical & Electronics
PT INDO TABUSHI,Food & Beverage / Catering / Restaurant
PT Indo Taichen Textile Industry,Textiles / Garment
PT Indo Talenta Plastik,Retail/Merchandise
"PT Indo Tambangraya Megah, Tbk",Mining
PT Indo Tata Graha,Property/Real Estate
PT Indo Thai Trading,Polymer/Plastic/Rubber/Tyres
PT Indo Timur Prima,Manufacturing/Production
PT Indo Tirta Abadi,Manufacturing/Production
PT Indo Trade Cemerlang Jakarta,Food & Beverage/Catering/Restaurant
PT Indo Unggul Pracetak Indonesia,Consumer Products / FMCG
PT Indo Uniline International,Consumer Products/FMCG
PT Indo Van Houten,Food & Beverage/Catering/Restaurant
PT Indo Veneer  Utama,Manufacturing/Production
PT Indo Warna Abadi,Apparel
PT Indo Warna Mulia,Manufacturing / Production
PT Indo Wisata Permata,Gems/Jewellery
PT Indo World,General & Wholesale Trading
PT Indo Yuanhang Engineering,Construction/Building/Engineering
PT Indo-Ad (Ogilvy & Mather Indonesia),Advertising / Marketing / Promotion / PR
PT Indo-Ned Company Consultancy,Consulting (Business & Management)
PT Indo-Ned Company Consultancy,Accounting/Audit/Tax Services
PT Indo-Rama Synthetics Tbk,Textiles/Garment
"PT Indo-Rama Synthetics, Tbk",Textiles/Garment
PT Indo-sino Agrochemical,Chemical/Fertilizers/Pesticides
PT IndoAction Business Coaching,Consulting (Business & Management)
PT IndoAction Business Coaching,Consulting (Business & Management)
PT Indoagriculture Global,Manufacturing/Production
PT Indoagung Multikreasi Ceramic Industri,Retail / Merchandise
PT Indoair Teknologi Osmosis,Others
PT Indoalliz Perkasa Sukses,Banking/Financial Services
PT Indoaluminium Intikarsa Industri,Manufacturing/Production
PT Indoapps Media Nusantara,Telecommunication
PT Indoartha Buana Makmur,Transportation/Logistics
PT Indoartha Surya Buana,Property/Real Estate
PT INDOBAARIQ,General & Wholesale Trading
PT Indobali Art,Others
PT INDOBALI PROPERTINDO,Property/Real Estate
PT Indobamboo Lestari,Wood/Fibre/Paper
PT Indobara Bahana,Construction/Building/Engineering
PT Indobarambai Gas Methan,Mining
PT Indobaruna Bulk Transport,Transportation / Logistics
PT Indobaterai Energi Indonesia,General & Wholesale Trading
