Perusahaan,Sektor
PT Indonesia MS Mold,Others
PT Indonesia Multi Colour Printing (PT IMCP),Manufacturing/Production
PT Indonesia Natural Aroma,Accounting/Audit/Tax Services
PT Indonesia Natural Core,General & Wholesale Trading
PT Indonesia News Center (inilah.com),Journalism
PT Indonesia Nikka Chemicals ( INKALI ),Chemical/Fertilizers/Pesticides
PT Indonesia Nippon Seiki,Automobile/Automotive Ancillary/Vehicle
PT Indonesia Nippon Steel Pipe (INP),Manufacturing/Production
PT Indonesia Nusa Kreasi,Printing / Publishing
PT Indonesia Ocean Truck,Transportation/Logistics
PT Indonesia Ombak,Textiles / Garment
PT Indonesia Online,Computer / Information Technology (Software)
PT Indonesia Online (Alamaya),Computer / Information Technology (Software)
PT Indonesia OPPO Electronics (Makassar),Electrical & Electronics
PT Indonesia Oppo Electronics (Yogyakarta),General & Wholesale Trading
PT Indonesia Oppo Electronics Jakarta,Telecommunication
PT Indonesia Oppo Electronik,Retail / Merchandise
PT Indonesia Pacific Energy,Mining
PT Indonesia Painting Products,Manufacturing/Production
PT Indonesia Partner Solution,Human Resources Management / Consulting
PT Indonesia Permai,Construction / Building / Engineering
PT Indonesia Permai,Construction/Building/Engineering
PT Indonesia Pet Bottle,Manufacturing / Production
PT Indonesia Polyurethane Industry (IPI),Polymer/Plastic/Rubber/Tyres
PT Indonesia Pondasi Raya Divisi Konstruksi Bangunan,Construction/Building/Engineering
PT Indonesia Pos Chemtech Chosun Ref,"Consulting (IT, Science, Engineering & Technical)"
PT Indonesia Prima Equipment,Heavy Industrial/Machinery/Equipment
PT Indonesia Prima Property Tbk,Property/Real Estate
PT Indonesia Printer,Printing/Publishing
PT Indonesia Putra Pratama,Mining
PT Indonesia Raya Audivisi,Entertainment/Media
PT Indonesia Raya Kokoh,Entertainment / Media
PT Indonesia Research Institute Japan Jakarta,R&D
PT Indonesia Royal Resources,Manufacturing/Production
PT Indonesia Ruida Petroleum Technology,Oil / Gas / Petroleum
PT INDONESIA RUIPU NICKEL AND CHROME ALLOY,Mining
PT Indonesia Smelting Technology,Manufacturing/Production
PT Indonesia Solar Global,Manufacturing/Production
PT Indonesia Songz Automobile Air Conditioning,Manufacturing/Production
PT Indonesia Stanley Electric,Manufacturing / Production
PT Indonesia Super Holiday,Travel / Tourism
PT Indonesia Surfaris,Hotel / Hospitality
PT Indonesia Surfaris,Consulting (Business & Management)
PT Indonesia Synthetic Textile Mills,Textiles / Garment
PT Indonesia Talenta Spesialis,Human Resources Management / Consulting
PT Indonesia Technical Machinery,Heavy Industrial/Machinery/Equipment
PT Indonesia Technology & Energy International,Heavy Industrial / Machinery / Equipment
PT Indonesia Teijin DuPont Films (ITDF),Manufacturing/Production
PT Indonesia Thai Summit Auto,Manufacturing/Production
PT Indonesia Thai Summit Plastech,Manufacturing/Production
PT Indonesia Toray Synthetics,Chemical / Fertilizers / Pesticides
PT Indonesia Trading Academy,Education
PT Indonesia Transport & Infrastructure Tbk,Aerospace/Aviation/Airline
PT Indonesia Transport Logistics,Transportation / Logistics
PT Indonesia Travel Service,Travel/Tourism
PT Indonesia TRC Industry,Polymer/Plastic/Rubber/Tyres
PT Indonesia Tri Sembilan,Tobacco
PT Indonesia Tsingshan Stainless Steel,Manufacturing/Production
PT Indonesia Untuk Dunia,Others
PT Indonesia Untuk Dunia (Happy5),Human Resources Management/Consulting
PT Indonesia Utensil,Manufacturing/Production
PT Indonesia Victory Garment,Textiles/Garment
PT Indonesia Villajaya,Food & Beverage/Catering/Restaurant
PT Indonesia Wacoal,Textiles/Garment
PT Indonesia WebSite Services (PT IndoSite),Computer/Information Technology (Software)
PT Indonesia Weda Bay Industrial Park,Others
PT Indonesia Xin Hai Machinery,Manufacturing/Production
PT Indonesia Xin Hai Steel Structure,Construction/Building/Engineering
PT Indonesian Capital Market Electronic Library,Education
PT Indonesian Consultant Mandiri (Charta Politika),Journalism
PT Indonesian Fire Equipment System,Manufacturing/Production
PT Indonesian Institute of Management,Consulting (Business & Management)
PT Indonesian Marine,Construction / Building / Engineering
PT Indonesian Marine (Surabaya),Construction/Building/Engineering
PT Indonesian Minerals & Coal Mining,Mining
PT Indonesian Minerals & Coal Mining Banjarmasin,Mining
PT Indonesian Paradise Island (JKT),Travel/Tourism
PT Indonesian Paradise Property Tbk,Property / Real Estate
PT Indonesian People Power,Human Resources Management / Consulting
PT Indonesian People Power (Jakarta),Human Resources Management / Consulting
PT INDONESIAN REPUBLIC MOTOR COMPANY (IRMC),Automobile / Automotive Ancillary / Vehicle
PT Indonesian Tobacco,Manufacturing / Production
PT Indonetwork Mitra Utama,Advertising / Marketing / Promotion / PR
PT Indoniaga Sukses Makmur,Consulting (Business & Management)
PT Indonic Tangerang Investment,Construction/Building/Engineering
PT Indonufood Indonesia,General & Wholesale Trading
PT Indonusa Agromulia,Agricultural/Plantation/Poultry/Fisheries
PT Indonusa Eka Tama,Printing/Publishing
PT Indonusa Maining,Mining
PT Indonusa Solutama,Computer/Information Technology (Hardware)
PT Indonusa System Integrator Prima,General & Wholesale Trading
PT Indonusa Telemedia ( Medan Branch ),"Consulting (IT, Science, Engineering & Technical)"
PT Indonusa Telemedia (Cirebon),Telecommunication
PT Indonusantara Tata Udara,Electrical & Electronics
PT Indopacific Cemerlang,Computer / Information Technology (Hardware)
PT Indopacific Nusantara,Electrical & Electronics
PT Indopack Lucky Perkasa,Manufacturing/Production
PT Indopack Nusantara,Manufacturing/Production
PT Indopack Pratama,General & Wholesale Trading
PT Indopack Printing,Printing/Publishing
