Perusahaan,Sektor
PT Intipratama Sarana Prima,Transportation / Logistics
PT Intiroda Makmur,Manufacturing / Production
PT Intisar Pacific International,"Consulting (IT, Science, Engineering & Technical)"
PT Intisar Primula,Computer / Information Technology (Hardware)
PT Intisar Soluzindo,Computer/Information Technology (Software)
PT Intisarana Adisejahtera,Consumer Products/FMCG
PT Intisari Komputindo,Computer/Information Technology (Hardware)
PT Intisari Mitra Prima,Education
PT Intisel Prodaktifakom,Telecommunication
PT Intisentosa Alambahtera,Accounting/Audit/Tax Services
PT Intismart Propertindo,Property / Real Estate
PT Intisoft Mitra Sejahtera,Computer/Information Technology (Software)
PT Intisurya Citratama,Manufacturing / Production
PT Intiswiss Consulindo,Consulting (Business & Management)
PT INTITECH SOLUTIONS,Retail/Merchandise
PT Intitera Primayudha,Heavy Industrial/Machinery/Equipment
PT Intitirta Primasakti,Mining
PT Intitrans Makmur Kencana,Transportation/Logistics
PT Intiwarna Prima,Printing / Publishing
PT Intiwhiz International,Hotel / Hospitality
PT InTouch Innovate ( Surabaya ),"Consulting (IT, Science, Engineering & Technical)"
PT inTouch Innovate Indonesia,Computer / Information Technology (Software)
PT Intra Benua Maju Abadi,Textiles/Garment
PT Intra Cipta Raya,Heavy Industrial/Machinery/Equipment
PT Intra Fajar Indonusa,Manufacturing / Production
PT Intra GolfLink Resorts,Sports
PT Intra Maju Indonesia,Construction/Building/Engineering
PT Intra Media Digital,Manufacturing/Production
PT Intra Tekno Jaya,"Consulting (IT, Science, Engineering & Technical)"
PT Intraco Indonesia,Electrical & Electronics
PT Intraco Lestari,Construction/Building/Engineering
PT Intraco Penta (Samarinda),Heavy Industrial / Machinery / Equipment
PT Intraco Penta Prima Servis,Transportation/Logistics
PT Intraco Penta Wahana,Heavy Industrial / Machinery / Equipment
PT Intraco Penta Wahana (Palembang),General & Wholesale Trading
PT Intraco Penta Wahana Cabang Surabaya,Heavy Industrial / Machinery / Equipment
"PT Intraco Penta, Tbk",Heavy Industrial/Machinery/Equipment
PT Intract Edutama,Education
PT Intradita Prosimpex,Manufacturing / Production
PT Intralab Ekatama,Healthcare / Medical
PT Intramega Global,General & Wholesale Trading
PT Intranusa Cipta Solusi,Computer/Information Technology (Software)
PT Intranusa Sarana,Transportation/Logistics
PT Intrapenta Jaya Sakti,Retail / Merchandise
PT Intrareps,Travel / Tourism
PT Intrasari Pratama,Manufacturing/Production
PT Intrasari Raya,Consumer Products / FMCG
PT Intravalas,General & Wholesale Trading
PT Intrax,"Consulting (IT, Science, Engineering & Technical)"
PT Intrias Mandiri Sejati,Consulting (Business & Management)
PT Intrias Mandiri Sejati ( manado),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Bali),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Balikpapan),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Bandung),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (banjarmasin),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Batam),Chemical / Fertilizers / Pesticides
PT Intrias Mandiri Sejati (Lampung),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Makassar),Human Resources Management/Consulting
PT Intrias Mandiri Sejati (Malang),Human Resources Management/Consulting
PT Intrias Mandiri Sejati (Medan),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (padang),Human Resources Management/Consulting
PT Intrias Mandiri Sejati (palembang),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Pekanbaru),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Pontianak),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Samarinda),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Semarang),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (Surabaya),Human Resources Management / Consulting
PT Intrias Mandiri Sejati (yogyakarta),Human Resources Management / Consulting
PT Intricon Indonesia,Manufacturing/Production
PT Intsia Pacific Permai,Manufacturing/Production
PT Intuitica,Electrical & Electronics
PT Inutec Solarcenter Indonesia,Environment/Health/Safety
PT Invals Tata Prima,Architectural Services/Interior Designing
PT Inventindo Business Solutions,Consulting (Business & Management)
PT Investa Bersama Abadi,Manufacturing / Production
PT Investa Saran Mandiri,Banking/Financial Services
PT Investasi Berkah Mahatama,Property / Real Estate
PT Investasi Hasil Sejahtera,Property / Real Estate
PT Investindo Nusantara Sekuritas,Banking/Financial Services
PT Invilon Sagita,Manufacturing/Production
PT Invinio Xti Indonesia,Manufacturing / Production
PT Invision Astrindo Pratama,Computer / Information Technology (Software)
PT Invosa Systems,"Consulting (IT, Science, Engineering & Technical)"
PT Inworks Technology Indonesia,Computer / Information Technology (Software)
PT Inzpire,Computer/Information Technology (Software)
PT Inzpire Technology,Computer/Information Technology (Software)
PT Inzpire Technology,Computer / Information Technology (Software)
PT IOL Indonesia,Others
PT IOL Indonesia (Inspectorate),"Consulting (IT, Science, Engineering & Technical)"
PT ION CyBill,Computer / Information Technology (Software)
PT Ion Exchange Indonesia,Electrical & Electronics
PT Ion Teknologi Indonesia,Computer/Information Technology (Software)
PT Ionix Indonesia,Utilities/Power
PT Ionnex Indonesia,Computer/Information Technology (Software)
PT Ionpay Networks,"Consulting (IT, Science, Engineering & Technical)"
PT Iora Collection,Arts / Design / Fashion
PT IOT Inovasi Indonesia,Computer/Information Technology (Software)
PT Iotstream Technology Indonesia,Computer/Information Technology (Software)
PT IP Network Solusindo,Computer/Information Technology (Software)
"PT IP Network Solusindo, Software",Science & Technology
