Perusahaan,Sektor
PT Jannisika Sumber Jaya,Manufacturing/Production
PT Janoko Permata Propertindo,Property/Real Estate
PT Jansen Indonesia (Semarang),Consumer Products/FMCG
PT Jansonjaya Intinusa,Electrical & Electronics
PT Jantan Setia Sakti,General & Wholesale Trading
PT Jantra Reka Saksanamas,Healthcare / Medical
PT Jantra Swarna Dipta,Property/Real Estate
PT Janu Putra,Agricultural / Plantation / Poultry / Fisheries
PT Januardi Putera Logistik (Jakarta),Transportation/Logistics
PT Jap Permata Nusantara,Human Resources Management/Consulting
PT JAP Permata Nusantara (Palembang),Human Resources Management / Consulting
PT Japa Melindo Pratama,Construction/Building/Engineering
PT Japan Asia Consultants,Consulting (Business & Management)
PT Japan Drilling Indonesia,Oil/Gas/Petroleum
PT Japan Indonesia Economy Centre (JIAEC Surabaya),Manufacturing/Production
PT Japan Indonesian Economic Center,Consulting (Business & Management)
PT Japan Servo Batam Indonesia,Electrical & Electronics
PT Japfa Comfeed Indonesia (Cabang Nilam Surabaya),Food & Beverage / Catering / Restaurant
PT Japfa Comfeed Indonesia (Wonoayu),Polymer / Plastic / Rubber / Tyres
PT Japfa Comfeed Indonesia Tbk,Manufacturing / Production
PT Japfa Comfeed Indonesia TbK ( Sidoarjo),Food & Beverage / Catering / Restaurant
PT Japfa Comfeed Indonesia Tbk Unit Makassar,Agricultural/Plantation/Poultry/Fisheries
"PT Japfa Comfeed Indonesia, Tbk",Agricultural/Plantation/Poultry/Fisheries
PT Japfa Comfeed Tbk Unit Gedangan Sidoarjo,Exhibitions/Event management/MICE
PT JAPINDO AMANAH ILAHI,Others
PT Japos Boga Buana Sejahtera,Food & Beverage / Catering / Restaurant
PT Japura Inti Pangan,Consumer Products/FMCG
PT Japutra,Manufacturing / Production
PT Jaring Artha Medika,Healthcare/Medical
PT Jaring Semesta Infosolusi,Computer / Information Technology (Software)
PT Jaring Semesta Integrasi,Heavy Industrial/Machinery/Equipment
PT Jaring Solusi Aplikasi,Computer/Information Technology (Software)
