Perusahaan,Sektor
PT Karya Anugerah Jaya,Food & Beverage/Catering/Restaurant
PT Karya Anugerah Kusuma,Mining
PT Karya Anugerah Rumpin,Agricultural/Plantation/Poultry/Fisheries
PT Karya Anugerah Sejahtera,Polymer / Plastic / Rubber / Tyres
PT Karya Anugerah Sejati Abadi,Consulting (Business & Management)
PT Karya Anugrah Investama,Property/Real Estate
PT Karya Anugrah Multi Packindo,General & Wholesale Trading
PT Karya Anugrah Teknologi (Jakarta),Computer/Information Technology (Hardware)
PT Karya Ardi Prestasi,Heavy Industrial/Machinery/Equipment
PT Karya Aspal Mandiri,General & Wholesale Trading
PT Karya Atap Membrane,Architectural Services/Interior Designing
PT Karya Bahana Unigam,Automobile/Automotive Ancillary/Vehicle
PT Karya Bahari Abadi,Automobile / Automotive Ancillary / Vehicle
PT KARYA BAJA SUKSES,General & Wholesale Trading
PT Karya Baja Sukses,General & Wholesale Trading
PT Karya Bakti Metalasri,Manufacturing / Production
PT Karya Bakti Metalasri,Construction/Building/Engineering
PT Karya Bersama Properti,Property/Real Estate
PT Karya Bersatu Lestari (Jakarta),General & Wholesale Trading
PT Karya Bina Lestari,Healthcare / Medical
PT Karya Bintang Gemilang,Property/Real Estate
PT Karya Boga Ternama,Food & Beverage/Catering/Restaurant
PT Karya Boga Utama,Food & Beverage/Catering/Restaurant
PT Karya Brothers Nusamesindo,General & Wholesale Trading
PT Karya Buana Sejahtera,Transportation/Logistics
PT Karya Budi Agung Sentosa,Construction / Building / Engineering
PT Karya Bumi Baratama,Mining
PT Karya Cakra Mandiri,Polymer/Plastic/Rubber/Tyres
PT Karya Cantika Kusuma,Property / Real Estate
PT Karya Cemerlang Tour Travel,Travel/Tourism
PT Karya Cerebro Kreasi Interaksi,Advertising/Marketing/Promotion/PR
PT Karya Cipta Balindo,Food & Beverage/Catering/Restaurant
PT Karya Cipta Bayu Minapratama,Advertising/Marketing/Promotion/PR
PT Karya Cipta Digital,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Cipta Group,Property / Real Estate
PT Karya Cipta Makmur Abadi,General & Wholesale Trading
PT KARYA CIPTA MANDIRI SEJATI,Construction/Building/Engineering
PT Karya Cipta Pesona,Hotel / Hospitality
PT Karya Cipta Unggul Nusantara,Construction/Building/Engineering
PT Karya Ciptanyata Wisesa,Manufacturing/Production
PT Karya Deli Steelindo,Construction/Building/Engineering
PT Karya Design,Retail / Merchandise
PT Karya Digital,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Digital Nusantara (Lawble),Computer/Information Technology (Software)
PT Karya Digna Indonesia,Consulting (Business & Management)
PT Karya Dinamika Funseason,Property / Real Estate
PT Karya Dua Sahabat Cemerlang,Electrical & Electronics
PT Karya Dua Semesta,Computer / Information Technology (Hardware)
PT Karya Duta Konsulindo,Construction/Building/Engineering
PT Karya Duta Sarana,Transportation / Logistics
PT Karya Dwi Putra,Oil/Gas/Petroleum
PT Karya Ekatama,General & Wholesale Trading
PT Karya Elang Indonesia,Human Resources Management/Consulting
PT Karya Energi Indonesia,General & Wholesale Trading
PT Karya Estetika Indonesia,Grooming/Beauty/Fitness
PT Karya Gemilang Indonusa,Manufacturing/Production
PT Karya Generasi Makmur ( Surabaya ),Retail / Merchandise
PT Karya Giat Sukses Sejahtera,Property/Real Estate
PT Karya Global International,Electrical & Electronics
PT Karya Grafis Indonusa,Arts/Design/Fashion
PT Karya Graha Andara,General & Wholesale Trading
PT Karya Graha Cemerlang,General & Wholesale Trading
PT KARYA GRAHA NITYASA (Tangerang),Construction/Building/Engineering
PT Karya Guna Cipta Sejahtera,Computer / Information Technology (Software)
PT Karya Guna Sumber Perkasa,Gems/Jewellery
PT Karya Hati Gemilang,Advertising/Marketing/Promotion/PR
PT Karya Idaman Bersama,Retail/Merchandise
PT Karya Indah Abadi Terus,Others
PT Karya Indah Anugerah Tumbuh,Manufacturing/Production
PT Karya Indah Mitratama,Healthcare/Medical
PT Karya Indah Sukses (Malang),Property / Real Estate
PT Karya Indonesia Sukses,General & Wholesale Trading
PT Karya Inova Beton Indonesia,Construction/Building/Engineering
PT Karya Insan Dermawan,Education
PT Karya Inspirasi Baru,Construction/Building/Engineering
PT Karya Interarsi Utama,Architectural Services / Interior Designing
PT Karya Interchem Mitraniaga,Oil/Gas/Petroleum
PT Karya Intertek Kencana,Construction/Building/Engineering
PT Karya Inti Petrolleum,Oil / Gas / Petroleum
PT Karya Inti Sinar Pratama,Arts/Design/Fashion
PT Karya Jaya Abadi Propertindo,Property/Real Estate
PT KARYA JAYA SEMBILAN SAUDARA,General & Wholesale Trading
PT Karya Jaya Sukses Prima,Telecommunication
PT Karya Karang Asem Indah,Polymer/Plastic/Rubber/Tyres
PT Karya Karunia Indotama,Human Resources Management / Consulting
PT Karya Kasih Persada,Consulting (Business & Management)
PT Karya Kencana Sumber Sari,Food & Beverage/Catering/Restaurant
PT Karya Kinetama Exactindo,Transportation / Logistics
PT Karya Kinetama Exactindo,Others
PT Karya Kita Bandung,Printing / Publishing
PT Karya Komponen Presisi,Accounting/Audit/Tax Services
PT Karya Konstrindo Gunaestetika,Construction/Building/Engineering
PT Karya Kreasi Pesona Indonesia,Food & Beverage/Catering/Restaurant
PT Karya Kreatif Bersama,Entertainment/Media
PT Karya Kuliner Sejahtera,Food & Beverage / Catering / Restaurant
PT KARYA KUSUMA PERKASA,"Consulting (IT, Science, Engineering & Technical)"
PT Karya Lancar Sejahtera,Construction/Building/Engineering
PT Karya Lima Utama,General & Wholesale Trading
PT Karya Lintas Nusa Sejati,Transportation / Logistics
PT Karya Logam Agung,Heavy Industrial/Machinery/Equipment
