Perusahaan,Sektor
PT Kobelindo Compressors,Heavy Industrial/Machinery/Equipment
PT Kobelindo Compressors (Semarang),Heavy Industrial / Machinery / Equipment
PT Koberu Pratama,Advertising / Marketing / Promotion / PR
PT Kobexindo Equipment,Heavy Industrial/Machinery/Equipment
PT Kobexindo Equipment (Semarang),Heavy Industrial / Machinery / Equipment
PT Kobexindo Tractors,Heavy Industrial / Machinery / Equipment
PT Kobexindo Tractors (Banjarmasin),Heavy Industrial / Machinery / Equipment
PT KOBEXINDO TRACTORS TBK,Heavy Industrial/Machinery/Equipment
PT Kobin Keramik Industri,Manufacturing/Production
PT Kodai Indonesia,Manufacturing / Production
PT Kodasindo Tatasarana,Printing/Publishing
PT Kodeco Agrojaya Mandiri,Agricultural/Plantation/Poultry/Fisheries
PT Kodisu Indonesia,Advertising / Marketing / Promotion / PR
PT Koei Tool Indonesia,Manufacturing/Production
PT Koexim Mandiri Finance,Banking/Financial Services
PT KOFPI,Agricultural/Plantation/Poultry/Fisheries
PT Kogam Artha Sejahtera,Banking/Financial Services
PT Kogelahar Indonusa,Heavy Industrial/Machinery/Equipment
PT Kogelahar Riau,Manufacturing/Production
PT Kognitif Skema Indonesia,Accounting/Audit/Tax Services
PT Kogo Continental,Manufacturing / Production
PT Koh Brother Indonesia,Manufacturing/Production
PT Kohler Indonesia,Manufacturing/Production
PT Kohler Metal Industry,Manufacturing / Production
PT Kohwa Precision Indonesia,Manufacturing/Production
PT Koi Café Indonesia,Food & Beverage/Catering/Restaurant
PT KOI Oriental Indonesia,Food & Beverage / Catering / Restaurant
PT Koin Bumi,Retail/Merchandise
PT Koin Pratama,Construction/Building/Engineering
PT Koin Travel,Travel / Tourism
PT Koincom Persada,Advertising/Marketing/Promotion/PR
PT Koink Indonesia,General & Wholesale Trading
PT Kojima Laser Indonesia,Manufacturing/Production
PT Kojima Metal Form Indonesia,Manufacturing/Production
PT KOJO,"Consulting (IT, Science, Engineering & Technical)"
PT Kojo (Samarinda),Oil/Gas/Petroleum
PT KOJO (Surabaya),General & Wholesale Trading
PT Kojo - Pekanbaru,Mining
PT Koka Indonesia,Architectural Services/Interior Designing
PT Kokai Indo Abadi,Manufacturing/Production
PT Kokek,Consulting (Business & Management)
PT Koken Indonesia,Textiles/Garment
PT KOKI Marketama,Food & Beverage/Catering/Restaurant
PT Kokindo Tropical Springs,Manufacturing/Production
PT Kokoci Craga Asia,Entertainment / Media
PT Kokoh Anugerah Nusantara,Property/Real Estate
PT Kokoh Contractor Indonesia,Manufacturing/Production
PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),Others
PT Kokoh Makmur Sentosa,Automobile / Automotive Ancillary / Vehicle
PT Kokoh Mandiri Sejahtera,General & Wholesale Trading
PT Kokoh Semesta,Manufacturing/Production
PT KOKORIA (Mannayo Resto),Food & Beverage/Catering/Restaurant
PT Kolaborasi Global Sukses,Computer/Information Technology (Software)
PT Kolaborasi Ide Kreatif,Education
PT Koled,Advertising / Marketing / Promotion / PR
PT Kolink Network Solutions,"Consulting (IT, Science, Engineering & Technical)"
PT Kollage Kreatif Global,Retail / Merchandise
PT Kolledo Indonesia,Computer/Information Technology (Software)
PT Kolosal Pratama,Chemical / Fertilizers / Pesticides
PT Kolsen Multimedia,Human Resources Management / Consulting
PT KOLTIVA,General & Wholesale Trading
PT Komala Tri Varia,Consumer Products / FMCG
PT Komark Labels And Labelling Indonesia,Printing / Publishing
PT Komatsu Astra Finance,Heavy Industrial/Machinery/Equipment
PT KOMATSU INDONESIA,Heavy Industrial/Machinery/Equipment
PT Komatsu Marketing and Support Indonesia,Heavy Industrial/Machinery/Equipment
PT Komatsu Reman Indonesia,Heavy Industrial / Machinery / Equipment
PT Komet Bersama Indonesia,Insurance
PT Komet Infra Nusantara,Telecommunication
PT Komet Konsorsium (Medan),Telecommunication
PT Komindo Bizolusi,Computer/Information Technology (Hardware)
PT Komindo Bizolusi,Others
PT Komipo Pembangkitan Jawa Bali (KPJB),Electrical & Electronics
PT Komitra Mitra Karya,Hotel / Hospitality
PT Komitra Perkasa Sejahtera,Hotel / Hospitality
PT Komitrando Emporio,Apparel
PT Komoditas Gemerlap,Mining
PT Komotech Indonesia,Manufacturing/Production
PT Kompacindo Area Utama,Heavy Industrial / Machinery / Equipment
PT Kompak Indopola,Retail / Merchandise
PT Kompak Mantap Indonesia,Entertainment/Media
PT Kompas Ilmu,Retail/Merchandise
PT Kompas Media Nusantara,Entertainment/Media
PT Kompindo Fontanaraya,Manufacturing/Production
PT Kompindo Wiratama,Manufacturing/Production
PT Kompresindo Utamajaya,Manufacturing / Production
PT Komugi Bali,Food & Beverage/Catering/Restaurant
PT Komunika Bangun Investasi,Banking / Financial Services
PT Komunika Cergas Ilhami (BBDO Indonesia),Advertising / Marketing / Promotion / PR
PT Komunika Lima Dua Belas,Computer / Information Technology (Software)
PT Komunika Lintas Maya,Advertising/Marketing/Promotion/PR
PT Komunika Mitra Indonesia,Consulting (Business & Management)
PT Komunika Mitra Pratama,Telecommunication
PT Komunika Pratama Reksa,Advertising/Marketing/Promotion/PR
PT Komunikasi Kinerja / KIROYAN PARTNERS,Consulting (Business & Management)
PT Komunikasi Mantap Indonesia,Entertainment / Media
PT Komunikasi Mitra Dwipanca,Advertising/Marketing/Promotion/PR
PT Komunikasia,Advertising/Marketing/Promotion/PR
PT Komunitas Cerdas Indonesia,Education
PT Komunitas Karya Kencana,Computer/Information Technology (Software)
