Perusahaan,Sektor
PT Koncepts Mulia Indonesia,General & Wholesale Trading
PT Kondang Motor,Automobile / Automotive Ancillary / Vehicle
PT Kondo International,General & Wholesale Trading
PT Kone Indo Elevator,General & Wholesale Trading
PT Konecranes,Heavy Industrial/Machinery/Equipment
PT Konekthing Benda Pintar,"Consulting (IT, Science, Engineering & Technical)"
PT Konet Indonesia,Telecommunication
PT KONET INDONESIA,Telecommunication
PT Konexindo Unitama,Computer/Information Technology (Software)
PT Kongres Rental Indonesia,Exhibitions/Event management/MICE
PT Konici Sejahtera,General & Wholesale Trading
PT Konigs Multi Teknik,Heavy Industrial/Machinery/Equipment
PT Konimex,Healthcare / Medical
PT KONIMEX (SOLO),Manufacturing/Production
PT Konka Electronic Indonesia,Electrical & Electronics
PT Konnichiwa Indonesia,Manufacturing/Production
PT Konoike Transport Indonesia,Transportation / Logistics
PT Konsep Media Kreatif,Computer/Information Technology (Software)
PT Konsep Sistem Indonesia,Computer / Information Technology (Software)
PT Konsindo Inovatek Utama,Manufacturing/Production
PT Konstruksi Indo Machinery (KIM),Heavy Industrial/Machinery/Equipment
PT Konsula Amarta Nusantara (Jakarta),Healthcare/Medical
PT Konsulindo Informatika Perdana,"Consulting (IT, Science, Engineering & Technical)"
PT Konsulta Semen Gresik,Construction/Building/Engineering
PT Konsultan Indonesia ( Jolly Good English ( PIK ) ),Education
PT Konsultan Indonesia Bersama,Consulting (Business & Management)
PT Konsultan Inovasi Tridharma,Consulting (Business & Management)
PT Konsultan Investasi Asia,Consulting (Business & Management)
PT Konsultan Tylin International,Construction/Building/Engineering
PT Konsultasi Mikro Ventura,Banking / Financial Services
PT KONSULTASI SINAR GEMILANG,Consulting (Business & Management)
PT Kontak Perkasa futures,Others
PT KONTAK PERKASA FUTURES bali,Others
PT Kontena Kemas Industri,Manufacturing/Production
PT Kontindo Panca Manunggal,Chemical / Fertilizers / Pesticides
PT Kontinum Studio Hardy Jonggala,Architectural Services/Interior Designing
PT Kontrol Indo Raya,Construction/Building/Engineering
PT Kontrol Power Utama,Construction/Building/Engineering
PT Konutara Sejati,Mining
PT Konvergensi Mitra Solusi,Human Resources Management/Consulting
PT Kooc Kreasi,Manufacturing/Production
PT Kool Snap Multi Retailindo,Accounting/Audit/Tax Services
PT KOP Surface Products,Manufacturing/Production
PT Kopegtel Batam Cemerlang,Others
PT Kopel Lahan Andalan,Property/Real Estate
PT Kopel Lahan Andalan (Surabaya),Property/Real Estate
PT Kopeng Alam Wisata,Travel/Tourism
PT Koperindo Rekamandiri,General & Wholesale Trading
PT Kopi Luwak,Food & Beverage/Catering/Restaurant
PT Kopiku Indonesia,Food & Beverage / Catering / Restaurant
PT Kopindo Jaya,Consumer Products / FMCG
PT Kopitiam Oey Indonesia,Food & Beverage/Catering/Restaurant
PT Kopium Artisan Indonesia,Food & Beverage/Catering/Restaurant
PT Kopnatel Jaya,Telecommunication
PT Kopolco Indonesia,Manufacturing/Production
PT Koradipura Prakarsa,Construction/Building/Engineering
PT Koral Kampar,Mining
PT Koran Media Investor Indonesia,Entertainment / Media
PT Korchina Logistics Indonesia,Transportation / Logistics
PT Korea Motor Indonesia (Bogor),Automobile/Automotive Ancillary/Vehicle
PT Korea Rail Network Authority,Construction/Building/Engineering
PT Korea Red Ginseng,General & Wholesale Trading
PT Korea Tomorrow & Global  Indonesia,Consumer Products/FMCG
PT Korelasi Persada Indonesia,Computer/Information Technology (Software)
PT Korin Buana Antarnusa (Jakarta),Transportation/Logistics
PT Korin Buana Antarnusa (Surabaya),Transportation/Logistics
PT Korin Hub,General & Wholesale Trading
PT Korin Inti Wira Engineering Indonesia,Manufacturing/Production
PT Korin Intiwira Sejahtera (Surabaya),Manufacturing/Production
PT Korin Jaya,Manufacturing/Production
PT KORIN METAL ARTS,Manufacturing/Production
PT Korina Kemuning Perkasa,"Consulting (IT, Science, Engineering & Technical)"
PT Korina Prima Sinergi,Travel/Tourism
PT Korindo Aria Bimasari,Mining
PT Korindo Heavy Industry,Heavy Industrial/Machinery/Equipment
PT Korindo Interguna,Food & Beverage / Catering / Restaurant
PT Korindo Motors,Manufacturing / Production
PT Korinus,Food & Beverage/Catering/Restaurant
PT Korma Jaya Utama,Food & Beverage / Catering / Restaurant
PT Korman Indo Express,Others
PT Korman Kencana Ekspressindo,Transportation / Logistics
PT Korn Ferry International,Consulting (Business & Management)
PT Kornet Logistics,Transportation / Logistics
PT Korosi Specindo,Manufacturing/Production
PT Korpindo Konsultansi,Consulting (Business & Management)
PT Korpora Trainindo Consultant,Consulting (Business & Management)
PT Korra Antar Buana,"Consulting (IT, Science, Engineering & Technical)"
PT Korrner Mitra Prakasa,"Consulting (IT, Science, Engineering & Technical)"
PT Kors Beautipedia Permata ( Jakarta ),Retail/Merchandise
PT Korsia Mitra Nusantara,Accounting/Audit/Tax Services
PT Kosala Agung Metropolitan,Healthcare / Medical
PT Kosantara Abadi,Construction / Building / Engineering
PT Koshima Utama Agung,Electrical & Electronics
PT Kosindo Supratama,Agricultural / Plantation / Poultry / Fisheries
PT Kosmedikatama Setia Indonesia,Consumer Products / FMCG
PT Kosmetikatama Super Indah,Manufacturing / Production
PT Kosmindah Wangi,Manufacturing/Production
PT Kosmo Life Style,Arts / Design / Fashion
PT Kosong Satu - Bedforest,Travel/Tourism
PT Kostra Indonesia,Travel/Tourism
