Perusahaan,Sektor
PT Lightmedia Inovasi Teknologi,"Consulting (IT, Science, Engineering & Technical)"
PT Lightstream Analytics Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Ligman Lighting Indonesia,Electrical & Electronics
PT Ligno Specialty Chemicals,Chemical/Fertilizers/Pesticides
PT Lignum Asia Pacific,Manufacturing/Production
PT Liiur Persada,Entertainment / Media
PT Lika Indra Jaya,Hotel / Hospitality
PT Lika Internasional,Manufacturing / Production
PT Like2connect Indonesia,Computer/Information Technology (Software)
PT Liku Telaga,Manufacturing / Production
PT Lila Buana Wisata,Travel / Tourism
PT Lileo Imaging Indonesia,Entertainment / Media
PT Lily Kasoem Metropolitan,Healthcare / Medical
PT Lily Maritim Indonesia,Transportation / Logistics
PT Lim Siang Huat Ripindo,Manufacturing / Production
PT Lima Belas,General & Wholesale Trading
PT Lima Berjaya Persada,Manufacturing/Production
PT LIMA BOGA MULTIKREASI,Food & Beverage/Catering/Restaurant
PT Lima Cipta Solusi,Consulting (Business & Management)
PT Lima Jalan Bangsa,Arts/Design/Fashion
PT LIMA MAS SEJATI ( Surabaya ),Manufacturing / Production
PT Lima Panca Sukses,Food & Beverage/Catering/Restaurant
PT Lima Putra Indojaya,Electrical & Electronics
PT Lima Sempurna Makmur,Retail/Merchandise
PT Lima Srikandi Mandiri (Dapur Sunda),Food & Beverage/Catering/Restaurant
PT Limadua Uluwatu Gemilang,Property/Real Estate
PT Limajari Interbhuana,Transportation/Logistics
PT Limakilo Majubersama Petani,Retail/Merchandise
PT LimaLima Dinamika,Manufacturing/Production
PT Limaradja Kuliner Indonesia,Food & Beverage/Catering/Restaurant
PT Limardi Mitra Perkasa,Hotel / Hospitality
PT Limas Anugrah Steel,Property/Real Estate
PT Limas Centric Indonesia Tbk,Call Center / IT-Enabled Services / BPO
"PT Limas Indonesia Makmur, TBK",Computer/Information Technology (Software)
PT Limas Lestari,BioTechnology/Pharmaceutical/Clinical research
PT Limas Power Indonesia,Computer/Information Technology (Hardware)
PT Limas Sentosa Antarnusa,Transportation/Logistics
PT Limas Tunggal,General & Wholesale Trading
PT Limasa Mitratama,Chemical/Fertilizers/Pesticides
PT Limawira Wisesa,Telecommunication
PT Limax Kaleborah Marifat,Retail/Merchandise
PT Limaz Prima Steel,Construction/Building/Engineering
PT Lime Electronic Commerce,Retail/Merchandise
PT Limesoda Kreasindo,Arts/Design/Fashion
PT Limin KST,Oil / Gas / Petroleum
PT Limin Marine & Offshore,Marine/Aquaculture
PT Limindo Makmur,Manufacturing/Production
PT Limitless Indonesia,Arts/Design/Fashion
PT Limkokwing Akademi Innovasi Kreativitas,Education
PT Limpah Mas Indonesia,Manufacturing/Production
Pt Limshrimp Berkat Bersama,Others
PT Linc Knowledge Academy,Education
PT Lince Romauli Raya,Construction / Building / Engineering
PT Lincoln Electric Indonesia,Electrical & Electronics
PT Lincoln Indoweld,General & Wholesale Trading
PT Linda Gallery Sejahtera,Arts/Design/Fashion
PT Linda Hanta Wijaya,Automobile/Automotive Ancillary/Vehicle
PT Linda Jaya Mandiri,Manufacturing / Production
PT Linditon United,Retail / Merchandise
PT Linds Consulting Engineer,"Consulting (IT, Science, Engineering & Technical)"
PT Linea Prima Cipta,Advertising / Marketing / Promotion / PR
PT Lineage,Healthcare/Medical
PT Linear Indonesia,General & Wholesale Trading
PT Linesia Adofa Lestari (Linde Material Handling),Manufacturing/Production
PT Linfox Logistics Indonesia,Transportation/Logistics
PT Lingga Furnindo,Electrical & Electronics
PT Lingga Indoteknik Utama,Construction/Building/Engineering
PT Lingga Jati Al Mushowa,Retail / Merchandise
PT Lingga Kopi,Food & Beverage / Catering / Restaurant
PT Linggo Mandiri Abadi,Automobile/Automotive Ancillary/Vehicle
PT Lingkar Alam Semesta,Computer/Information Technology (Software)
PT Lingkar Niaga Solusindo,Computer / Information Technology (Software)
PT Lingkar Solusi Nusantara,Computer / Information Technology (Software)
PT Lingkaran Survei Indonesia,Consumer Products / FMCG
PT Lingkarindo Buana Raya,Construction / Building / Engineering
PT Lingua Asiatic,Telecommunication
PT Lingual Global Prima,Education
PT Linhai Yida Electronics,Electrical & Electronics
PT Linijati Arthaprima,Arts/Design/Fashion
PT Link Apisindo Media,Computer/Information Technology (Software)
PT Link Pangestu Utama,Heavy Industrial/Machinery/Equipment
PT Link Pasipik Indonusa,Transportation / Logistics
PT Link Technical Services,Human Resources Management / Consulting
PT LINK TERMINAL PERKASA ABADI,Polymer/Plastic/Rubber/Tyres
PT Linka Mitra Abadi,Human Resources Management/Consulting
PT Linkadata Citra Mandiri,"Consulting (IT, Science, Engineering & Technical)"
PT Linked Indonesia,Human Resources Management / Consulting
PT Linkfortune,Manufacturing/Production
PT LinkIT360,Computer/Information Technology (Software)
PT Linkmet Controls indonesia,Oil/Gas/Petroleum
PT Linktone Indonesia - OKEZONE,Computer/Information Technology (Software)
PT Lintang Beta Nusantara,BioTechnology/Pharmaceutical/Clinical research
PT Lintang Buana Wisata Nusantara,Travel / Tourism
PT Lintang Esa Semesta,Advertising/Marketing/Promotion/PR
PT Lintang Kawuryan,Computer/Information Technology (Software)
PT Lintas Agung Wisata,Travel/Tourism
PT Lintas Aman Nusantara,Stockbroking / Securities
PT Lintas Asia Telecom,Manufacturing/Production
PT Lintas Bara Resource,Mining
PT Lintas Baruna Pasific Lines,Marine/Aquaculture
