Perusahaan,Sektor
PT Masa Jaya Perkasa,Manufacturing / Production
PT Masa Kini Mandiri (Lampung Post),Entertainment / Media
PT Masa Kreasi,Property/Real Estate
PT Masa Lestari Husada,Healthcare/Medical
PT Masa Sinar Mulia,Retail/Merchandise
PT Masabaru Kencana,General & Wholesale Trading
PT Masada Jaya Lines,Marine/Aquaculture
PT MASADENTA,Others
PT Masagung Indonesia,Manufacturing / Production
PT Masaji Prayasa Cargo,Transportation/Logistics
PT Masaji Tatanan Container,Transportation / Logistics
PT Masaline Engineering Indonesia,Electrical & Electronics
PT Masari Dwisepakat Fiber,Wood / Fibre / Paper
PT Masaryo Gatra Nastiti,Electrical & Electronics
PT Masato Catur Coating,Manufacturing / Production
PT Masbukhin Pradhana Indonesia,Retail/Merchandise
PT Maschil Sukses Makmur,Insurance
PT Mascot International,Automobile/Automotive Ancillary/Vehicle
PT Maseir Control,Retail / Merchandise
PT Masgo Muriyo Jaya,Construction/Building/Engineering
PT Mashill Internasional Finance,Banking/Financial Services
PT Mashill Internasional Finance (Garut),Banking / Financial Services
PT Masindo Artha Securities,Stockbroking / Securities
PT Masindo Buana Wisata,Travel / Tourism
PT Masindo Multi Pratama,Construction / Building / Engineering
PT Masindo Scientific,General & Wholesale Trading
PT Masindo Sumbermas Kencana,Advertising / Marketing / Promotion / PR
PT Masindo Utama Nusantara,Call Center / IT-Enabled Services / BPO
PT Masjeki Bersaudara,Transportation/Logistics
PT Maskapai Asuransi Raya,Insurance
PT Maskapai Pelayaran The Indonesian Fortune Lloyd,Transportation / Logistics
PT Maskapai Reasuransi Indonesia Tbk,Insurance
PT Masmedia Buana Pustaka,Retail/Merchandise
PT Masmedia Buana Pustaka ( Jakarta ),Advertising/Marketing/Promotion/PR
PT Masmedia Buana Pustaka (Palembang),General & Wholesale Trading
PT Masmedia Buana Pustaka Solo,Printing/Publishing
PT Masmindo Dwi Area,Mining
PT Maspion,Electrical & Electronics
PT Maspion Group,Manufacturing/Production
PT Masplast Poly Film,Manufacturing/Production
PT Mass Rapid Transit Jakarta (MRT),Others
PT Mass Trading Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Massa Makmor Food And BV,Food & Beverage / Catering / Restaurant
PT Massa Makmor World Tour & Travel,Travel / Tourism
PT Massada Komunikasi,Telecommunication
PT Massco Entersprise,Others
PT MassHive Media Bandung,Computer/Information Technology (Software)
PT Massi Sukses Perkasa,Food & Beverage / Catering / Restaurant
PT Massimo Global Media (Bandung),Entertainment/Media
PT Massindo Karya Prima (Bandung),Electrical & Electronics
PT Massindo Solaris Nusantara,Manufacturing/Production
PT Massindo Solaris Nusantara (Kaltim Branch),Manufacturing / Production
PT Masskredit Pasifica Raya,Banking/Financial Services
PT Mastajav,"Consulting (IT, Science, Engineering & Technical)"
PT Mastar Perdana Indonesia,Heavy Industrial / Machinery / Equipment
PT Maste Dayaa,Heavy Industrial/Machinery/Equipment
PT MASTER BLOCK INDONESIA,Manufacturing/Production
PT Master Centranusa Cemerlang,General & Wholesale Trading
PT Master Cipta Sentosa,Consumer Products / FMCG
PT Master Express,Transportation / Logistics
PT Master Grafika Digital,Printing/Publishing
PT Master Indo Aroma Mitra,Food & Beverage / Catering / Restaurant
PT Master Indonesia,Manufacturing / Production
PT MASTER INTI GROUPINDO,Advertising/Marketing/Promotion/PR
PT Master Label,Printing / Publishing
PT Master Laundrymart Indonesia,Manufacturing/Production
PT Master Makmur Lestari,Food & Beverage / Catering / Restaurant
PT Master Media Indonesia,Entertainment/Media
PT Master Parking Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Master Print (Tangerang),Manufacturing / Production
PT Master Print Surabaya,Retail / Merchandise
PT Master Solusi Indonesia,Electrical & Electronics
PT Master Web Network,Computer/Information Technology (Software)
PT Master Wovenindo Label,Manufacturing / Production
PT Masterboga Suksesmakmur,Food & Beverage / Catering / Restaurant
PT Masterdata Digital Cyberindo,General & Wholesale Trading
PT Mastergreen  Electric (Trafo Distribusi Manufacturer),Electrical & Electronics
PT Masterina Grafika Esprinta,Printing/Publishing
PT Masterindo Jaya Abadi,Textiles / Garment
PT Masterindo Jaya Global Indonesia (Gresik),Manufacturing / Production
PT Masterindo Multiguna,Advertising/Marketing/Promotion/PR
PT Masterindo Prima Tehnik,Chemical / Fertilizers / Pesticides
PT Masterlink Indonesia,Banking/Financial Services
PT Mastero Circle Indonesia (MGTH Group),Human Resources Management/Consulting
PT Mastersystem Infotama,Computer/Information Technology (Software)
PT Mastersystem Infotama (Surabaya),"Consulting (IT, Science, Engineering & Technical)"
PT Mastindo Agung Semesta,General & Wholesale Trading
PT Mastrada,Heavy Industrial / Machinery / Equipment
PT Mastrada Surya,General & Wholesale Trading
PT Mastrald Rekapiranti Utama,"Consulting (IT, Science, Engineering & Technical)"
PT Mastratech Indonesia,Mining
PT Mastrotto Indonesia,Manufacturing / Production
PT Mastura Pradhivi Indo Kreatif,Advertising/Marketing/Promotion/PR
PT Mastura Pradhivi Indo Kreatif ( Kiss Addict ),Advertising / Marketing / Promotion / PR
PT Masusskita United,Manufacturing/Production
PT Masuya Graha Trikencana,Retail / Merchandise
PT Masuya Graha Trikencana,General & Wholesale Trading
PT Masuya Graha Trikencana (Jakarta),Food & Beverage / Catering / Restaurant
PT Masuya Sejati (Surabaya),Retail/Merchandise
PT Masvent Technosoft,"Consulting (IT, Science, Engineering & Technical)"
