Perusahaan,Sektor
PT Megah Nurindo Pratama,Printing/Publishing
PT Megah Nusantara Perkasa,Printing/Publishing
PT Megah Pita Indonesia,Others
PT Megah Ria Diantama,General & Wholesale Trading
PT Megah Sembada Industries,Manufacturing/Production
PT Megah Surya Persada,Computer/Information Technology (Software)
PT Megah Surya Pertiwi (Harita Group),Manufacturing/Production
PT Megahbuana Laena Persada,Travel / Tourism
PT Megahbuana Laena Persada (Solo),Travel / Tourism
PT Megahlestari Dapur Indonesia,Food & Beverage/Catering/Restaurant
PT Megahlestari Wisesa,Education
PT Megajaya Sukses Intipratama,Manufacturing/Production
PT Megakarya Astra Prima,Property/Real Estate
PT Megalite Printing,Printing/Publishing
PT Megalumel Internasional,Transportation/Logistics
PT Megamas Plaza Bangunan,Retail / Merchandise
PT Megametal Perdana,Manufacturing/Production
PT MegaMitra Multi Indo Perkasa,Hotel / Hospitality
PT Meganusa Transmission,Manufacturing/Production
PT MEGAPLAZA,Construction / Building / Engineering
PT Megapolitan Developments Tbk,Property/Real Estate
PT Megapower Makmur,Construction/Building/Engineering
PT Megaprint Citra Mandiri,Printing/Publishing
PT Megaputra Service Indo,"Consulting (IT, Science, Engineering & Technical)"
PT Megarasa Anugerah Karya,Construction/Building/Engineering
PT Megariamas Sentosa,Retail/Merchandise
PT MEGASARI MAKMUR,Consumer Products/FMCG
PT Megasetia Agung Kimia (Jakarta),Consumer Products/FMCG
PT Megastar Home Shopping,Retail/Merchandise
PT Megastar Indonesia,General & Wholesale Trading
PT Megasurya Nusalestari,Property / Real Estate
PT Megatama Citra Mandiri,General & Wholesale Trading
PT Megatama Innotek Nusantara,"Consulting (IT, Science, Engineering & Technical)"
PT Megatama Inti Solusi,Computer / Information Technology (Software)
PT Megatama Mandiri,Automobile / Automotive Ancillary / Vehicle
PT Megatama Multiteknika Abadi,General & Wholesale Trading
PT Megatama Putra Mulia Ranau,Apparel
PT Megatama Putra Sejahtera,Wood/Fibre/Paper
PT Megatara Era Perkasa,Healthcare/Medical
PT Megatech Gemilang,Electrical & Electronics
PT Megatech Indonesia,General & Wholesale Trading
PT Megatek Konsindo,Heavy Industrial/Machinery/Equipment
PT Megatex Indotama,Manufacturing/Production
PT Megatika Grahalestari Internasional,Construction/Building/Engineering
PT Megatitian Nusantara Cargo Services,Transportation / Logistics
PT Megatitian Nusantara Cargoservices,Transportation/Logistics
PT Megatitian Nusantara Makassar,Transportation / Logistics
PT Megatitian Nusantara Surabaya,Transportation/Logistics
PT Megatop Inti Selaras,Mining
PT Megatrend Semesta,Electrical & Electronics
PT Megatrend Semesta cab Bali,Electrical & Electronics
PT Megatronix Mitraniaga,Computer/Information Technology (Hardware)
PT Megaversal Kreasindo,Electrical & Electronics
PT Megawastu Solusindo,"Consulting (IT, Science, Engineering & Technical)"
PT Megawatt Asia,Exhibitions/Event management/MICE
PT Megaxus Infotech,Computer/Information Technology (Software)
PT Megayasa Engineering,Manufacturing / Production
PT Megayasa Teknologi Indonesia,Construction/Building/Engineering
PT Meghantara,Telecommunication
PT Megindo Tunggal Sejahtera,Printing/Publishing
PT Megmilk Snow Brand Indonesia,Manufacturing/Production
PT Megumi Paras Cantika,Retail/Merchandise
PT Meia Sinergi Utama,Heavy Industrial/Machinery/Equipment
PT Meia Solusi,Heavy Industrial/Machinery/Equipment
PT Meiden Engineering Indonesia,Construction / Building / Engineering
PT Meidian Surya Bersaudara (Meidian Elektronik),Electrical & Electronics
PT Meiho Manufacturing Indonesia,Manufacturing/Production
PT Meiji Indonesia,BioTechnology/Pharmaceutical/Clinical research
PT Meiji Indonesian Pharmaceutical Industries,Manufacturing/Production
PT Meiko Ekspres,Transportation/Logistics
PT Meindo Elang Indah,Heavy Industrial/Machinery/Equipment
PT Meinhardt Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT MEIRA MANUFACTURING INDONESIA,Automobile/Automotive Ancillary/Vehicle
PT Meisindo Karya Semesta,Consumer Products / FMCG
PT Meisirindo Utama,Aerospace / Aviation / Airline
PT Meitan-X Technology,Computer/Information Technology (Software)
PT Meiwa Kogyo Indonesia,Automobile/Automotive Ancillary/Vehicle
PT Meiwa Mold Indonesia,Manufacturing/Production
PT Meja abadi Perkasa,Transportation/Logistics
PT Meji Sakti Motor,Automobile / Automotive Ancillary / Vehicle
PT Mejistar Adhijaya,Manufacturing/Production
PT Mekabox Putra,Property / Real Estate
PT Mekada Abadi,General & Wholesale Trading
PT Mekaleksi Surya Pratama,"Consulting (IT, Science, Engineering & Technical)"
PT Mekanusa Cipta (Kota Wisata Real Estate),Property / Real Estate
PT Mekar Armada Jaya,Automobile/Automotive Ancillary/Vehicle
PT Mekar Armada Jaya (Jakarta),Manufacturing / Production
PT MEKAR FURNITURE,Architectural Services/Interior Designing
PT MEKAR JAYA GLOBAL,Travel/Tourism
PT Mekar Maju Metalindo,Heavy Industrial/Machinery/Equipment
PT Mekar Niaga Sentosa,General & Wholesale Trading
PT Mekar Prana Indah,Property / Real Estate
PT Mekar Sempurna,General & Wholesale Trading
PT Mekar Sukses Perkasa,Consumer Products/FMCG
PT Mekar unggul sari,Agricultural / Plantation / Poultry / Fisheries
PT Mekar Unggul Sari,Hotel/Hospitality
PT Mekaro Daya Mandiri,"Consulting (IT, Science, Engineering & Technical)"
PT Mekarsari Warna Perkasa,Polymer/Plastic/Rubber/Tyres
PT Melady Garment International (Semarang),Textiles/Garment
PT Melanton Pratama,Oil/Gas/Petroleum
