Perusahaan,Sektor
PT Meta Technology Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Metabe Citra Niaga Jaya,Retail/Merchandise
PT Metabe Citra Niaga Jaya,Others
PT Metabisulphite Nusantara,Manufacturing/Production
PT Metachem Mulia Perkasa,Manufacturing/Production
PT Metafora International,Property / Real Estate
PT Metaform Jaya Abadi,Architectural Services / Interior Designing
PT Metaguna Innova,Automobile/Automotive Ancillary/Vehicle
PT METAHELIX LIFESCIENCES INDONESIA,Agricultural/Plantation/Poultry/Fisheries
PT Metakom Persada Pranata,Consulting (Business & Management)
PT METAKOM PERSADA PRANATA,Accounting/Audit/Tax Services
PT Metal Can Coating Industries Supplier,General & Wholesale Trading
PT Metal Depot Indonesia,General & Wholesale Trading
PT Metal Depot Indonesia,General & Wholesale Trading
PT Metal Indo Cemerlang,Retail / Merchandise
PT METAL TECH MACHINERY,Heavy Industrial/Machinery/Equipment
PT Metalfrio Life Cycle Indonesia,Manufacturing / Production
PT Metalindo Gunatama,General & Wholesale Trading
PT Metalindo Inti Nusa,General & Wholesale Trading
PT Metalindo Jaya Utama,Manufacturing / Production
PT Metalindo Multiperkasa,General & Wholesale Trading
PT Metalindo Prima Engineering,Manufacturing/Production
PT Metalindo Prima Sarana,General & Wholesale Trading
PT Metalindo Sentosa Utama,Manufacturing / Production
PT Metalindo Sumber Tani,General & Wholesale Trading
PT Metalisha Intiguna,Others
PT Metalogic Infomitra,Computer/Information Technology (Software)
PT Metalogix Infolink Persada,Computer/Information Technology (Software)
PT Metalsindo Pacific,General & Wholesale Trading
PT Metaltech Indonesia,General & Wholesale Trading
PT Metamind Tata Cendekia,Consulting (Business & Management)
PT Metanoia Mulia Agung,Others
PT Metanouva Informatika,Computer/Information Technology (Software)
PT Metaphor Indonesia,Architectural Services/Interior Designing
PT Metaplas Harmoni,Telecommunication
PT Metaprofesional Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT METEOR INOVASI DIGITAL,Accounting/Audit/Tax Services
PT Meteoric Indobatam,Environment / Health / Safety
PT Metindo Mitra Mandiri,Wood/Fibre/Paper
PT Metindo Perkasa,Chemical/Fertilizers/Pesticides
PT Metindo Prima Daya,Electrical & Electronics
PT Metis Infiniti Indonesia,Computer/Information Technology (Software)
PT Metis Teknologi Corporindo,Call Center/IT-Enabled Services/BPO
PT Metra Digital Media (MD Media),Advertising / Marketing / Promotion / PR
PT Metra Digital Media (Surabaya),Entertainment / Media
PT METRA DIGITAL MEDIA BY TELKOM INDONESIA,Entertainment/Media
PT Metra-Net,Computer/Information Technology (Hardware)
PT Metraplasa,Others
PT Metrindo Supra Sinatria (MSS – METRINDO GROUP),General & Wholesale Trading
PT Metrix Inspira,Automobile/Automotive Ancillary/Vehicle
PT Metro Batavia (Batavia Air),Aerospace / Aviation / Airline
PT Metro Delima Putra,Printing/Publishing
PT Metro Drug Indonesia,Healthcare/Medical
PT Metro East Graha Wisata,Property/Real Estate
PT Metro Express International,Transportation/Logistics
PT Metro Garmin,Apparel
PT Metro Global Services,Telecommunication
PT Metro Grafika Utama,General & Wholesale Trading
PT Metro Idea Architects,Architectural Services/Interior Designing
PT Metro Idea Arsitektur,Architectural Services/Interior Designing
PT METRO LIMA LIMA,Manufacturing / Production
PT Metro Nusantara Cipta Property,Property/Real Estate
PT METRO PEARL INDONESIA,Manufacturing/Production
PT Metro Puri Harmoni,Hotel/Hospitality
PT Metro Realty Tbk,Property/Real Estate
PT Metro Security Delta 311,Repair & Maintenance Services
PT Metro Sentral Graphia,Printing/Publishing
PT Metro Sky Garden,Food & Beverage / Catering / Restaurant
PT Metro Solusi Persada,Transportation/Logistics
PT Metro Wisata Raya,Travel/Tourism
PT Metro77,Automobile / Automotive Ancillary / Vehicle
PT Metrocom Global Solusi,Computer/Information Technology (Software)
PT Metrocom Indonesia,Telecommunication
PT Metrocom Jaddi Technology,"Consulting (IT, Science, Engineering & Technical)"
PT Metrogema Media Nusantara ( Warta Kota ),Journalism
PT Metroharapan Cipta Persada,Property/Real Estate
PT Metrohm Indonesia,Manufacturing/Production
PT Metromedia Elmeka Engineering,Construction / Building / Engineering
PT Metron Andika Nusantara,Electrical & Electronics
PT Metropole Purnama Citra,Manufacturing/Production
PT Metropolis Propertindo utama,Property / Real Estate
PT Metropolitan Bayu Industri,Heavy Industrial/Machinery/Equipment
PT Metropolitan Bayutama,Electrical & Electronics
PT Metropolitan Bayutama (Surabaya),Construction/Building/Engineering
PT Metropolitan Deta Graha,Hotel/Hospitality
PT METROPOLITAN DEVELOPMENT,Property/Real Estate
PT Metropolitan Express,Transportation/Logistics
PT Metropolitan Golden Management (Horison Group),Hotel / Hospitality
PT Metropolitan Indonesia,Mining
PT Metropolitan Karyadeka Ascendas,Property/Real Estate
PT Metropolitan Karyadeka Development,Property/Real Estate
PT Metropolitan Kentjana Tbk,Property/Real Estate
PT Metropolitan Kentjana Tbk - Pondok Indah Golf Apartement,Property/Real Estate
PT Metropolitan Land (Bekasi),Property / Real Estate
PT Metropolitan Land Tbk,Property/Real Estate
PT Metropolitan Retailmart,Retail/Merchandise
PT Metropolitan Surya Graha,Construction/Building/Engineering
PT Metropolitel Indoraya,General & Wholesale Trading
PT Metrotama Unison,General & Wholesale Trading
PT Metrotech Jaya Komunika Indonesia,Telecommunication
