Perusahaan,Sektor
PT Moderen Jaya Mandiri,Retail/Merchandise
PT Modern Decor Asri,General & Wholesale Trading
PT Modern Inovatif Cemerlang,General & Wholesale Trading
PT Modern Internasional Tbk.,Consumer Products/FMCG
PT Modern Keramik Jaya,Retail/Merchandise
PT MODERN LOGISTIK INDONESIA,Heavy Industrial/Machinery/Equipment
PT Modern Montessori International,Education
PT Modern Plastic Industry,Polymer / Plastic / Rubber / Tyres
PT Modern Polaris Teknologi,Computer/Information Technology (Software)
PT Modern Surya Jaya ( Surabaya ),Construction/Building/Engineering
PT Modern Surya Jaya (Semarang),Construction / Building / Engineering
PT Modern Testing Services Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Modern Widya Technical,Construction/Building/Engineering
PT Modern Widya Tehnical (Balikpapan),Construction/Building/Engineering
PT Moderne Star Bali,Architectural Services / Interior Designing
PT Modernland Realty Tbk,Property/Real Estate
PT Modis Adibusana,Retail / Merchandise
PT Modu System Indonesia,Manufacturing/Production
PT Module Intracs Yasatama,Science & Technology
PT Moeda Titan Agung,Manufacturing/Production
PT MOG Indonesia,General & Wholesale Trading
PT Moga Pratama Sukses,Accounting/Audit/Tax Services
PT Mogems Putri International,Retail/Merchandise
PT Mogens Prima Solusindo,Computer/Information Technology (Software)
PT Moikmo Opoi,Manufacturing/Production
PT Mojopahit Mandiri Jaya Sentosa,Manufacturing / Production
PT Mojopahit Mandiri Jaya Sentosa (Medan),Heavy Industrial/Machinery/Equipment
PT Mojorami Agung Jaya,General & Wholesale Trading
PT Moka Teknologi Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Mokken Cita Rona,Manufacturing/Production
PT Mokko Boga Jaya,Food & Beverage/Catering/Restaurant
PT MOL AccessPortal,Computer/Information Technology (Software)
PT Mol Auto Carrier Indonesia,Transportation / Logistics
PT MOL Logistics Indonesia,Transportation/Logistics
PT Molay Satrya Indonesia,Apparel
PT Molds & Dies Indonesia,Manufacturing / Production
PT Moleo Lestari Wisata,Travel / Tourism
PT Molex Ayus Pharmaceutical,Healthcare / Medical
PT Molindo Inti Gas,Oil/Gas/Petroleum
PT Molindo Raya Industrial Malang,Manufacturing/Production
PT Molome Dalome Center,Education
PT Molten Aluminum Producer Indonesia,Manufacturing/Production
PT Moment Global Internasional,Accounting / Audit / Tax Services
PT Momenta Agrikultura,Agricultural/Plantation/Poultry/Fisheries
PT Momenta Agrikultura (Kalimantan),Agricultural / Plantation / Poultry / Fisheries
PT Momentous Instrumindo,General & Wholesale Trading
PT Momentum Indonesia Investama,Property/Real Estate
PT Momentum Kreasi Indonesia,Arts/Design/Fashion
PT Mommentum Djaja,General & Wholesale Trading
PT Momotrip Axia Indonesia,Travel/Tourism
PT Momozen Amusement Indonesia,Construction/Building/Engineering
PT Monalisa Tunggal Jaya,General & Wholesale Trading
PT Monang Sianipar Abadi,Transportation/Logistics
PT Monang Sianipar Abadi (Medan),Transportation / Logistics
PT Monang Sianipar Abadi -MSA (Makassar),Transportation/Logistics
PT Monar Abadi Elektrik (Makassar),Electrical & Electronics
PT Monarre Makmur Abadi,Food & Beverage / Catering / Restaurant
PT Mondekorindo Seni International,Arts/Design/Fashion
PT Mondelez Indonesia,Consumer Products/FMCG
PT Mondelez Indonesia,Manufacturing/Production
PT MONDIAL BOGA PERKASA,Food & Beverage/Catering/Restaurant
PT Mondial Teknologi Solusi,Computer / Information Technology (Software)
PT Mondylia Amerta,General & Wholesale Trading
PT Monetec,Architectural Services/Interior Designing
PT Money Smart Financial,Accounting / Audit / Tax Services
PT Moneyguru Indonesia,Computer/Information Technology (Software)
PT Monfori Nusantara,Agricultural/Plantation/Poultry/Fisheries
PT Monfori Nusantara,Manufacturing/Production
PT Monica HijauLestari,Retail/Merchandise
PT Monico Boating Group (Bali Samurai),Travel / Tourism
PT Monier,Manufacturing/Production
PT Monitorindo Internusa,Manufacturing / Production
PT Mono Flip Global,Computer/Information Technology (Software)
PT Mono Technology Indonesia,Computer/Information Technology (Software)
PT Monokem Surya,Chemical / Fertilizers / Pesticides
PT Monolith Studio,Architectural Services/Interior Designing
PT MONOTARO INDONESIA,Retail/Merchandise
PT Monroe Consulting Group,Human Resources Management/Consulting
PT Monso Kreatif Indonesia,Entertainment/Media
PT Monsoon Academy,Education
PT Monsoon Academy,Human Resources Management / Consulting
PT Monspace Mega Indonesia,Retail/Merchandise
PT Monster Dot,"Consulting (IT, Science, Engineering & Technical)"
PT Monstermob Indonesia,Computer/Information Technology (Software)
PT Montessori Mazmur Indonesia,Education
PT Montin Vivo Indonesia,Food & Beverage/Catering/Restaurant
PT Montir Indonesia Jaya,Repair & Maintenance Services
PT Montis Energy,Manufacturing / Production
PT MONTY BOGA TAMA,Food & Beverage/Catering/Restaurant
PT Monysaga Prima,Consumer Products / FMCG
PT Mooksindo,Apparel
PT Moonlay Technologies,Computer/Information Technology (Software)
PT Moonlay Technologies (Solo),Computer/Information Technology (Software)
PT Moores Rowland Indonesia,Accounting/Audit/Tax Services
PT Mora Advertising Contents,Advertising / Marketing / Promotion / PR
PT Mora Quatro Multimedia (Surabaya),"Consulting (IT, Science, Engineering & Technical)"
PT Mora Telematika Indonesia (Moratelindo),Telecommunication
PT Moradon Berlian Sakti,Manufacturing/Production
PT Moradon Mas Murni,Others
PT Moran Jaya Internasional,Property/Real Estate
