Perusahaan,Sektor
PT Multi Print Selaras,Printing/Publishing
PT Multi Pulsa Perkasa,General & Wholesale Trading
PT Multi Rahardja Nirwana,Construction / Building / Engineering
PT Multi Rasa Indonesia,Food & Beverage/Catering/Restaurant
PT Multi Raya Indah Abadi,Manufacturing/Production
PT Multi Retailindo (Floral Home),Manufacturing/Production
PT Multi Rotatek Indonesia ( Surabaya ),Manufacturing / Production
PT Multi Rotatek Indonesia (Jakarta),Manufacturing/Production
PT Multi Royu Indonesia,Property/Real Estate
PT Multi Rubindo,Manufacturing/Production
PT Multi Saka Abadi,Manufacturing/Production
PT MULTI SAMUDERA INTERBUANA,General & Wholesale Trading
PT Multi Sandang Tamajaya,Textiles/Garment
PT Multi Sarana Avindo,Mining
PT Multi Sarana Computer,Computer/Information Technology (Hardware)
PT Multi Sarana Medika,Healthcare/Medical
PT Multi Sarana Pakanindo,Agricultural / Plantation / Poultry / Fisheries
PT Multi Sarana Persada,Construction/Building/Engineering
PT Multi Sarana Plasindo,Polymer/Plastic/Rubber/Tyres
PT Multi Sarana Prima Nusantara,Retail / Merchandise
PT Multi Sarana Sejahtera,General & Wholesale Trading
PT Multi Sarana Silicaindo,Manufacturing / Production
PT Multi Sarana Sukses Mandiri,Transportation/Logistics
PT Multi Sari Idaman,Manufacturing/Production
PT Multi Sari Idaman (Makassar),Consumer Products / FMCG
PT Multi Sari Makassar,Accounting / Audit / Tax Services
PT Multi Screen Indonesia,Manufacturing / Production
PT Multi Sejahtera Abadi,Transportation / Logistics
PT Multi Sejahtera Persada,Manufacturing/Production
PT Multi Sejahtera Plastisindo,Polymer/Plastic/Rubber/Tyres
PT Multi Selera Indonesia,Food & Beverage/Catering/Restaurant
PT Multi Sertifikasi Indonesia (Semarang),Accounting/Audit/Tax Services
PT Multi Servisindo Sarana,Security / Law Enforcement
PT Multi Sinar Adamar,Healthcare/Medical
PT Multi Sinar Kencana (Jakarta),Heavy Industrial / Machinery / Equipment
PT Multi Sindomulya,Heavy Industrial / Machinery / Equipment
PT Multi Sinergi Anugerah,Retail/Merchandise
PT Multi Sinergi Infrastruktur,Construction/Building/Engineering
PT Multi Sinergi Infrastruktur - Jakarta,Telecommunication
PT Multi Sistem Teknologi,General & Wholesale Trading
PT Multi Sistim Komunikasi,Electrical & Electronics
PT Multi Sources Indonesia,Human Resources Management/Consulting
PT Multi Spunindo Jaya,Manufacturing/Production
PT Multi Spunindo Jaya Jakarta,Manufacturing / Production
PT Multi Structure,Construction/Building/Engineering
PT Multi Structure Sarana,Construction/Building/Engineering
PT Multi Sukses Inovasi,Retail/Merchandise
PT Multi Superindo Manunggal,Manufacturing / Production
PT Multi Surya Makmur Gemilang (Jakarta),Food & Beverage / Catering / Restaurant
PT Multi Surya Tunggal,Manufacturing/Production
PT Multi Tara,Manufacturing/Production
PT Multi Tarex Mulia,Oil/Gas/Petroleum
PT Multi Taruna Sejati,Exhibitions / Event management / MICE
PT Multi Teknik Internusa,Accounting/Audit/Tax Services
PT Multi Teknik Telaga Indonesia,Electrical & Electronics
PT Multi Teknindo Infotronika,Others
PT Multi Teknologi Sejahtera,Computer / Information Technology (Software)
PT Multi Top Indonesia (Lampung),General & Wholesale Trading
PT Multi Top Indonesia (Malang),General & Wholesale Trading
PT Multi Top Indonesia Batam,Others
PT Multi Top Indonesia Cabang Magelang,Others
PT Multi Trading Pratama,General & Wholesale Trading
PT Multi Unggul (Surabaya),Food & Beverage / Catering / Restaurant
PT Multi Usage Indonesia,Consumer Products / FMCG
PT Multi Usaha Citra Mandiri,Human Resources Management / Consulting
PT Multi Usaha Sumber Anugrah,Retail / Merchandise
PT Multi Utama Bisnis Solusi,Consulting (Business & Management)
PT Multi Utama Consultindo,Consulting (Business & Management)
PT Multi Utama Consultindo (Surabaya),Consulting (Business & Management)
PT Multi Viscomindo,General & Wholesale Trading
PT Multi Visi Jakarta,Accounting/Audit/Tax Services
PT Multi Visi Paragon,Computer/Information Technology (Software)
PT Multi Wahana Kencana,General & Wholesale Trading
PT Multi Wangi Alami,General & Wholesale Trading
PT Multibangun Adhitama Konstruksi (Multikon),Construction/Building/Engineering
PT Multibangun Rekatama Patria,Construction/Building/Engineering
PT Multiboga Pondok Mas,Food & Beverage / Catering / Restaurant
PT Multibrata Anugerah Utama,Construction/Building/Engineering
PT Multibuana Cipta Sejahtera,BioTechnology/Pharmaceutical/Clinical research
PT MULTICAPITAL SARANA UTAMA,Oil / Gas / Petroleum
PT Multichem Surabaya,Healthcare / Medical
PT Multiclean Jaya Lestari,Others
PT Multiclean Jaya Lestari (Surabaya),Repair & Maintenance Services
PT Multico Millenium Persada,General & Wholesale Trading
PT Multicorp Resources Mandiri,Mining
PT Multicrane Perkasa,Heavy Industrial/Machinery/Equipment
PT MULTIDAYA DINAMIKA,Electrical & Electronics
PT Multidaya Fortuna,Agricultural/Plantation/Poultry/Fisheries
PT Multidaya Teknologi Nusantara,Agricultural/Plantation/Poultry/Fisheries
PT Multidora Berca Lestari,Retail/Merchandise
PT Multifiling Mitra Indonesia ( Bali Branch ),Manufacturing / Production
PT Multifiling Mitra Indonesia ( Makasar Branch ),Manufacturing / Production
PT Multifiling Mitra Indonesia ( Semarang Branch ),Manufacturing / Production
PT Multifiling Mitra Indonesia (Jakarta),Others
PT Multifiling Mitra Indonesia Tbk,Consulting (Business & Management)
PT MULTIFIT,Grooming/Beauty/Fitness
PT Multigrafika Global,Printing/Publishing
PT Multigrafika Global (Bandung),Manufacturing / Production
PT Multigrafindo Advertising,Heavy Industrial/Machinery/Equipment
PT Multiguna Cemerlang,Electrical & Electronics
