Perusahaan,Sektor
PT Ooh Kupu - Kupu Global,Human Resources Management/Consulting
PT Oorja Indo KGS,Mining
PT OOrjaindo Petangis,Mining
PT Opac Barata,Consulting (Business & Management)
PT Opcy Tripadia Informatika,Computer/Information Technology (Software)
PT Opelon Garment Indonesia,Textiles/Garment
PT Open Port Indonesia,Computer/Information Technology (Software)
PT Opentrolley Bookstore,General & Wholesale Trading
PT Oppein Furindo,Architectural Services / Interior Designing
PT Ops Group Indonesia,Manufacturing/Production
PT Opsindo Elok Mandiri,Manufacturing/Production
PT Optical Partners Indonesia,General & Wholesale Trading
PT Optik Gomax Indonesia,Healthcare/Medical
PT Optik Seis Jaya,Retail/Merchandise
PT Optik Tunggal Sempurna,Retail/Merchandise
PT Optima Bisnis Integra,Computer / Information Technology (Hardware)
PT Optima CAkra Persada,Human Resources Management/Consulting
PT Optima Citra Kreasi,Exhibitions/Event management/MICE
PT Optima consultant,"Consulting (IT, Science, Engineering & Technical)"
PT Optima Educational Services,Education
PT Optima Inovasi Nusantara,"Consulting (IT, Science, Engineering & Technical)"
PT Optima Internusa Sejahtera,Travel/Tourism
PT Optima Kaswall,General & Wholesale Trading
PT Optima Media Indonesia (Surabaya),Printing / Publishing
PT OPTIMA MEDIA SINERGI,Advertising/Marketing/Promotion/PR
PT Optima Megah Persada,Textiles / Garment
PT Optima Mitra Konstruksi,Construction/Building/Engineering
PT Optima Multi Inovasi,Advertising/Marketing/Promotion/PR
PT Optima Pratama Mulia,Printing/Publishing
PT Optima Quatra,Property / Real Estate
PT Optima Solusindo Informatika (Jakarta),General & Wholesale Trading
PT Optima Tigabiru Jaya,Textiles/Garment
PT OPTIMAL DIGITAL INDONESIA (VARBS DIGITAL),"Consulting (IT, Science, Engineering & Technical)"
PT OPTIMAL DIGITAL INDONESIA (VARBS DIGITAL),Computer/Information Technology (Software)
PT Optimo Advertising International Makassar,Advertising / Marketing / Promotion / PR
PT Optimo Internasional (Malang),Advertising / Marketing / Promotion / PR
PT Optimum Ijaya (Jakarta),Electrical & Electronics
PT Optimus Capital,Consulting (Business & Management)
PT Optindo Suryatama,General & Wholesale Trading
PT Optiviel Cable,Computer/Information Technology (Software)
PT Opto Look Tech,Accounting/Audit/Tax Services
PT Opto Persada Nusantara,Healthcare/Medical
PT Optus Solution,Computer / Information Technology (Software)
PT Opus Management Indonesia,Consulting (Business & Management)
PT Orabelle Lestari,Architectural Services / Interior Designing
PT Oracle Adilaksana Trinanda,Exhibitions / Event management / MICE
PT Orange Media Indonesia,Advertising / Marketing / Promotion / PR
PT Oratio Jaya,General & Wholesale Trading
PT Orbicom Inti Teknologi,Repair & Maintenance Services
PT Orbinox South East Asia,General & Wholesale Trading
PT Orca Thermal Utama,Manufacturing / Production
PT Orcid Mantis Indonesia,Others
PT Orco Indonesia,Heavy Industrial / Machinery / Equipment
PT ORD REKACIPTA DINAMIKA,General & Wholesale Trading
PT Orden Indonesia,Transportation/Logistics
PT Orderindo Manajemen,Computer/Information Technology (Software)
PT Orela Bahari,Repair & Maintenance Services
PT Oremco Global Mandiri,Healthcare/Medical
PT Oren Pratama Generasi,"Consulting (IT, Science, Engineering & Technical)"
PT Organic Snack Company Indonesia (OSCO),Consumer Products / FMCG
PT Organica Laboratories,Grooming / Beauty / Fitness
PT Organik Hijau Indonesia,Agricultural/Plantation/Poultry/Fisheries
PT Organik Sehat Alami,Retail/Merchandise
PT ORGANIKA ALAM SEMESTA,Architectural Services/Interior Designing
PT Organika Soukya Copia,Retail/Merchandise
PT Orica Mining Services,Mining
PT Orient Container Express,Consumer Products / FMCG
PT Orient Indo Chemori,General & Wholesale Trading
PT Orient Star Shipping,Transportation/Logistics
PT Orient Star Shipping (Semarang),Transportation / Logistics
PT Orient Technical Centre,Others
PT Oriental & Occidental Development,Hotel / Hospitality
PT Oriental Abadi Indonesia,Heavy Industrial/Machinery/Equipment
PT Oriental Asahi JP Carton Box,Manufacturing/Production
PT Oriental Electronics Indonesia,Electrical & Electronics
PT Oriental Indah Bali Hotel,Hotel / Hospitality
PT Oriental Karya Express,General & Wholesale Trading
PT Oriental Komobindo Bahtera,Automobile / Automotive Ancillary / Vehicle
PT Oriental Manufacturing Indonesia,Automobile / Automotive Ancillary / Vehicle
PT Oriental Seed Indonesia,Agricultural / Plantation / Poultry / Fisheries
PT Orientama Lintas Buana,Heavy Industrial/Machinery/Equipment
PT Oriente Mas Sejahtera,Banking/Financial Services
PT Orientique International,Manufacturing / Production
PT Orientjasa Maritim Indonesia,Accounting/Audit/Tax Services
PT Orientraco Perkasa,Textiles/Garment
PT Orindo Alam Ayu,Grooming/Beauty/Fitness
PT Orindo Alam Ayu (ORIFLAME),Grooming/Beauty/Fitness
PT Orindo Alam Ayu Bali,Retail/Merchandise
PT Orindo Eratec,General & Wholesale Trading
PT Orindo Prima,General & Wholesale Trading
PT Orion Beauty International,General & Wholesale Trading
PT Orion Cyber Internet,"Consulting (IT, Science, Engineering & Technical)"
PT Orion Fluid Tritama,Heavy Industrial / Machinery / Equipment
PT Orion Food Indonesia,Consumer Products / FMCG
PT Orion Niaga Utama,General & Wholesale Trading
PT ORION NUSANTARA ENERGI,Oil/Gas/Petroleum
PT Orion Pharmacy,Healthcare / Medical
PT Orion Pratama Sentosa,Hotel/Hospitality
PT Orissa International,Manufacturing / Production
PT Oritel Inmotion,General & Wholesale Trading
