Perusahaan,Sektor
PT Permata Prima Elektrindo,Electrical & Electronics
PT Permata Putera Mandiri,Manufacturing / Production
PT Permata Sakti Prasada,General & Wholesale Trading
PT Permata Sejahtra Buana,Computer/Information Technology (Software)
PT Permata Shafwah,Travel/Tourism
PT Permata Subur Lestari,Manufacturing/Production
PT Permata Tiga Nusantara,General & Wholesale Trading
PT PERMATA TIMUR MEDIKA,Retail/Merchandise
PT Permata Tristar,Healthcare / Medical
PT Permata Wacana Lestari,Entertainment/Media
PT Permirathi Gemah Raharja,General & Wholesale Trading
PT Permodalan BMT Ventura,Banking/Financial Services
PT Permodalan Nasional Madani (Aceh),Banking / Financial Services
PT Permodalan Nasional Madani (Balikpapan),Banking / Financial Services
PT Permodalan Nasional Madani (Jambi),Banking / Financial Services
PT Permodalan Nasional Madani (Lampung),Banking / Financial Services
PT Permodalan Nasional Madani (Makassar),Banking / Financial Services
PT Permodalan Nasional Madani (Manado),Banking / Financial Services
PT Permodalan Nasional Madani (Palembang),Banking/Financial Services
PT PERMODALAN NASIONAL MADANI (Persero),Banking/Financial Services
PT Permodalan Nasional Madani (Persero) Cabang Denpasar,Banking/Financial Services
PT Permodalan Nasional Madani (Persero) Cabang Kendari,Banking / Financial Services
PT Permodalan Nasional Madani (Persero) Cabang Semarang,Banking / Financial Services
PT Permodalan Nasional Madani (Pontianak),Banking / Financial Services
PT Permodalan Nasional Madani (Yogyakarta),Banking / Financial Services
PT Permodalan Nasional Madani Cabang Banjarmasin,Banking / Financial Services
PT Permodalan Nasional Madani Cabang Pati,Banking / Financial Services
PT Permodalan Nasional Madani Cabang Pekanbaru,Banking / Financial Services
PT Permodalan Nasional Madani Persero Cabang Solo,Banking/Financial Services
PT Permodalan Nasional Madani Surabaya,Banking / Financial Services
PT Pernadi Wiraperkasa,Others
PT Pernik Diva Nirwana,Printing / Publishing
PT Peroni Karya Sentra,Heavy Industrial/Machinery/Equipment
PT Persada Alam Mandiri,Property/Real Estate
PT Persada Angkasa Jaya,Consulting (Business & Management)
PT Persada Arkana Buana,Manufacturing/Production
PT Persada Bintang Cemerlang,Manufacturing / Production
PT Persada Capital (Jakarta),Consulting (Business & Management)
PT Persada Capital Investama,Banking/Financial Services
PT Persada Cipta Prima,Architectural Services/Interior Designing
PT Persada Diagnostik,BioTechnology / Pharmaceutical / Clinical research
PT Persada Dinamika Jaya,Construction/Building/Engineering
PT Persada Duta Beliton (Persada Indonesia),Travel/Tourism
