Perusahaan,Sektor
PT Peruri Wira Timur,General & Wholesale Trading
PT Perusahaan Dagang Muara,Construction/Building/Engineering
PT Perusahaan Gas Negara (Persero) Tbk,Oil / Gas / Petroleum
PT Perusahaan Industri Ceres,Manufacturing/Production
PT Perusahaan Industri SINDU AMRITHA,Food & Beverage/Catering/Restaurant
PT Perusahaan Pelayaran Equinox,Transportation / Logistics
PT Perusahaan Pelayaran Nusantara Panurjwan,Marine/Aquaculture
PT Perusahaan Perdagangan Indonesia (Persero),General & Wholesale Trading
PT Perusahaan Perdagangan Indonesia (Persero) Balikpapan,General & Wholesale Trading
PT Perusahaan Perdagangan Indonesia (PERSERO) Malang,Transportation/Logistics
PT Pervasif Dayawawas Pirantiniaga,"Consulting (IT, Science, Engineering & Technical)"
PT Perwata Mulia Abadi,Grooming/Beauty/Fitness
PT Perwira Asia Bajatama,General & Wholesale Trading
PT Perwira Bhakti Sentrasejatera,Manufacturing/Production
PT Perwira Samudra Trans,Transportation / Logistics
PT Perwira Tamaraya Abadi (Wonderbath & Beyond),Construction/Building/Engineering
PT Perwira Tegar Mandiri,Heavy Industrial / Machinery / Equipment
PT Perwirabhakti Sentrasejahtera,Transportation/Logistics
PT Perwirabhakti Sentrasejahtera ( Bandung ),General & Wholesale Trading
PT Perwirabhakti Sentrasejahtera (Bali),Electrical & Electronics
PT Perwita Nusaraya,Human Resources Management / Consulting
PT Perwita Nusaraya MJI,General & Wholesale Trading
PT Pesaka Freight Forwarding,Transportation / Logistics
PT Pesaka Internasional Logistindo,Transportation / Logistics
PT Pesaka Loka Kirana,Transportation/Logistics
PT Pesona (UOB Buana Credit Card Div),Banking/Financial Services
PT Pesona Anugerah Indonesia,Healthcare/Medical
PT Pesona Aura Biru,Manufacturing/Production
PT Pesona Austina Property,Property/Real Estate
PT Pesona Bali Asri,Hotel / Hospitality
PT Pesona Berlian,Food & Beverage/Catering/Restaurant
PT Pesona Cakrawala (Tours & Travel (Trigana Air),Travel/Tourism
PT Pesona Cipta,Human Resources Management/Consulting
PT Pesona Cipta (Surabaya),Human Resources Management / Consulting
PT Pesona Dante Kintani,Travel / Tourism
PT Pesona Gerbang Karawang,Property / Real Estate
PT Pesona Gita Anindita,Entertainment/Media
PT Pesona Graha Semerbak,Hotel / Hospitality
PT Pesona Indah Mandiri (PESONALAND),Property/Real Estate
PT Pesona Indonesia Tours,Travel/Tourism
PT Pesona Khatulistiwa Nusantara,Mining
PT PESONA MITRA CEMERLANG,Others
PT Pesona Mozaik,Travel/Tourism
PT Pesona Nirwana Property,Property/Real Estate
PT Pesona Pharma Alam Elok,Food & Beverage / Catering / Restaurant
PT Pesona Prima Utama,Human Resources Management/Consulting
PT Pesona Putera Manggala,Hotel / Hospitality
PT Pesona Putra Mandiri,Food & Beverage/Catering/Restaurant
PT Pesona Putra Perkasa,Banking/Financial Services
PT Pesona Scientific,BioTechnology/Pharmaceutical/Clinical research
PT PESONA SINJANG KENCANA,General & Wholesale Trading
PT Pesona Taksu Bali,Arts / Design / Fashion
PT PESONA WISATA INDOSEMESTA,Travel/Tourism
PT Pesta Pora Abadi,Food & Beverage/Catering/Restaurant
PT Petakumpet Creative Network,Advertising/Marketing/Promotion/PR
PT Petani Gayo Makmur,Agricultural / Plantation / Poultry / Fisheries
PT Petarung Tangguh Persada,Retail/Merchandise
PT Peter Cremer Indonesia,General & Wholesale Trading
PT Peter F Saerang,Grooming/Beauty/Fitness
PT Peternakan Ayam Manggis,Agricultural/Plantation/Poultry/Fisheries
PT Peternakan Ayam Manggis (Sukabumi),Agricultural/Plantation/Poultry/Fisheries
PT Peterson Mitra Indonesia,Others
PT Petgo Bastian,Food & Beverage / Catering / Restaurant
PT Petindo Plastikatama Indonesia,Polymer / Plastic / Rubber / Tyres
PT Petnesia Resindo,Others
PT Petra Anugerah Sejahtera,Construction/Building/Engineering
PT Petra Kaltim Sejahtera,Manufacturing/Production
PT Petra Konstruksi Abadi,General & Wholesale Trading
PT Petra Noormans Investama ( Kopnatel Jaya ),Hotel / Hospitality
PT Petra Nusa Elshada,General & Wholesale Trading
PT Petra Sejahtera Abadi,Food & Beverage/Catering/Restaurant
PT Petra Sejahtera Abadi (Bandung),Manufacturing/Production
PT Petra Synergi Alam,Manufacturing/Production
