Perusahaan,Sektor
PT PLN ( PERSERO),Others
PT PLN (Persero) Pusmankon UMK V,Manufacturing/Production
PT PLN (Persro) Kantor Pusat,Electrical & Electronics
PT Ploss Asia,Arts / Design / Fashion
PT Pluit Auto Plaza,Automobile/Automotive Ancillary/Vehicle
PT Pluit Makmur Lestari,Others
PT Plumpang Raya Anugrah,Oil / Gas / Petroleum
PT Plus Haut,Others
PT PM Control Systems,Utilities/Power
PT PM Control Systems Batam,Manufacturing/Production
PT PMB Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT PMG Integrasi Komunikasi,Advertising / Marketing / Promotion / PR
PT PMT Industri,Agricultural/Plantation/Poultry/Fisheries
PT PNE Indonesia,Manufacturing / Production
PT Pneuma Solusi Andalan,Oil/Gas/Petroleum
PT PNM Investment Management,Banking/Financial Services
PT PNM Ventura Syariah,Banking/Financial Services
PT Pnm Venture Capital,Banking/Financial Services
PT PO Nusantara (Demak),Transportation / Logistics
PT Poca Group Indonesia,Telecommunication
PT Poca Jaringan Samadhau,Advertising/Marketing/Promotion/PR
PT Pocket Network Technology,Computer/Information Technology (Software)
PT POD Indonesia,Food & Beverage/Catering/Restaurant
PT Podiatry Proffesionals,Healthcare / Medical
PT Podo Lancar Baik,Manufacturing/Production
PT Podojoyo Masyhur & Group,Property/Real Estate
PT Podomoro Windownesia,Construction/Building/Engineering
PT Poeser Indonesia,Consumer Products/FMCG
PT POETRA MESTI MAKMUR,Manufacturing/Production
PT Poetre Amrita Paksina,Grooming / Beauty / Fitness
PT Pogu Media Perkasa,Advertising/Marketing/Promotion/PR
PT Pohon Aras Sejati,Property / Real Estate
PT Pohon Artha Makmur,General & Wholesale Trading
PT Pohon Besar Lestari,Construction/Building/Engineering
PT Pohon Indah Makmur,Property / Real Estate
PT Pohon Mas Sejahtera,Heavy Industrial / Machinery / Equipment
PT Poing Interactive Games,Computer/Information Technology (Software)
PT Poinplus Cipta Kreasi,Advertising/Marketing/Promotion/PR
PT Point Break Indonesia,Retail / Merchandise
PT Point Media Globalindo,Advertising/Marketing/Promotion/PR
PT Pointera Aktuarial Strategis,General & Wholesale Trading
PT Pointmas Cemerlang,Apparel
PT Pojok Celebes mandiri,Travel/Tourism
Pt Poka Jaya Lestari,Textiles/Garment
PT Pola Agung,"Consulting (IT, Science, Engineering & Technical)"
PT Pola Aneka Sejahtera (Polagrade),Arts / Design / Fashion
PT Pola Data Consultant,Consulting (Business & Management)
PT Pola Inti Perkasa,Construction / Building / Engineering
PT Pola Kendali Nusantara,Construction/Building/Engineering
PT Pola Paperindo Jayatama,Manufacturing/Production
PT Pola Petro Development,Heavy Industrial/Machinery/Equipment
PT Pola Pulpindo Mantap,Computer/Information Technology (Hardware)
PT Pola Raya Jaya Sakti,Manufacturing / Production
PT Polabaja Pantongraha,Construction / Building / Engineering
PT Polar Solusindo Utama,Food & Beverage/Catering/Restaurant
PT Polarg Indonesia,Consumer Products/FMCG
PT POLARIN XININDO,General & Wholesale Trading
PT Polaris Dilivindo,Food & Beverage/Catering/Restaurant
PT Polaris Edu Partners,Computer/Information Technology (Software)
PT Polaris Sapta Manggala,Retail/Merchandise
PT Polaris Sedaya,Food & Beverage / Catering / Restaurant
PT Polaris Sinar Intan,Manufacturing/Production
PT POLARISWEB,"Consulting (IT, Science, Engineering & Technical)"
PT Polarniaga Utama,Chemical / Fertilizers / Pesticides
PT Polatic Informatika Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Polco Internasional,Chemical / Fertilizers / Pesticides
PT Poli Contindo Nusa,Manufacturing/Production
PT POLI PLASTIK PERKASA,Manufacturing/Production
PT Policipta Multidesain,Arts / Design / Fashion
PT Policoat Indahlanggeng,Manufacturing / Production
PT Polidayaguna Perkasa,Polymer / Plastic / Rubber / Tyres
PT Polin Jaya,Textiles/Garment
PT Polindo Solusi Nusantara,Healthcare/Medical
PT Polindo Utama,Manufacturing/Production
PT Poliplant Sejahtera (Cargill Tropical Palm),Agricultural/Plantation/Poultry/Fisheries
PT Poliplas Indah Sejahtera,Manufacturing / Production
PT Poliplas Makmur Santosa,Manufacturing/Production
PT POLISK SENTRAL SUMATERA,Electrical & Electronics
PT Pollux Aditama Kencana,Property/Real Estate
PT Pollux Properties,Property / Real Estate
PT Pollycom Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Polowijo Gosari,Agricultural/Plantation/Poultry/Fisheries
PT POLY JAYA PRATAMA,Manufacturing / Production
PT Poly Sejahtera Indah,Manufacturing/Production
PT Poly Stamino Indonesia,Environment/Health/Safety
PT Polychem Indonesia Tbk,Chemical/Fertilizers/Pesticides
PT Polychemie Asia Pacific Permai,Manufacturing/Production
PT Polycolor Prima Perkasa,Polymer / Plastic / Rubber / Tyres
PT Polyfin Canggih,Manufacturing/Production
PT Polykencana Raya,Polymer/Plastic/Rubber/Tyres
PT Polykenindo Nusantara,Manufacturing/Production
PT Polyline Elastomer Asia,Manufacturing / Production
PT Polymark Reaindo Plus,General & Wholesale Trading
PT PolyMaster Indonesia,Manufacturing / Production
PT Polymatra Bangun Graha,Construction/Building/Engineering
PT Polymer Applications Indonesia,Manufacturing/Production
PT Polymindo Permata,Manufacturing/Production
PT Polypack Megahpersada,Manufacturing/Production
PT Polypackindo Utama,Manufacturing / Production
PT Polyplast Dwiputra Pratama,Chemical/Fertilizers/Pesticides
