Perusahaan,Sektor
PT Prestasi Apparelindo Unggul,Oil / Gas / Petroleum
PT Prestasi Cahaya Metalindo,Manufacturing/Production
PT Prestasi Ide Jaya,General & Wholesale Trading
PT Prestasi Lancar Abadi,Food & Beverage/Catering/Restaurant
PT Prestasi Pelumasindo Unggul,Retail/Merchandise
PT Prestasi Piranti Informasi (NEUVIZ),Telecommunication
PT PRESTASI RETAIL INNOVATION,Retail/Merchandise
PT Prestige ProductsIndo,Retail/Merchandise
PT Prestige Star International,General & Wholesale Trading
PT Prestisa Floris,Retail/Merchandise
PT Prestress Construction Indonesia,Construction / Building / Engineering
PT Pretzelindo Sukses Pratama,Food & Beverage/Catering/Restaurant
PT Preventive Healthcare Indonesia,Healthcare / Medical
PT Priamanaya Energi,Construction/Building/Engineering
PT PRIAMANAYA JASA BOGA,Consumer Products / FMCG
,
PT Price Trandos Engineering,Electrical & Electronics
PT Pricearea Andalan Prestasi,Computer/Information Technology (Software)
PT Pricell Network System,"Consulting (IT, Science, Engineering & Technical)"
PT Pricol Surya,Automobile/Automotive Ancillary/Vehicle
PT Prigent,Food & Beverage / Catering / Restaurant
PT Prima Abadi Sejahtera,Retail/Merchandise
PT Prima Adjusterindo Mandiri,Insurance
PT Prima Adjusterindo Mandiri (Surabaya),Insurance
PT Prima Agri Indo,General & Wholesale Trading
PT Prima Agung Sejahtera,Consumer Products / FMCG
PT Prima Agung Sentosa,Manufacturing/Production
PT Prima Akses Fitting,General & Wholesale Trading
PT Prima Aktif Nusantara,Consumer Products / FMCG
PT Prima Alam Internasional,General & Wholesale Trading
PT Prima Alloy Steel Universal Tbk,Manufacturing/Production
PT Prima Andalan Djaja Internusa,Manufacturing/Production
PT Prima Andalan Group,Construction/Building/Engineering
PT Prima Aneka Sarana,General & Wholesale Trading
PT Prima Armada Raya,Transportation/Logistics
PT Prima Armada Samudra,Transportation / Logistics
PT Prima Artha Makmur,Food & Beverage/Catering/Restaurant
PT Prima Artistika Graha,Manufacturing / Production
PT PRIMA ASAHAN LOGISTIK,Transportation/Logistics
PT Prima Aseta Semarang,Transportation / Logistics
PT Prima Asri Aditama Mandiri,"Consulting (IT, Science, Engineering & Technical)"
PT Prima Auto Indonesia,Automobile / Automotive Ancillary / Vehicle
PT Prima Autoworld,Automobile / Automotive Ancillary / Vehicle
PT Prima Bahari Sejahtera,Transportation / Logistics
PT Prima Bajaindo Sukses,Manufacturing/Production
PT Prima Bangun Investama,Property / Real Estate
PT Prima Bangun Sejati,Mining
PT Prima Batavia Indobulking,Heavy Industrial / Machinery / Equipment
PT Prima Berkarya Dwijaya,Construction / Building / Engineering
PT Prima Berkat Pratama,Manufacturing / Production
PT Prima Beton Indonesia,Construction / Building / Engineering
PT Prima Bhakti Idaman,Manufacturing / Production
PT Prima Bikreasindo Indotama,Exhibitions/Event management/MICE
PT Prima Boga Ausindo,Retail/Merchandise
PT Prima Buana Internusa,Construction/Building/Engineering
PT Prima Buku Utama,Printing / Publishing
PT Prima Cahaya Agung,Electrical & Electronics
PT Prima Cahaya Indobeverage (PepsiCola-Indofood Group),Consumer Products/FMCG
PT Prima Cipta  Lestari,Food & Beverage/Catering/Restaurant
PT Prima Cipta Jaya,Mining
PT Prima Citra Megaswara,Manufacturing/Production
PT Prima Citra Perdana,Mining
PT Prima Citrarasa Utama,Food & Beverage/Catering/Restaurant
PT Prima Coal Chemical,Manufacturing/Production
PT Prima Culinari Indonesia,Food & Beverage / Catering / Restaurant
PT Prima Daya Andalan,Consulting (Business & Management)
PT Prima Daya Bali,Textiles / Garment
PT Prima Digital Growth,Computer/Information Technology (Software)
PT Prima Digital Solusindo,Computer/Information Technology (Hardware)
PT Prima Dinamika Perkasa (ILP Gading Serpong),Education
PT Prima Dinamika Sentosa,Manufacturing/Production
PT Prima Dinamika Solusi,"Consulting (IT, Science, Engineering & Technical)"
PT Prima Dinamis Sarana Jaya,General & Wholesale Trading
PT Prima Distribusi Elektrika,Oil / Gas / Petroleum
PT Prima Duta Sejati,Human Resources Management/Consulting
PT Prima Dwitama Anugrah (Bandung),Textiles/Garment
PT Prima Edu Pendamping Belajar,Education
PT Prima Eksekutif Surabaya,Transportation / Logistics
PT Prima Elektrindo,Electrical & Electronics
PT PRIMA ELEKTRONIKA TEKNOLOGI,General & Wholesale Trading
PT Prima Energy Globalindo,Human Resources Management/Consulting
PT Prima Energy Nasional,Electrical & Electronics
PT Prima Esthetica Solution,BioTechnology / Pharmaceutical / Clinical research
PT Prima Exelan Saputra,Automobile / Automotive Ancillary / Vehicle
PT Prima Express Remit,Banking/Financial Services
PT Prima Fajar Cahaya Surya,Human Resources Management/Consulting
PT Prima Fajar Cahaya Surya (Surabaya),Human Resources Management / Consulting
PT Prima Fajar Cahaya Surya (Yogyakarta),Human Resources Management / Consulting
PT Prima Farma Indonesia,Healthcare / Medical
PT Prima Fitindo Jaya,General & Wholesale Trading
PT PRIMA FITINDO JAYA (DIVISI HRD),General & Wholesale Trading
PT Prima Flo Manunggal,General & Wholesale Trading
PT PRIMA FRESHINDO UTAMA,Others
PT Prima Gas Mandiri,Oil / Gas / Petroleum
PT PRIMA GAS NUSANTARA,General & Wholesale Trading
PT Prima Generasi Bimbingan Belajar,Education
,
PT Prima Graha Bangun Tunggal,Construction/Building/Engineering
PT Prima Graha Citra,Construction/Building/Engineering
PT Prima Granitama Perkasa,Construction/Building/Engineering
