Perusahaan,Sektor
PT Prima Permata Nusantara,Entertainment/Media
PT Prima Pesona Alami,Healthcare/Medical
PT Prima Polytex Jaya,Manufacturing/Production
PT Prima Pratama Integritas,Banking/Financial Services
PT Prima Prestasia,Human Resources Management/Consulting
PT Prima Putra Dunamis,Manufacturing/Production
PT Prima Putra Kaltim,Wood/Fibre/Paper
PT Prima Putra Mas,Manufacturing / Production
PT Prima Putra Sapurah,Human Resources Management / Consulting
PT Prima Putra Sukses,Food & Beverage/Catering/Restaurant
PT Prima Rajuli Sukses,Textiles/Garment
PT Prima Reksa Internusa,Others
PT Prima Roda Gajah,Textiles/Garment
PT Prima Saftindo Elektrika,Electrical & Electronics
PT Prima Sakti Internasional,Manufacturing/Production
PT Prima Sarana Ekspres,Transportation/Logistics
PT Prima Sarana Gemilang,Mining
PT Prima Sarana Logistic,Transportation/Logistics
PT Prima Sarana Makmur,Manufacturing/Production
PT Prima Sarana Solusi,"Consulting (IT, Science, Engineering & Technical)"
PT PRIMA SARI INDOTAMA,Computer / Information Technology (Software)
PT Prima Sari Indotama (Surabaya ),General & Wholesale Trading
PT Prima Sekarkarsa,Entertainment / Media
PT Prima Selera,Food & Beverage/Catering/Restaurant
PT Prima Selera Nusantara,Food & Beverage/Catering/Restaurant
PT Prima Sentosa Alama Lestari,Construction/Building/Engineering
PT Prima Sentosa Ban,Polymer / Plastic / Rubber / Tyres
PT Prima Sentra Megah,Chemical / Fertilizers / Pesticides
PT Prima Sentris,General & Wholesale Trading
PT Prima Sentris Saputra,General & Wholesale Trading
PT Prima Setia Cemerlang,General & Wholesale Trading
PT Prima Setyamakmur Mandiri,Construction/Building/Engineering
PT PRIMA SH INDONESIA,Manufacturing / Production
PT Prima Sinergi Edutama,Education
PT Prima Sistem Terpadu,"Consulting (IT, Science, Engineering & Technical)"
PT Prima Solusi Medika,Healthcare/Medical
PT Prima Solusi Medikal,BioTechnology/Pharmaceutical/Clinical research
PT Prima Sukses Bersama,Construction/Building/Engineering
PT Prima Sukses Elektronik,Electrical & Electronics
PT Prima Sukses Makmur (Anatolia Restaurant),Food & Beverage/Catering/Restaurant
PT Prima Sukses Medika,Retail / Merchandise
PT Prima Sukses Perdana,Heavy Industrial / Machinery / Equipment
PT Prima Sumber Jaya,Property/Real Estate
PT Prima System Integrated,"Consulting (IT, Science, Engineering & Technical)"
PT Prima Tekmisindo Agung Perkasa,Accounting / Audit / Tax Services
PT Prima Teknik Mandiri,Consumer Products / FMCG
PT Prima Teknik Tanjaya,Automobile/Automotive Ancillary/Vehicle
PT Prima Teknis Nusantara,Computer / Information Technology (Software)
PT Prima Telekom Intermedia,Telecommunication
PT Prima Tigon Global,Heavy Industrial/Machinery/Equipment
PT Prima Timur Mandiri,Property / Real Estate
PT Prima Tonggak Inti Gemilang,Property/Real Estate
PT Prima Top Boga,Food & Beverage/Catering/Restaurant
PT Prima Traktor IndoNusa (Balikpapan),Heavy Industrial / Machinery / Equipment
PT Prima Trimitra Konvensindo,Advertising/Marketing/Promotion/PR
PT Prima Trimulia Indonesia,Property / Real Estate
PT Prima Triniti Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT PRIMA TUNAS INVESTAMA AND SUBS.,Mining
PT Prima Tunas Kharisma,Agricultural/Plantation/Poultry/Fisheries
PT Prima Tunggal Citra,Food & Beverage/Catering/Restaurant
PT Prima Tunggal Javaland,Others
PT PRIMA TUNGGAL MANDIRI,Oil/Gas/Petroleum
PT Prima Unggas Nusantara,Agricultural/Plantation/Poultry/Fisheries
PT Prima Unggul Persada,Construction/Building/Engineering
PT Prima Unggul Wisata,Travel/Tourism
PT Prima Universal,Manufacturing / Production
PT Prima Untung Bersama,Manufacturing/Production
PT Prima Vijaya Indah Tour,Travel / Tourism
PT Prima Vista Solusi (Bali),"Consulting (IT, Science, Engineering & Technical)"
PT Prima Vista Solusi (Surabaya),Heavy Industrial / Machinery / Equipment
PT Prima Wahana Auto Mobil,Automobile/Automotive Ancillary/Vehicle
PT Prima Wahana Citra,Consulting (Business & Management)
PT Prima Wahana Sejahtera,Automobile/Automotive Ancillary/Vehicle
PT Prima Wahana Solusindo,"Consulting (IT, Science, Engineering & Technical)"
PT Prima Wira Utama,Computer / Information Technology (Software)
PT Prima Xinbang Alumindo,Manufacturing / Production
PT Prima Yasa Banguntama,Construction/Building/Engineering
PT Prima Zirang Utama,Automobile/Automotive Ancillary/Vehicle
PT Primablastt Design Estomihi,Architectural Services / Interior Designing
PT Primaboga Surya Banjar (Food Square Banjar),Food & Beverage/Catering/Restaurant
PT Primachem Inti Perkasa,General & Wholesale Trading
PT Primacipta Anugrah Lestari,Property/Real Estate
PT Primacipta Grahasentosa,BioTechnology / Pharmaceutical / Clinical research
PT Primacipta Megah Jaya,Heavy Industrial/Machinery/Equipment
PT Primacipta Unggul Karya,Telecommunication
PT Primacitra Nuansadata,Telecommunication
PT PrimaCo Indonesia (Surabaya),Automobile / Automotive Ancillary / Vehicle
PT Primacom Interbuana,Telecommunication
PT Primacon Keprindo (BATAM),Others
PT Primadaya Indomedika,Agricultural / Plantation / Poultry / Fisheries
PT Primadaya Plastisindo,Manufacturing/Production
PT Primafit Indonusa,Healthcare/Medical
PT Primafit Indonusa,BioTechnology/Pharmaceutical/Clinical research
PT Primafood International,Others
PT Primafood Pangan Indonesia,Food & Beverage / Catering / Restaurant
PT Primagama Internasional,Education
PT PrimaGlobalTur (Prima Global Tour),Travel/Tourism
PT Primagraha Keramindo,Manufacturing/Production
PT PrimaGraphia Digital,Printing/Publishing
PT Primaimaging,General & Wholesale Trading
