Perusahaan,Sektor
PT Reebonz,Others
PT Reed Panorama Exhibitions,Exhibitions/Event management/MICE
PT Reendoo Profeta Nusantara,"Consulting (IT, Science, Engineering & Technical)"
PT Reeracoen Indonesia,Human Resources Management/Consulting
PT Reethau Cipta Energi,Oil/Gas/Petroleum
PT Refast Indonesia,Construction/Building/Engineering
PT Refcon Polar Nusaindo,Repair & Maintenance Services
PT Refika Aditama,Advertising / Marketing / Promotion / PR
PT Refindo Riset Konsultasi,"Consulting (IT, Science, Engineering & Technical)"
PT Refined Bangka Tin,Mining
PT Refined Bangka Tin ( Jakarta ),Mining
PT Refratech Mandala Perkasa,General & Wholesale Trading
PT Regawa Mobindo Kreasi Nusa,Advertising / Marketing / Promotion / PR
PT Rege Perkasa,Travel/Tourism
PT Regenesis Indonesia,Environment/Health/Safety
PT Regent International Resources,Mining
PT Regent Semesta Indonesia,Construction / Building / Engineering
PT Regina Putera Culinary,Food & Beverage/Catering/Restaurant
PT Regulo Lintas Nusantara ( Surabaya ),Sports
PT Reguna Investama,Architectural Services / Interior Designing
PT Rehau Indonesia,Manufacturing/Production
PT Rei Anggun Lestari,Grooming/Beauty/Fitness
PT Reiken Quality Tools,Manufacturing/Production
PT Reinhausen Indonesia,Heavy Industrial/Machinery/Equipment
PT Reinovasi Zona Kreasi Indonesia,Computer/Information Technology (Software)
PT Reins Marindo Indonesia,Food & Beverage/Catering/Restaurant
PT Reiser Indonesia Group,Manufacturing/Production
PT Reitech Solusindo,Consulting (Business & Management)
PT Reja Aton Energi,Electrical & Electronics
PT Rejeki Abadi,Manufacturing/Production
PT Rejeki Adigraha,Polymer / Plastic / Rubber / Tyres
PT Rejeki Inthi Abadi,General & Wholesale Trading
PT Rejeki Kebun Mangga,Food & Beverage / Catering / Restaurant
PT Rejeki Mitra Bali,Travel / Tourism
PT Rejeki Perdana Makmur,Automobile / Automotive Ancillary / Vehicle
PT Rejeki Putra Putri Eliman,Manufacturing/Production
PT Rejeki Sukses Santoso Pribadi (Jogja),Automobile / Automotive Ancillary / Vehicle
PT Rejo Madusari,Manufacturing/Production
PT Rejo Megah Makmur Engineering,Construction / Building / Engineering
PT Reka Cipta Nirmala,Advertising / Marketing / Promotion / PR
PT Reka Elektra Sarwawisesa,Oil / Gas / Petroleum
PT Reka Indah Media,Entertainment/Media
PT Reka Indo Perkasa,Construction/Building/Engineering
PT Reka Insan Dinamika Estu,Human Resources Management / Consulting
PT Reka Kreasi Makmur Abadi,Food & Beverage/Catering/Restaurant
PT Reka Matra Bestari,Computer / Information Technology (Software)
PT Reka Sinergi Pratama,Computer / Information Technology (Software)
PT Rekacipta Amerta,Call Center / IT-Enabled Services / BPO
PT Rekacipta Graphindo,Arts / Design / Fashion
PT Rekacipta Kinematika,Construction/Building/Engineering
PT Rekadaya Elektrika,Electrical & Electronics
PT Rekadaya Elektrika Consult,Consulting (Business & Management)
PT Rekadaya MItra Utama,Human Resources Management/Consulting
PT Rekadia Solusi Teknologi,Computer / Information Technology (Software)
PT Rekadia Solusi Teknologi (HO),Computer/Information Technology (Software)
PT Rekagriya Menarabuana,Construction / Building / Engineering
PT Rekagriya Sarana,Construction / Building / Engineering
PT Rekagunatek Persada,Construction/Building/Engineering
PT Rekajasa Akses,Telecommunication
PT REKAJASA ASYATAMA,General & Wholesale Trading
PT Rekamitra Dinamika Prima,General & Wholesale Trading
PT Rekan Andalan Marindo,General & Wholesale Trading
PT Rekan andalan Sukses,Consulting (Business & Management)
PT Rekan Usaha Mikro Anda,Consumer Products/FMCG
PT Rekananda,Oil/Gas/Petroleum
PT Rekapura Lintasperdana,Education
PT Rekasel Neokomunikasi Internusa,Computer / Information Technology (Software)
PT REKASURYA PRIMA DAYA,Electrical & Electronics
PT Rekatama Global Sinergi,Construction/Building/Engineering
PT Rekatama Inti Anugerah,Manufacturing/Production
PT Rekavistama,Computer/Information Technology (Hardware)
PT Rekayasa & Integrasi Sistem Elektronika (RISE),Electrical & Electronics
PT Rekayasa Cakrawala Resources (RECARE),Human Resources Management/Consulting
PT Rekayasa Engineering,Construction / Building / Engineering
PT Rekayasa Hijau Indonesia,Construction/Building/Engineering
PT Rekayasa Industri,Oil/Gas/Petroleum
PT Rekayasa Industri - PT Worley Parsons Indonesia,Construction / Building / Engineering
PT Rekayasa Lantai Beton,Construction/Building/Engineering
PT Rekayasa Penta Asia,Construction / Building / Engineering
PT Rekayasa Sempurna,Mining
PT Rekayasa Solverindo,"Consulting (IT, Science, Engineering & Technical)"
PT Rekayasa Teknik Perkasa,Utilities/Power
PT Rekayasa Teknik Utama,Construction / Building / Engineering
PT Rekayasa Utama,Construction / Building / Engineering
PT Rekeningku Dotcom Indonesia,Computer/Information Technology (Software)
PT Rekind Daya Mamuju,Construction / Building / Engineering
PT Rekreasindo Nusantara (Makassar),Entertainment/Media
PT REKSA ADHI ARTHA,Others
PT Reksa Finance,Banking/Financial Services
PT Reksa Honora Aditama,"Consulting (IT, Science, Engineering & Technical)"
PT Reksa Inti Edukasi Citra,Education
PT Reksa Rekatama,Agricultural/Plantation/Poultry/Fisheries
PT Rekso Nasional Food,Others
PT Rekso Nasional Food (McDonald's Indonesia),Food & Beverage/Catering/Restaurant
PT Rekuvindo Perdana,Heavy Industrial / Machinery / Equipment
PT Rel-ion Sterilization Services,Healthcare/Medical
PT Relasi Abadi,Consulting (Business & Management)
PT RELASI PERDANA INDONESIA,Computer/Information Technology (Software)
PT Relasimas Selaras,Education
PT Relax Living,Grooming/Beauty/Fitness
