Perusahaan,Sektor
PT Sama Jaya Lestari,Manufacturing/Production
PT Sama Putra Perkasa,Manufacturing/Production
PT Sama Satu Jalan,Food & Beverage/Catering/Restaurant
PT Samabe Artha Sukses,Consumer Products/FMCG
PT Samadya,"Consulting (IT, Science, Engineering & Technical)"
PT Samafitro,Retail / Merchandise
PT Samafitro,Manufacturing / Production
PT Samafitro (Bandung),Electrical & Electronics
PT Samafitro (Makassar),Printing/Publishing
PT Samafitro (Medan),Library/Museum
PT Samafitro (Semarang-Yogyakarta),Healthcare/Medical
PT Samafitro (Yogyakarta),Manufacturing / Production
PT Samagata Panen Sejahtera,Transportation/Logistics
PT SAMAGATA SATYA JAYA,Consumer Products/FMCG
PT Samakta Mitra,Property/Real Estate
PT Samamaju Prima,General & Wholesale Trading
PT Samando,Agricultural/Plantation/Poultry/Fisheries
PT Samanggala Wira Samitra,Construction/Building/Engineering
PT Samantha Sung Bali,Arts/Design/Fashion
PT Samartha Solusi Indonesia (jakarta),Heavy Industrial/Machinery/Equipment
PT Samas Nakerindo Sejahtera,Manufacturing / Production
PT Samata Liveaboard,Travel / Tourism
PT Samator Gas Industri (Semarang),Oil / Gas / Petroleum
PT Sambas Coffee Indonesia,Food & Beverage/Catering/Restaurant
PT Sambas Minerals Mining,Mining
PT Sambora Jaya Abadi,Hotel/Hospitality
PT Sambora Jaya Abadi (Office),Retail / Merchandise
PT Sambuja Lestari (Makassar),Retail / Merchandise
PT Samchem Prasandha,Chemical/Fertilizers/Pesticides
PT Samco Farma,Healthcare/Medical
PT Samco Indonesia,Oil/Gas/Petroleum
PT Samcomindo Sentosa,Electrical & Electronics
PT Samcon Indonesia (Purwakarta),Electrical & Electronics
PT Samcro Hyosung Adilestari,Textiles/Garment
PT Samekarindo Indah,Manufacturing/Production
PT Samekarindo Indah (Jakarta),Automobile / Automotive Ancillary / Vehicle
PT Sameko Teknindo,Construction/Building/Engineering
PT Samheung Indonesia,Manufacturing/Production
PT Sami Surya Indah Plastik Industri,Manufacturing / Production
PT Sami Surya Perkasa,Manufacturing / Production
PT Samick Indonesia,Manufacturing / Production
PT Samidi Udaya,Chemical / Fertilizers / Pesticides
PT Samie Sahari,Manufacturing/Production
PT Samihasa Kita,Manufacturing / Production
PT Samindo Electronics,Electrical & Electronics
PT SAMINDO JAYA SENTOSA,Heavy Industrial/Machinery/Equipment
PT Samindo Resources Tbk,Mining
PT SAMINDO TRIMITRA CHEMINDO,Chemical/Fertilizers/Pesticides
PT Samindo Utama Kaltim,Mining
PT Samirana Surya Semesta,General & Wholesale Trading
PT Samitra Gantari Prawara,Architectural Services/Interior Designing
PT Samjin Brothread Indonesia,Textiles/Garment
PT Samku Glove Indonesia,Manufacturing/Production
PT Sammara Anugerah Kasih ( Jakarta ),Human Resources Management/Consulting
PT Sammarie Medisentrum,Healthcare/Medical
PT Sammi Embroidery Indonesia,Textiles / Garment
PT Sammitr Motor Indonesia,Automobile/Automotive Ancillary/Vehicle
PT SAMN Satya Wijaya,General & Wholesale Trading
PT Samoto Mega Teknologi,Electrical & Electronics
PT Sampangan Dupan Estate,Manufacturing / Production
PT Sampoerna Agro Tbk,Agricultural/Plantation/Poultry/Fisheries
PT Sampoerna Agro Tbk,Agricultural/Plantation/Poultry/Fisheries
PT Sampoerna Agro Tbk (Jakarta),Agricultural / Plantation / Poultry / Fisheries
PT Sampoerna Erkon Pratama,General & Wholesale Trading
PT Sampoerna Land,Property/Real Estate
PT Sampoerna Strategic,Telecommunication
PT Sampoerna Telekomunikasi Indonesia,Telecommunication
PT Sampoerna Tritunggal Pratama,General & Wholesale Trading
PT Sampoerna Wirausaha,Banking/Financial Services
PT Sampono Alam Globalindo,Retail/Merchandise
PT Samsam Jaya Garments,Textiles/Garment
PT Samsung Electronics Indonesia,Electrical & Electronics
PT Samsung Electronics Indonesia ( Cikarang),Electrical & Electronics
PT Samsung Print & Pack Indonesia,Manufacturing/Production
PT Samsung SDS Global SCL Indonesia,Transportation/Logistics
PT Samtech Indonesia,Manufacturing/Production
PT Samudera Angkasa Express,Transportation / Logistics
PT Samudera Anugerah Sugih,Construction/Building/Engineering
PT Samudera Arfak,Retail/Merchandise
PT Samudera Atlantis Internasional,Construction/Building/Engineering
PT Samudera Banten Logistik,Transportation/Logistics
PT Samudera Berkah Adhiguna,Transportation/Logistics
PT Samudera Bersaudara,Automobile / Automotive Ancillary / Vehicle
,
PT Samudera Cemerlang,Transportation/Logistics
PT Samudera Dharma Kalingga,Manufacturing/Production
PT Samudera Energi Tangguh,Transportation/Logistics
PT Samudera Express Indonesia Logistik,Transportation/Logistics
PT Samudera Gemilang Plastindo,Heavy Industrial/Machinery/Equipment
PT Samudera Indonesia Tangguh,Transportation/Logistics
PT Samudera Indonesia Tbk,Transportation/Logistics
PT Samudera Industri ( Hilon ),Manufacturing/Production
PT Samudera Informasi Indonesia,Computer / Information Technology (Hardware)
PT Samudera Inovasi Persada,Others
PT SAMUDERA JAYA,General & Wholesale Trading
PT Samudera Jaya Cargo,Transportation/Logistics
PT SAMUDERA KARYA NIAGA,Transportation/Logistics
PT SAMUDERA LAUTAN LUAS - NVOCC INTERNATIONAL FREIGHT FORWARDERS,Transportation/Logistics
PT Samudera Megatama,Manufacturing / Production
PT Samudera Mulia Abadi,Mining
