Perusahaan,Sektor
PT Sarana Solusindo Prima,Computer / Information Technology (Software)
PT Sarana Steel,Manufacturing/Production
PT Sarana Steel,Manufacturing / Production
PT Sarana Steel Engineering,Construction/Building/Engineering
PT Sarana Sukses Bersama Trans,Transportation/Logistics
PT Sarana Surewa Sakti,Architectural Services/Interior Designing
PT Sarana Tani Indonesia Makmur,Agricultural/Plantation/Poultry/Fisheries
PT Sarana Tani Pratama,Agricultural / Plantation / Poultry / Fisheries
PT Sarana Tata Udara,Manufacturing/Production
PT Sarana Tehnik Abadi,General & Wholesale Trading
PT Sarana Teknik Industri,Heavy Industrial/Machinery/Equipment
PT Sarana Teknik Mandiri Abadi,Heavy Industrial/Machinery/Equipment
PT SARANA TEKNIK SEMARANG,Manufacturing / Production
PT Sarana Teknik Surabaya,Retail/Merchandise
PT Sarana Teknik Wiratama,Construction/Building/Engineering
PT SARANA TITAN MANUNGGAL,Chemical / Fertilizers / Pesticides
PT Sarana Tjipta Darma,Education
PT Sarana Trimitra Solusindo,General & Wholesale Trading
PT Sarana Tunggal Antar Relasi (STAR),Accounting/Audit/Tax Services
PT Sarana Usaha Sejahtera InsanPalapa (TelkoMedika),Healthcare/Medical
PT Sarana Utama Adimandiri,Electrical & Electronics
PT Sarana Utama Transindo,Transportation/Logistics
PT Sarana Webindo Netrada,Computer / Information Technology (Hardware)
PT Sarana Wira Pratiwi,Construction / Building / Engineering
PT Sarana Wirausaha,Hotel/Hospitality
PT Sarana Wisata Internusa,Hotel/Hospitality
PT Sarana Yukti Bandhana,Call Center/IT-Enabled Services/BPO
PT Saranabaja Perkasa,Construction/Building/Engineering
PT SaranaBaja Tatagraha,Construction/Building/Engineering
PT Saranacatur Indoputra,Construction/Building/Engineering
"PT SaranaCentral Bajatama, Tbk",Manufacturing / Production
PT Saranacitra Dutajaya,General & Wholesale Trading
PT Saranaduta Jasamedika,Healthcare / Medical
PT Saranaguna Makmurpersada,Heavy Industrial/Machinery/Equipment
PT SaranaInsan MudaSelaras (Jogja Medianet),Computer/Information Technology (Software)
Pt Saranamulia Ekaperkasa,General & Wholesale Trading
PT Sarananiaga Sejahtera,Property/Real Estate
PT Saranapratama Artamandiri,Hotel/Hospitality
PT Sarandi Cipta Energi,Electrical & Electronics
PT Sarandi Karya Nugraha,Manufacturing / Production
PT Sarang Mas,General & Wholesale Trading
PT Sarang Mas Sejahtera,Manufacturing / Production
PT SARANG TAWON SUKSES ABADI,Consumer Products/FMCG
PT Sarang Tehnik,Construction / Building / Engineering
PT Sarang Teknik Utama Indonesia,Electrical & Electronics
PT SaraRasa Biomass,Manufacturing / Production
PT Sararasa Biomass Surabaya,Manufacturing/Production
PT Saras Lestari Gemilang,Retail / Merchandise
PT Saras Unimas,Manufacturing / Production
PT Saraswanti Anugerah Makmur,Agricultural/Plantation/Poultry/Fisheries
PT Saraswanti Indo Genetech,Science & Technology
PT Saraswanti Indoland Development,Property / Real Estate
PT Saraswanti Manajemen Properti,Property / Real Estate
PT Saraswati Bali,Manufacturing / Production
PT Saraswati Bali / Saraswati Papers,Retail/Merchandise
PT Saraswati Coconut Product,Food & Beverage/Catering/Restaurant
PT Saraswati Griya Lestari,Hotel / Hospitality
PT Sarchemitra Niagaraya,General & Wholesale Trading
PT Sarel Sentra Inspira,Consulting (Business & Management)
PT Sarens Heavy Equipment Rental Indonesia,Construction/Building/Engineering
PT Sari Ampenan (Surabaya),Transportation/Logistics
PT Sari Asih (Rumah Sakit Sari Asih),Healthcare / Medical
PT Sari Ater,Hotel/Hospitality
PT Sari Ayu Indonesia (Yogyakarta),Grooming/Beauty/Fitness
PT Sari Barumas,Manufacturing/Production
PT Sari Bati Bali,Arts/Design/Fashion
PT Sari Baut Net,"Consulting (IT, Science, Engineering & Technical)"
PT Sari Bengawan Citra Rasa (Semarang),Accounting/Audit/Tax Services
PT Sari Bengawan Citra Rasa (Solo),Food & Beverage/Catering/Restaurant
PT Sari Buah Anggur,Retail / Merchandise
PT Sari Bumbu Indonesia,Food & Beverage/Catering/Restaurant
PT Sari Coffee Indonesia,Food & Beverage/Catering/Restaurant
PT Sari Daya Plasindo,Polymer/Plastic/Rubber/Tyres
PT Sari Dumai Sejati,Others
PT Sari Enesis Indah,Manufacturing/Production
PT Sari Enesis Indah,Manufacturing / Production
PT Sari Gumi Bali Tours [ Sari Tours ],Travel / Tourism
PT Sari Hidup Sehat,BioTechnology/Pharmaceutical/Clinical research
PT SARI ICE CREAM INDONESIA,Food & Beverage / Catering / Restaurant
PT Sari Indah Lestari,Property / Real Estate
PT Sari Jati Adhitama,Construction/Building/Engineering
PT Sari Kencana Melati,Others
PT Sari Kreasi Indonesia,Retail/Merchandise
PT Sari Kresna Kimia,Chemical/Fertilizers/Pesticides
PT Sari Makmur Tunggal Mandiri,Manufacturing/Production
PT Sari Manda,Manufacturing/Production
PT Sari Mas Permai,Manufacturing/Production
PT SARI MELATI SEJAHTERA,Food & Beverage/Catering/Restaurant
PT Sari Multi Utama,Retail/Merchandise
PT Sari Multi Utama,Consumer Products / FMCG
PT Sari Murni Abadi,Food & Beverage/Catering/Restaurant
PT Sari Nur,Manufacturing / Production
PT Sari Opal Nutrition,General & Wholesale Trading
PT Sari Pangan Sejahtrera,General & Wholesale Trading
PT Sari Pekayon Nusantara,Manufacturing / Production
PT Sari Pizza Indonesia,Food & Beverage / Catering / Restaurant
PT Sari Pizza Indonesia (Bali),Food & Beverage / Catering / Restaurant
PT Sari Prima Kuliner,Food & Beverage/Catering/Restaurant
PT Sari Puspita,Food & Beverage/Catering/Restaurant
PT Sari Rasa Jaya (monViet),Food & Beverage / Catering / Restaurant
