Perusahaan,Sektor
PT Satria Putra Persada,General & Wholesale Trading
PT Satria Rajawali Persada,Human Resources Management/Consulting
PT Satria Rama Mandiri,Human Resources Management / Consulting
PT Satria Sakti Perkasa,Manufacturing / Production
PT Satria Sakti Perkasa (Jakarta),Automobile/Automotive Ancillary/Vehicle
PT Satria Wangka Mandiri,General & Wholesale Trading
PT SATRIAGRAHA SEMPURNA,Manufacturing / Production
PT Satriakarya Adhiyuda (Makassar),Manufacturing/Production
PT Satriakarya Adiyudha,General & Wholesale Trading
PT Satriakarya Adiyudha (Cirebon),Construction/Building/Engineering
PT Satriakarya Adiyudha Cabang Surakarta,Manufacturing / Production
PT Satriaraya Makmur Lestari,Consumer Products / FMCG
PT SatriaWindu Seraya,Agricultural/Plantation/Poultry/Fisheries
PT Satrindo Mitra Utama,Agricultural / Plantation / Poultry / Fisheries
PT Satrio Energy Persada,Heavy Industrial/Machinery/Equipment
PT Satrio Propertindo Persada,Property/Real Estate
PT Satriya Ekatama Prasetiya,Manufacturing / Production
PT SATU ANUGERAH ALAM,General & Wholesale Trading
PT Satu Berlian (Diamond Metal Roof),General & Wholesale Trading
PT Satu Bola Gemilang,General & Wholesale Trading
PT Satu Bumi,Manufacturing/Production
PT SATU CINTA INDONESIA,Manufacturing/Production
PT Satu Cita Potensa,Textiles/Garment
PT Satu Ikat Lidi,General & Wholesale Trading
PT Satu Jam Investasi,Education
PT Satu Karya Anantara,Accounting/Audit/Tax Services
PT Satu Maju Makmur,Property/Real Estate
PT Satu Media Karya,Entertainment/Media
PT Satu Nol Tujuh,Others
PT Satu Nusantara Abadi,Transportation/Logistics
PT Satu Pintu,Advertising / Marketing / Promotion / PR
PT Satu Satu Dua Dua International,Advertising / Marketing / Promotion / PR
PT Satu Sepatu,Others
PT Satu Solusi Indotama,"Consulting (IT, Science, Engineering & Technical)"
PT Satu Sumber Sarana (Broadlink Communications),"Consulting (IT, Science, Engineering & Technical)"
PT Satu Tambah Satu,Property/Real Estate
PT Satu Tujuh Utama,Arts/Design/Fashion
PT Satu Visi Bersama,Property/Real Estate
PT Satu Wigola Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Satui Basin Gas,Oil/Gas/Petroleum
PT Satui Terminal Umum,Mining
PT Satuklik Informatika Nusantara,"Consulting (IT, Science, Engineering & Technical)"
PT Satunol Mikro Sistem,Telecommunication
PT Satwa Boga Sempurna,Agricultural/Plantation/Poultry/Fisheries
PT Satwa Jawa Jaya,Manufacturing/Production
PT Satwika Permai Indah (SPI),Property / Real Estate
PT Satya Abadi Pharma,BioTechnology/Pharmaceutical/Clinical research
PT SATYA AGRINDO PERKASA,Chemical/Fertilizers/Pesticides
PT Satya Cipta Sentosa,Heavy Industrial / Machinery / Equipment
PT SATYA DHARMA KARDIA,Healthcare/Medical
PT Satya Djaya Raya Trading,Retail/Merchandise
PT Satya Galang Kemika,"Consulting (IT, Science, Engineering & Technical)"
PT Satya Graha Mulia,Property / Real Estate
PT Satya Hardana Loka,General & Wholesale Trading
PT Satya Kharis Perkasa,Manufacturing / Production
PT Satya Kharis Perkasa Jakarta,Manufacturing/Production
PT Satya Langgeng Sentosa,Manufacturing/Production
PT Satya Mandiri Motors,Automobile/Automotive Ancillary/Vehicle
PT Satya Mandiri Motors ( Dealer Piaggio Vespa ),Automobile/Automotive Ancillary/Vehicle
PT Satya Megah Intektama,Construction/Building/Engineering
PT Satya Mitra Waspada,Security/Law Enforcement
PT Satya Parahyangan Resort,Hotel/Hospitality
PT Satya Putra Mandiri,Security/Law Enforcement
PT Satya Tama,Human Resources Management / Consulting
