Perusahaan,Sektor
PT Sejahtera Transindo Lestari,Others
PT Sejahtera Unggul Nusantara,Manufacturing/Production
PT Sejahtera Usaha Bersama (Playwood),Wood / Fibre / Paper
PT Sejahteramulia Langgeng Hutama,Travel/Tourism
PT Sejahteraraya Anugerahjaya TBK,Healthcare/Medical
PT Sejati Group,General & Wholesale Trading
PT Sejati Interlog,Computer / Information Technology (Software)
PT Sejati Wisatama Utama,Travel / Tourism
PT Sejin Global Indonesia,Textiles/Garment
PT Sejin Jaya Lestari,General & Wholesale Trading
PT Sejin Lestari Furniture,Manufacturing/Production
PT Sejong Bio Indonesia,General & Wholesale Trading
PT Sejuk Elektronik Com,Retail/Merchandise
PT Sejuta Jaring Global,"Consulting (IT, Science, Engineering & Technical)"
PT Sekaba Berjaya Propertindo,Computer/Information Technology (Software)
PT Sekaiichi Dwiputra Service,Repair & Maintenance Services
PT Sekar Ayu Sentosa,Manufacturing/Production
PT Sekar Bumi Tbk,Agricultural/Plantation/Poultry/Fisheries
PT Sekar Bumi Tbk,Manufacturing/Production
PT Sekar Jaya Mulia,Property/Real Estate
PT Sekar Karya Utama,Architectural Services/Interior Designing
PT Sekar Kedaton Nusantara,Construction / Building / Engineering
PT Sekar Kimia Warna,Chemical/Fertilizers/Pesticides
PT Sekar Laut Tbk,Consumer Products/FMCG
PT Sekar Lembayung,Retail/Merchandise
PT Sekar Pamenang,Property/Real Estate
PT Sekar Putih Mulia Mandiri,Consulting (Business & Management)
PT Sekar Wijaya,General & Wholesale Trading
PT Sekararum Multitata,Manufacturing/Production
PT Sekarbumi Alamlestari,Agricultural/Plantation/Poultry/Fisheries
PT Sekarguna Medika,Healthcare/Medical
PT Sekarguna Medika,Healthcare/Medical
PT Sekarsari Aryaduta (Agung Sedayu Group),Property/Real Estate
PT Sekasa Mitra Utama,Manufacturing / Production
PT SEKAWAN,Manufacturing/Production
PT Sekawan Abadi Elektrindo,Electrical & Electronics
PT Sekawan Abadi Jaya,Consumer Products/FMCG
