Perusahaan,Sektor
PT Sentra Prima Perkasa,Food & Beverage/Catering/Restaurant
PT Sentra Primaraga ( Planet Futsal ),Sports
PT Sentra Profeed Intermitra,Manufacturing/Production
PT Sentra Sinar Baru,Repair & Maintenance Services
PT Sentra Solusi Elektrindo,Electrical & Electronics
PT Sentra Solusi Informatika,Computer/Information Technology (Software)
PT Sentra Support Service (Jakarta),Human Resources Management/Consulting
PT Sentra Tama Mandiri,Advertising/Marketing/Promotion/PR
PT Sentra Tani Sejahtera,Chemical / Fertilizers / Pesticides
PT Sentra Tata Cahaya Persada,General & Wholesale Trading
PT Sentra Telekomindo Antariksa Raya,General & Wholesale Trading
PT Sentra Untung Investama,Banking/Financial Services
PT Sentra Usahatama Jaya,Manufacturing/Production
PT Sentra Vidya Utama,"Consulting (IT, Science, Engineering & Technical)"
PT SentraBumi Palapa Utama,Manufacturing/Production
PT Sentraco Garmindo,Retail / Merchandise
PT Sentraco Garmindo (Div Retail),Retail/Merchandise
PT SentraCom Multi Solusindo,Computer/Information Technology (Hardware)
PT Sentradata Mediatama,Human Resources Management / Consulting
PT Sentrajaya Utama (Sentra Design & Printing),Printing / Publishing
PT Sentrakom Indonusantara,Telecommunication
PT Sentral Akses Solusi,Computer/Information Technology (Hardware)
PT Sentral Bahana Ekatama,Manufacturing / Production
PT Sentral Baja Indonesia,Retail / Merchandise
PT Sentral Cargo,Transportation/Logistics
PT Sentral Fortisindo,General & Wholesale Trading
PT SENTRAL GLOBAL ENERGI,Oil/Gas/Petroleum
PT Sentral Grain Terminal,Manufacturing / Production
PT Sentral Inti Plasindo,Polymer/Plastic/Rubber/Tyres
PT Sentral Katiga,Heavy Industrial/Machinery/Equipment
PT Sentral Layanan Prima,Construction/Building/Engineering
PT Sentral Link Solutions (Artha Graha Group),"Consulting (IT, Science, Engineering & Technical)"
PT Sentral Maju Persada,Agricultural/Plantation/Poultry/Fisheries
PT Sentral Metal Mandiri,Advertising/Marketing/Promotion/PR
PT Sentral Mitra Informatika,Computer / Information Technology (Software)
PT Sentral Multi Kreasindo,Advertising / Marketing / Promotion / PR
PT Sentral Multikon Indi,Construction/Building/Engineering
PT Sentral Retailindo Dewata,Retail / Merchandise
PT Sentral Supel Perkasa,Construction/Building/Engineering
PT Sentral Teknik Surya,Heavy Industrial/Machinery/Equipment
PT Sentral Tekno Selaras,General & Wholesale Trading
PT Sentral Theta Mandiri,Retail / Merchandise
PT Sentral Total Dinamika,Computer / Information Technology (Hardware)
PT Sentral Tukang Indonesia,Retail/Merchandise
PT Sentral Tukang Indonesia,Retail/Merchandise
PT Sentralsari Primasentosa,Consumer Products / FMCG
PT Sentramas Bangun Makmurindo,Manufacturing/Production
PT Sentranusa Primakotama,Electrical & Electronics
