Perusahaan,Sektor
PT Setya Kuliner Mandiri,Food & Beverage/Catering/Restaurant
PT Setya Utomo Karton,Manufacturing / Production
PT Setyanda Duta Makmur,Food & Beverage/Catering/Restaurant
PT Setyawan Mahakarya Prima,Others
PT Sevana Distribution,Healthcare/Medical
PT Seven Rivers,Construction / Building / Engineering
PT Seven Seas Logistics,Transportation/Logistics
PT Seven Sunday Films,Others
PT Seven Surabaya Jaya,Manufacturing / Production
PT Seventh Day Adventist Food,Food & Beverage / Catering / Restaurant
PT Sevho Technology (WD Engineering),Utilities/Power
PT Sewu Segar Nusantara (Sidoarjo),Food & Beverage / Catering / Restaurant
PT Sewu Segar Nusantara Cabang Balikpapan,General & Wholesale Trading
PT Sewu Segar Nusantara Cabang Semarang,Agricultural / Plantation / Poultry / Fisheries
PT Sewu Segar Primatama (Re.juve),Retail/Merchandise
PT Seyangtech Global Indonesia,Manufacturing / Production
PT Seyoung Industry,Textiles/Garment
PT SFF International,Food & Beverage / Catering / Restaurant
PT SGMW Motor Indonesia,Manufacturing/Production
PT SGS Indonesia,Consulting (Business & Management)
PT SGS Indonesia,Consulting (Business & Management)
PT SH Garment,Textiles/Garment
PT Shaan Niaga Indonesia,Manufacturing / Production
PT Shaanxi Energy Resources,Mining
PT Shaanxi Youser Indonesia,Manufacturing/Production
PT Shabu Shabu House,Food & Beverage/Catering/Restaurant
PT Shachia International Indonesia,Accounting/Audit/Tax Services
PT Shada Incoporindo,Consumer Products / FMCG
PT Shafco Multi Trading,Arts / Design / Fashion
PT Shafira Laras Persada,Retail/Merchandise
PT Shafira Laras Persada Balikpapan,Arts / Design / Fashion
PT Shaftco Infrastructure,Heavy Industrial/Machinery/Equipment
PT Shaftindo Energi,Construction/Building/Engineering
PT shahnaz Swa Mandiri,General & Wholesale Trading
PT Shakania Sejahtera,Human Resources Management / Consulting
PT Shakehand Stores Indonesia,Retail / Merchandise
PT Shaklee Indonesia,Property / Real Estate
PT Shamaya,Food & Beverage / Catering / Restaurant
PT Shan Informasi Sistem (SISCOM),Computer/Information Technology (Software)
PT Shanghai Building Material,General & Wholesale Trading
PT Shanghai Electric Power Construction Jakarta,Construction/Building/Engineering
PT Shanghai Shibang Machinery,Heavy Industrial/Machinery/Equipment
PT Shangli Jaya Abadi,Manufacturing/Production
PT Shangrila Sango,Hotel/Hospitality
PT Shannand Agung Bali,Construction/Building/Engineering
PT Shanti Sehat Sentosa,Healthcare/Medical
PT Shanty Wiraperkasa,Construction/Building/Engineering
PT Shanxi Deshengkun Mining,Mining
PT Shape Indonesia,Healthcare / Medical
PT Shape-Up Indonesia,Healthcare/Medical
PT Share uang cepat,Others
PT ShareInvestor Technologies Indonesia,Computer/Information Technology (Software)
PT Sharespot,Food & Beverage / Catering / Restaurant
PT SHARK CARCARE INDONESIA,Automobile / Automotive Ancillary / Vehicle
PT Shark Links,General & Wholesale Trading
PT Shark Surya Distribution,Manufacturing / Production
PT Sharp Electronics Indonesia,Electrical & Electronics
PT Sharp Semiconductor Indonesia,Semiconductor/Wafer Fabrication
PT Sharprindo Dinamika Prima,Manufacturing/Production
PT Shasta Adhijaya,Electrical & Electronics
PT SHCP Indonesia,Manufacturing/Production
PT SHCP Indonesia (Jakarta),Others
PT Sheffield Offshore Service,Oil/Gas/Petroleum
PT Shei Tai Industrial,Automobile / Automotive Ancillary / Vehicle
PT Sheils Flynn Asia,Architectural Services / Interior Designing
PT Sheira Semesta Cemerlang (Philippine Airlines),Aerospace / Aviation / Airline
PT Sheiwa Inti Mitra Abadi (Shima),General & Wholesale Trading
PT Shell Indonesia,Oil/Gas/Petroleum
PT Shellindo Jaya,Oil / Gas / Petroleum
PT Shelter Nusa Indah,Human Resources Management / Consulting
PT Shelter Nusantara,Human Resources Management / Consulting
PT Shen Makmur Sentosa,Transportation/Logistics
PT Sheng Chiao,Manufacturing/Production
PT Shenglu Zanmei International,Consumer Products/FMCG
PT Shenhua Guohua Lion Power Indonesia,Utilities/Power
PT Shenwu Indonesia,Construction / Building / Engineering
PT Shenyang Yuanda Aluminium Industry Engineering,Construction/Building/Engineering
PT Sherish Cipta Interindo,Architectural Services/Interior Designing
PT Sherpa Putra Surya,General & Wholesale Trading
PT Shey Cipta Indonesia,Manufacturing/Production
PT Shey Distribusi Indonesia,General & Wholesale Trading
PT SHGW Bio Tea Indonesia,Agricultural/Plantation/Poultry/Fisheries
PT Shia Bersaudara,Healthcare / Medical
PT Shibataya Engineering,"Consulting (IT, Science, Engineering & Technical)"
PT Shibaura Indonesia Batam,Manufacturing/Production
PT Shibaura Shearing Indonesia,Heavy Industrial/Machinery/Equipment
PT Shide Lestari Indonesia,Manufacturing/Production
PT Shield On Service ( Semarang ),Human Resources Management / Consulting
PT Shield On Service (Bali),Human Resources Management / Consulting
PT Shield On Service (Medan),Human Resources Management / Consulting
PT Shield On Service Batam,Human Resources Management / Consulting
PT Shields Security Solution,Others
PT Shields Security Solution,Security/Law Enforcement
PT Shift International,Arts / Design / Fashion
PT Shihlindo Elektrik,Others
PT Shima Kreasi Mandiri,Manufacturing/Production
PT Shima Prima Utama,Healthcare / Medical
PT Shima Trading Indonesia,Oil / Gas / Petroleum
PT Shimano Batam,Manufacturing/Production
PT Shimizu bangun cipta kontraktor indonesia,Others
