Perusahaan,Sektor
PT Sinar Continental,Manufacturing/Production
PT Sinar Dasan Lestari,Manufacturing/Production
PT Sinar Deli,Mining
PT Sinar Djaja Can,Manufacturing/Production
PT Sinar Dua Pelangi,General & Wholesale Trading
pt sinar dunia ptama,Retail/Merchandise
PT Sinar Eka Kreasi,Grooming / Beauty / Fitness
PT Sinar Elang Sakti Mas,Consumer Products/FMCG
PT Sinar Elektra Mekatama,Electrical & Electronics
PT Sinar Elektrindo Perkasa,Electrical & Electronics
PT Sinar Elektronika SEB,Consumer Products / FMCG
PT Sinar Elok Abadi,Computer/Information Technology (Software)
PT Sinar Eltrindomas Perkasa,Electrical & Electronics
PT Sinar Emas Gemilang,General & Wholesale Trading
PT Sinar Energi Internusa,Construction/Building/Engineering
PT Sinar Energi Mentari Tatadjaya,Electrical & Electronics
PT Sinar Epoxindo Sejati,General & Wholesale Trading
PT Sinar Eterna,Construction / Building / Engineering
PT Sinar Expo Prima,Exhibitions/Event management/MICE
PT Sinar Fajar Plastic,Others
PT Sinar Fokus Olah Indonesia,Retail/Merchandise
PT Sinar Gading Sakti,General & Wholesale Trading
PT Sinar Galesong Pratama Cabang Manado,Automobile / Automotive Ancillary / Vehicle
PT Sinar Garuda Makmurindo,Manufacturing / Production
PT Sinar Garuda Sejahtera,Consumer Products/FMCG
PT Sinar Gaya Busana,Textiles/Garment
PT Sinar Geliga Bestari,Property/Real Estate
PT Sinar Geliga Bestari (Batam),Property/Real Estate
PT Sinar Generasi Lestari,General & Wholesale Trading
PT Sinar Global Indonesia,Construction / Building / Engineering
Pt sinar global mas,Property/Real Estate
PT Sinar Global Mulia,Textiles/Garment
PT Sinar Global Perkasa,"Consulting (IT, Science, Engineering & Technical)"
PT Sinar Global Solusindo (Pluit),"Consulting (IT, Science, Engineering & Technical)"
PT Sinar Globalindo Sakti (Executive Search),Human Resources Management/Consulting
PT Sinar Gowa Industri,Manufacturing / Production
PT Sinar Grafindo,Manufacturing / Production
PT Sinar Graha Indotama,Property / Real Estate
PT Sinar Group Indocemerlang,Manufacturing / Production
PT Sinar Gunung Sawit Raya,Manufacturing/Production
PT Sinar Handphone,Electrical & Electronics
PT Sinar Harapan Abadi,Food & Beverage/Catering/Restaurant
PT Sinar Harapan Bajamandiri,Manufacturing/Production
PT Sinar Harapan Bersatu,Consumer Products/FMCG
PT Sinar Harapan Persada,Entertainment/Media
PT Sinar Herba,BioTechnology/Pharmaceutical/Clinical research
PT Sinar Himalaya,Consumer Products/FMCG
PT Sinar Hoperindo,Manufacturing / Production
PT Sinar Indah Jaya Abadi,Construction / Building / Engineering
PT Sinar Indah Makmur,General & Wholesale Trading
PT Sinar Indochem,Manufacturing/Production
PT Sinar Intermark (Malang),Transportation / Logistics
PT Sinar Intermark Balikpapan,Transportation / Logistics
PT Sinar Inti Electrindo Raya,Electrical & Electronics
PT Sinar Inti Indopratama,Manufacturing/Production
PT Sinar Inti Indopratama,Manufacturing/Production
PT Sinar Inti Mustika,Agricultural/Plantation/Poultry/Fisheries
PT Sinar Inti Mustika,General & Wholesale Trading
PT Sinar Inti Panel,Manufacturing/Production
PT Sinar Inti Pangan,Others
PT Sinar Inti Persada,Electrical & Electronics
PT Sinar Jakarta Print,Printing/Publishing
PT Sinar Jatimitra,Transportation/Logistics
PT Sinar Jatimulia Gemilang,Manufacturing/Production
PT SINAR JAYA BAJASAKTI,General & Wholesale Trading
PT Sinar Jaya Cemerlang,Others
PT Sinar Jaya Komunika,Retail/Merchandise
PT Sinar Jaya Mandiri,General & Wholesale Trading
PT Sinar Jaya Nugraha Putra,Transportation/Logistics
PT SINAR JAYA PRATAMA SEJATI,General & Wholesale Trading
PT Sinar Jaya Prima Langgeng,Automobile / Automotive Ancillary / Vehicle
PT Sinar Jaya RimbawanAsri,Manufacturing/Production
PT Sinar Jaya Wijaya,Wood/Fibre/Paper
PT Sinar Jelita Meubel,Retail/Merchandise
PT Sinar Jernih Sarana,Consulting (Business & Management)
PT Sinar Jernih Sarana Facility Service,Others
PT Sinar Jernih Suksesindo,Consulting (Business & Management)
PT Sinar Kapuas Pratama,R&D
PT Sinar Kapuas Sejahtera,General & Wholesale Trading
PT Sinar Kediri Sakti,Polymer / Plastic / Rubber / Tyres
PT Sinar Kencana Agung,Consumer Products/FMCG
PT Sinar Kencana Elektrik,Electrical & Electronics
PT Sinar Kencana Makmurjaya,Manufacturing / Production
PT Sinar Khandaga Lestari,General & Wholesale Trading
PT Sinar Kimia Utama,Chemical/Fertilizers/Pesticides
PT Sinar Konstruksi Indonesia,Construction / Building / Engineering
PT Sinar Kota (Semarang),Electrical & Electronics
PT Sinar Kota Jaya,Retail/Merchandise
PT Sinar Kreasi Jaya,Entertainment/Media
PT Sinar Kreasindo,Computer/Information Technology (Software)
PT Sinar Kreatif Texmoda Indonesia,Textiles/Garment
PT Sinar Kuantum Sejahtera,Consulting (Business & Management)
PT Sinar Kuarsa Utama,General & Wholesale Trading
PT Sinar Kurnia Alam,Mining
PT Sinar Kurnia Jaya,Textiles/Garment
PT Sinar Laut Mandiri,Manufacturing/Production
PT Sinar Lestari Maju Granitindo,Construction/Building/Engineering
PT Sinar Lestari Pramesti,Construction / Building / Engineering
PT Sinar Lestari Ultrindo,Retail/Merchandise
PT Sinar Maju Agung,Transportation/Logistics
