Perusahaan,Sektor
PT Soppos Sinar Global,Retail/Merchandise
PT Sorak Gemilang Persada,Entertainment/Media
PT Soraton Jaya Indonesia,Electrical & Electronics
PT Soraton Jaya Indonesia Cabang (Surabaya),Advertising / Marketing / Promotion / PR
PT Soraya Intercine Films,Entertainment/Media
PT Soraya Interindo,Heavy Industrial/Machinery/Equipment
PT Sorik Marapi Geothermal Power,Oil/Gas/Petroleum
PT Sorikmas Mining,Mining
PT Sorikmas Mining(Medan),Manufacturing / Production
PT Sorin Maharasa,Manufacturing/Production
PT Sorini Agro Asia Corporindo Tbk,Manufacturing / Production
PT Sorini Agro Asia Corporindo Tbk,Agricultural / Plantation / Poultry / Fisheries
PT SOS Indonesia,Consulting (Business & Management)
PT SOS Indonesia,Banking / Financial Services
PT SOS Indonesia Semarang,Human Resources Management / Consulting
PT SOS Sahabat Medika,Healthcare/Medical
PT Sosial Kosmetik Internasional,Retail/Merchandise
PT Sosial Media Teknologi,"Consulting (IT, Science, Engineering & Technical)"
PT Sot Indo Sourcing,Textiles/Garment
PT Soulshine,Accounting/Audit/Tax Services
PT Soundlab Indonesia,Electrical & Electronics
PT Source Profit Lead,General & Wholesale Trading
PT South Beach Hotel,Hotel / Hospitality
PT South East Asia Business,Consulting (Business & Management)
PT South East Asia Pipe Industries (Bakrie-SEAPI),Manufacturing/Production
PT South East Java,Agricultural/Plantation/Poultry/Fisheries
PT South East Java (Jakarta),Agricultural/Plantation/Poultry/Fisheries
PT South Pacific,Wood/Fibre/Paper
PT South Pacific Divisi Serbuk,Others
PT South Pacific Viscose,Chemical/Fertilizers/Pesticides
PT South Sulawesi LNG,Oil / Gas / Petroleum
PT Southeast Consulting Indonesia,Consulting (Business & Management)
PT Southern Chemicals & Engineering,Environment/Health/Safety
PT Southern Indonesia,Heavy Industrial/Machinery/Equipment
PT Southern Tristar,Manufacturing/Production
PT Sowa Construction Indo,Construction / Building / Engineering
PT Sowantodi Group,Healthcare/Medical
PT Sowin Bersama,Retail / Merchandise
PT Sowohi Kentiti Jaya (Surabaya),Transportation / Logistics
PT Soxal Batamindo Industrial Gases,Oil / Gas / Petroleum
PT Spa Sukses Pratama,Healthcare / Medical
PT SPAA MEDIKA,Healthcare/Medical
PT Space Design Interior,Arts / Design / Fashion
PT Space Indonesia,Manufacturing / Production
PT Space Technology,General & Wholesale Trading
PT SPACElogic International Indonesia,Computer/Information Technology (Software)
PT Spade Putra Perkasa,Travel / Tourism
PT Spanbetondek Admara,Manufacturing/Production
PT SpanSet Indonesia,Manufacturing/Production
PT Sparindo Alfa Persada,Heavy Industrial/Machinery/Equipment
PT Sparindo Food,Manufacturing/Production
PT Sparindo Mustika,Consumer Products/FMCG
PT Sparrows Offshore,Oil / Gas / Petroleum
PT Sparta Guna Sentosa,Heavy Industrial/Machinery/Equipment
PT Sparta Surya Prima,Manufacturing/Production
PT Sparta Tridaya Sakti,Accounting/Audit/Tax Services
PT Spartan Blue,Wood / Fibre / Paper
PT Spartan Eragon Asia,Human Resources Management/Consulting
PT Spartawood Product,Construction / Building / Engineering
PT Spasi Indonesia,Computer/Information Technology (Software)
PT Spavista,Transportation/Logistics
PT Spavista,Retail / Merchandise
PT Spazee Teknologi Indonesia,Food & Beverage/Catering/Restaurant
PT SPC Mobile,Electrical & Electronics
PT Specchio Edudimensi,Exhibitions / Event management / MICE
PT Specta Education,Education
PT Specta Indonesia Gemilang,Retail / Merchandise
PT Spectra Kreasi Dinamika,Consumer Products/FMCG
PT Spectra Media Persada,General & Wholesale Trading
PT Spectra Mitra Berkembang,Electrical & Electronics
PT Spectra Performa (Peak  Executive),Consulting (Business & Management)
PT Spectra Utama Makmur,General & Wholesale Trading
PT Spectrum,General & Wholesale Trading
PT Spectrum Fileforce,Heavy Industrial/Machinery/Equipment
PT Spectrum Grafika Indonesia,Architectural Services / Interior Designing
PT Spectrum Integra,General & Wholesale Trading
PT Spectrum Konsultan,Consulting (Business & Management)
PT Spectrum Unicipta (Bandung),General & Wholesale Trading
PT Spectrum Unicipta (Medan),Manufacturing/Production
PT Spectrum Unicipta (Surabaya),Manufacturing/Production
PT Speed Digital Banner,Advertising/Marketing/Promotion/PR
PT Speed Digital Banner (Jakarta),Printing/Publishing
PT Speedmark Transportation Indonesia,Transportation / Logistics
PT Speedsoft,Entertainment / Media
PT Speedy Jaya Perkasa,Telecommunication
PT Speedz Performance,Heavy Industrial/Machinery/Equipment
PT Spekta Properti Indonesia,Property / Real Estate
PT Spektra Megah Semesta,Manufacturing / Production
PT Spektra Megah Semesta (Head Office),"Consulting (IT, Science, Engineering & Technical)"
PT Spektra Mitra Infotek,Manufacturing / Production
PT Spektra Solusindo,Repair & Maintenance Services
PT Spektra Utama Makmur,Heavy Industrial / Machinery / Equipment
PT Spektrakrom Indonesia,Chemical / Fertilizers / Pesticides
PT Spektris Metalab,General & Wholesale Trading
PT Spektrum Cahaya Nebula (Socialights Indonesia),Advertising/Marketing/Promotion/PR
PT Spektrum Duta Plaza,Advertising / Marketing / Promotion / PR
PT Spektrum Kreasi Pratama,Healthcare / Medical
PT Spektrum Krisindo Elektrika,Retail / Merchandise
PT Spektrum Krisindo Elektrika,Electrical & Electronics
PT Spektrum Prima Mandiri,Human Resources Management / Consulting
