Perusahaan,Sektor
PT Supreme Fajar Development,Construction / Building / Engineering
PT Supreme Ginseng,Healthcare / Medical
PT Supreme Nusapermai Development,Property / Real Estate
PT Supremie Pancamakmur Abadi,General & Wholesale Trading
PT Suprima Mitra Adihusada,Healthcare/Medical
PT Suprindo Duta Marga Sejati,Heavy Industrial/Machinery/Equipment
PT Supro Indonesia Amin,Computer/Information Technology (Software)
PT Suputra Harapan utama,General & Wholesale Trading
PT Sura Anantaka Atelier,Manufacturing/Production
PT Surabaya Agung Industri Pulp & Kertas Tbk,Manufacturing / Production
PT Surabaya Autocomp Indonesia,Manufacturing / Production
PT Surabaya Cancer Center,Healthcare/Medical
PT Surabaya Cancer Centre,Healthcare/Medical
PT Surabaya Cemerlang Abadi,Manufacturing/Production
PT Surabaya Childrens Academy,Education
PT Surabaya Egamekinka Pratama,Electrical & Electronics
PT Surabaya Excellence Action,General & Wholesale Trading
PT Surabaya Express,Transportation/Logistics
PT Surabaya Indah Permai,Manufacturing/Production
PT Surabaya Industrial Estate Rungkut (Persero),Property/Real Estate
PT Surabaya Jasa Medika (National Hospital),Healthcare/Medical
PT Surabaya Konsultan Indonesia,Consulting (Business & Management)
PT Surabaya Land,Property / Real Estate
PT Surabaya Mediatama,General & Wholesale Trading
PT Surabaya Mekabox,Manufacturing/Production
PT Surabaya Panel Lestari,Manufacturing / Production
PT Surabaya Patata Berkah Bersama,Food & Beverage/Catering/Restaurant
PT Surabaya Polyurethane Industry,Polymer/Plastic/Rubber/Tyres
PT Surabaya Top,Consumer Products / FMCG
PT Suracojaya Abadimotor (Makassar),Automobile/Automotive Ancillary/Vehicle
PT Surakarta Sentosa Sejahtera,Manufacturing / Production
PT Suraloka Digital Kreatif,"Consulting (IT, Science, Engineering & Technical)"
PT Surapita Prasidha,Others
PT Surapita Unitrans,Automobile/Automotive Ancillary/Vehicle
PT Suratech International Machinery,Heavy Industrial / Machinery / Equipment
PT Sure Indonesia,Education
PT Sure Marketing Company,Advertising / Marketing / Promotion / PR
PT Sure Systems,Heavy Industrial / Machinery / Equipment
PT Surepassindo,Property/Real Estate
PT SURFER GIRL INDONESIA,Retail/Merchandise
PT SurfGold Indonesia,Consulting (Business & Management)
PT Surga Bali Mandiri (Bali),Retail/Merchandise
PT Surga Mobil Indonesia,Automobile/Automotive Ancillary/Vehicle
PT Surganya Motor Indonesia (Planet Ban),Retail/Merchandise
PT Surganya Motor Indonesia (PLANET BAN),General & Wholesale Trading
PT Surgika Alkesindo,Healthcare/Medical
PT SURGIKA ALKESINDO (MEDAN),Healthcare / Medical
PT Suri Tani Pemuka,Marine/Aquaculture
PT Suria Jaya Abadi (surabaya),General & Wholesale Trading
PT Suria Mas Cocosindo,General & Wholesale Trading
PT Suria Solusi Indonesia,Retail / Merchandise
PT Suriatama,Retail/Merchandise
PT Suriatama Mitra Perwita (Pekanbaru),Retail/Merchandise
Pt Surindo Andalan,Aerospace/Aviation/Airline
PT Surindo Teguh Gemilang,Heavy Industrial / Machinery / Equipment
PT Suritama Conforindo,Manufacturing / Production
PT Surpree Indonesia,Travel / Tourism
PT Surrama Tridaya Mandiri,Retail/Merchandise
PT Surtech Prima,Construction/Building/Engineering
PT Survey Prima Solusi Statindo (SPSS Indonesia),"Consulting (IT, Science, Engineering & Technical)"
PT Surveyor Carbon Consulting Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Surveyor Indonesia,Consulting (Business & Management)
PT Surveyor Indonesia (Medan),R&D
PT Surveyor Indonesia (Persero),Others
PT Surveyor Indonesia (Persero) Cabang Pontianak,"Consulting (IT, Science, Engineering & Technical)"
PT Surveyor Indonesia (Semarang),Consulting (Business & Management)
PT Surveyor Indonesia Cabang Jakarta,Consulting (Business & Management)
PT Surveyor Indonesia Surabaya,Construction/Building/Engineering
PT Surveyor Indonesia Unit Bisnis Infrastruktur,Construction/Building/Engineering
PT Surya Abadi International,General & Wholesale Trading
PT Surya Abadi Isolasi,General & Wholesale Trading
PT Surya Abadi Konsultan,Consulting (Business & Management)
PT Surya Abadi Konsultan (Jakarta),"Consulting (IT, Science, Engineering & Technical)"
PT Surya Abadi Permai,Hotel/Hospitality
PT Surya Abadi Sakti,General & Wholesale Trading
PT Surya Abadi Sukses Sejahtera,Consulting (Business & Management)
PT Surya Adhitia Fortuna Glass,Manufacturing / Production
PT Surya Agung Tehnik Utama,Heavy Industrial/Machinery/Equipment
PT Surya Aji Pratama,Property/Real Estate
PT Surya Alam Energi,Manufacturing/Production
PT Surya Alam Jaya,General & Wholesale Trading
PT Surya Alam Sakti,Consulting (Business & Management)
PT Surya Alam Tunggal,Agricultural/Plantation/Poultry/Fisheries
PT Surya Arjuna Pasifik,Manufacturing / Production
PT Surya Artajaya,Consulting (Business & Management)
PT Surya Artha Komputama,Computer/Information Technology (Hardware)
PT Surya Artha Nusantara Finance (SANF)-Member of Astra Financial Services,Banking/Financial Services
PT Surya Aviesta,General & Wholesale Trading
PT Surya Baja Mandiri,General & Wholesale Trading
PT Surya Baja Sentral Anugerah,Manufacturing/Production
PT Surya Bangun Gemilang,Retail/Merchandise
PT Surya Bangun Indah,Property/Real Estate
PT Surya Bangun Persada Indah,Construction / Building / Engineering
PT Surya Banten Nusantara,Heavy Industrial / Machinery / Equipment
PT Surya Bayu Sakti,Hotel / Hospitality
PT Surya Besindo Sakti,Manufacturing / Production
PT Surya Buana Sentosa,Transportation/Logistics
PT Surya Buana Sentosa (Makassar),Transportation/Logistics
PT Surya Bumi Permata,Manufacturing/Production
PT Surya Cahaya Mandiri,Human Resources Management/Consulting
