Perusahaan,Sektor
PT Surya Cahaya Prima,General & Wholesale Trading
PT Surya Cakra Mandiri,Manufacturing/Production
PT Surya Cemerlang Lestari,Construction/Building/Engineering
PT Surya Cempaka Mulya,Travel / Tourism
PT Surya Chandra Kusuma Internasional,Accounting/Audit/Tax Services
PT Surya Chandra Lestari,Retail / Merchandise
PT Surya Cinta Bahasa,Education
PT Surya Cipta  Estetika,Grooming/Beauty/Fitness
PT Surya Cipta Bahasa,Education
PT Surya Cipta Cemerlang,Advertising/Marketing/Promotion/PR
PT Surya Cipta Griya Utama,Property/Real Estate
PT Surya Cipta Indah,Grooming/Beauty/Fitness
PT Surya Cipta Komindo,Telecommunication
PT Surya Cipta Sinergi,Oil / Gas / Petroleum
PT Surya Citra Khatulistiwa,Exhibitions/Event management/MICE
PT Surya Citra Multimedia,Telecommunication
PT Surya Citra Raya,Electrical & Electronics
PT Surya Citra Riau,Mining
PT Surya Citra Semesta (SCS Group),Food & Beverage/Catering/Restaurant
PT Surya Citra Teknologi,General & Wholesale Trading
PT Surya Citra Televisi  ( SCTV ),Entertainment/Media
PT Surya Coco Jaya,Property / Real Estate
PT Surya Dananjaya,Human Resources Management / Consulting
PT Surya Darma Perkasa,Automobile/Automotive Ancillary/Vehicle
PT Surya Data Infokreasi,"Consulting (IT, Science, Engineering & Technical)"
PT SURYA DAVE PLASTEC,Agricultural / Plantation / Poultry / Fisheries
PT Surya David Susanto,Construction/Building/Engineering
PT Surya Dermato Medica Lab,BioTechnology/Pharmaceutical/Clinical research
PT Surya Dermato Medica Labs,Healthcare/Medical
PT Surya Dewata Abadi Citra Rasa (Bali),Food & Beverage / Catering / Restaurant
PT Surya Donasin,General & Wholesale Trading
PT Surya Dwi Inti,Property/Real Estate
PT Surya Eden Utama,Property/Real Estate
PT Surya Electra,Retail / Merchandise
PT Surya Electra (Depok),Retail / Merchandise
PT Surya Esa Perkasa Tbk,Oil/Gas/Petroleum
PT Surya Esa Perkasa Tbk (Palembang),Oil/Gas/Petroleum
PT Surya Gardena Propertindo,Property/Real Estate
PT Surya Gemilang,Transportation/Logistics
PT Surya Gemilang Keramik,General & Wholesale Trading
PT Surya Gemilang Perkasa,Manufacturing / Production
PT Surya Gemilang Terang,Hotel/Hospitality
PT Surya Genta Perkasa,Telecommunication
PT Surya Globalical,Manufacturing / Production
PT Surya Graha Dekoratama,Manufacturing/Production
PT Surya Harapan Kencana Mandiri,Manufacturing/Production
PT Surya Husadha,Healthcare / Medical
PT Surya Indah Sejahtera,Manufacturing / Production
PT SURYA INDO JAYA,Manufacturing/Production
PT Surya Indo Plastic,Manufacturing/Production
PT Surya Indoalgas,BioTechnology/Pharmaceutical/Clinical research
PT Surya Indometal Semesta,Manufacturing/Production
PT Surya Indotim Imex,Oil/Gas/Petroleum
PT Surya Infotech,"Consulting (IT, Science, Engineering & Technical)"
PT Surya Instilla Pharmasindo,Healthcare / Medical
PT Surya Intermed,Healthcare / Medical
PT Surya Inti Paperindo,Retail/Merchandise
PT Surya Inti Pesona,Retail/Merchandise
PT Surya Istana Cahaya Abadi,Property/Real Estate
PT Surya Jala Talenta,Education
PT Surya Jalur Anugerah,Mining
PT Surya Jawara Eco,Manufacturing/Production
PT Surya Jaya Energy,Electrical & Electronics
PT Surya Jaya Global,Travel / Tourism
PT Surya Jaya Industri,Manufacturing / Production
PT Surya Jaya Lestari,Healthcare/Medical
PT Surya Jaya Teknik,Computer / Information Technology (Hardware)
PT Surya Kalimantan Sejati,Mining
PT Surya Karang Indah,General & Wholesale Trading
PT Surya Karindo Gemilang,General & Wholesale Trading
PT Surya Karman Kencana,Accounting/Audit/Tax Services
PT Surya Karunia Jaya,Automobile/Automotive Ancillary/Vehicle
PT Surya Karya Mandiri Sentosa,BioTechnology/Pharmaceutical/Clinical research
PT Surya Karyamitra Abadi,Hotel/Hospitality
PT Surya Kejayan Jaya Farma,Healthcare/Medical
PT Surya Kembar,Construction / Building / Engineering
PT Surya Kencana Multi Perkasa,Construction/Building/Engineering
PT Surya Kerang Emas Lestari,Oil / Gas / Petroleum
PT Surya Kirana Prospera,General & Wholesale Trading
PT Surya Kreasi Pratama,Advertising / Marketing / Promotion / PR
PT Surya Kreatif Kreasindo Utama,Others
PT Surya Kuliner Indonesia,Food & Beverage/Catering/Restaurant
PT Surya Kwon Sung,General & Wholesale Trading
PT Surya Lancar Makmur,General & Wholesale Trading
PT Surya Langkah Utama,Manufacturing / Production
PT Surya Lantar Asanka,Food & Beverage/Catering/Restaurant
PT Surya Lautan Semesta,Transportation/Logistics
PT Surya Lestari Gemilang,General & Wholesale Trading
PT SURYA LESTARI GEMILANG ( TGR),General & Wholesale Trading
PT Surya Lintas Nusantara,Consumer Products/FMCG
PT Surya Lintas Pasifik,Marine/Aquaculture
PT Surya Logam Universal,Construction/Building/Engineering
PT Surya Madistrindo (Bali),General & Wholesale Trading
PT Surya Madistrindo (Bogor),Retail / Merchandise
PT Surya Madistrindo (Pontianak),Manufacturing / Production
PT Surya Madistrindo (Reg Sumatera Bag Tengah),Manufacturing / Production
PT Surya Madistrindo Yogyakarta,Retail / Merchandise
PT Surya Makmur,General & Wholesale Trading
PT Surya Makmur Kencana,General & Wholesale Trading
PT Surya Mandiri  Sempurna,Manufacturing/Production
