Perusahaan,Sektor
PT Terang Parts Indonesia,General & Wholesale Trading
PT Terang Wijaja Kusuma,Property / Real Estate
PT Teraoka Seisakusho Indonesia,Manufacturing/Production
PT Teras Adhi Karisma,Manufacturing / Production
PT Teras Nirwana Bali,Property/Real Estate
PT Teras Perjanjian Digital,Law/Legal
PT Teras Putih,Food & Beverage / Catering / Restaurant
PT Teratai Indah Sentosa,Travel / Tourism
PT Teratai Mas Samudera,Transportation/Logistics
PT Teratai Widjaja,Textiles / Garment
PT Teratas Mugi Artha,Exhibitions / Event management / MICE
PT Teravin Technovations,Computer/Information Technology (Software)
PT Teravisindo Sukses,Electrical & Electronics
PT Terbit Financial Technology,Computer/Information Technology (Hardware)
PT Terminal Bangunan Gian Nusantara,Retail/Merchandise
PT Terminal Batubara Indah,Mining
PT Terminal Jasa,Human Resources Management / Consulting
PT Terminal Jaya,Human Resources Management / Consulting
PT Terminal Nilam Utara,Oil/Gas/Petroleum
PT Terminal Petikemas Surabaya,Transportation/Logistics
PT Terminal Pulsa,Retail/Merchandise
PT Terra Anugrah Perkasa,Construction / Building / Engineering
PT Terra Computer System ( Surabaya ),Computer / Information Technology (Hardware)
PT Terra Data Solusindo,"Consulting (IT, Science, Engineering & Technical)"
PT Terra Dewata International,Property / Real Estate
PT Terra Energi Dayatama,Electrical & Electronics
PT Terra Factor Indonesia,Heavy Industrial / Machinery / Equipment
PT Terra Gemilang,Food & Beverage/Catering/Restaurant
PT Terra Global Vestal Baturaja,Oil / Gas / Petroleum
PT Terra Resources (Jakarta),Mining
PT TERRADA INDONESIA,Food & Beverage / Catering / Restaurant
PT Terradata Computindo,"Consulting (IT, Science, Engineering & Technical)"
PT Terrakon Cipta Graha,Manufacturing / Production
PT Terrakon Properti Indonesia,Property/Real Estate
PT Terrakota Tungsten Utama,Manufacturing / Production
PT Terravision Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT Terrazone Indonesia,Entertainment/Media
PT Terrific International,Computer/Information Technology (Software)
PT Terrindo Bumi Raya,Computer/Information Technology (Hardware)
PT Terry Palmer Indonesia,Retail/Merchandise
PT Terumo Indonesia,Healthcare/Medical
PT Teruna Gada Profesi,Human Resources Management / Consulting
PT Teruna Perkasa Offset Printing,Printing/Publishing
PT Terus Maju Perkasa,Property / Real Estate
PT Terus Mega Tara ( Fladeo),Retail/Merchandise
PT Tes Indonesia,Others
PT TES LAGI,Others
PT Tesco Indomaritim,Marine/Aquaculture
PT Tesco Indonesia,Oil/Gas/Petroleum
PT Tesena Inovindo,Healthcare/Medical
PT Tesla Indonesia,Oil/Gas/Petroleum
PT Test Ja boleh ya,Others
PT Testing ONLY,Others
PT TET Global,Manufacturing/Production
PT Tetha Alphindo,General & Wholesale Trading
PT Tetra,Construction/Building/Engineering
PT Tetra Arditama,Automobile/Automotive Ancillary/Vehicle
PT Tetra Data Informasi,Computer/Information Technology (Software)
PT TETRA GROSIR INDONESIA,Retail/Merchandise
PT Tetra Pak Indonesia,Manufacturing / Production
PT Tetra Wahyu Kencana,Electrical & Electronics
PT Tetramega Satria,Construction/Building/Engineering
PT TETRASA GEOSININDO,General & Wholesale Trading
PT Tetrasetia Indonesia,Electrical & Electronics
PT Texafin,Accounting/Audit/Tax Services
PT Texchem Indonesia,Chemical/Fertilizers/Pesticides
PT Texcoms,Textiles/Garment
PT Texmaco Perkasa Engineering Tbk (Karawang),Manufacturing / Production
PT Texmura,Construction/Building/Engineering
PT Textile Republic,Textiles/Garment
PT Tez Ventura Indonesia,Banking/Financial Services
PT TG Indonesia,General & Wholesale Trading
PT TG Rights Studio Jakarta,Printing/Publishing
PT TG Services,Manufacturing/Production
PT TGL Trans Global Logistics,Transportation/Logistics
PT TH Felda Nusantara,Agricultural/Plantation/Poultry/Fisheries
PT TH Indo Plantations,Agricultural/Plantation/Poultry/Fisheries
PT Thaha Engineering Group,Construction / Building / Engineering
PT Thai Express Indonesia,Food & Beverage / Catering / Restaurant
PT Thai Hang Indonesia,Automobile/Automotive Ancillary/Vehicle
PT Thai Makmur,Food & Beverage / Catering / Restaurant
PT Thai Makmur,Food & Beverage/Catering/Restaurant
PT Thai Summit Harness Indonesia,General & Wholesale Trading
PT Thang Health Center,General & Wholesale Trading
PT Thano Technologies,"Consulting (IT, Science, Engineering & Technical)"
PT Tharwah Crestar Indonesia,Manufacturing/Production
PT Thatha Tjakra Tours & Travel,Travel / Tourism
PT The Auto Bridal Plus 85,Grooming / Beauty / Fitness
PT The Bulakan,Hotel / Hospitality
PT The Bulakan Bali,Hotel/Hospitality
PT The Clod Indonesia,Manufacturing / Production
PT THE CLOTHES,Arts / Design / Fashion
PT THE COOL,General & Wholesale Trading
PT The Costume Magnifique,Textiles/Garment
PT THE FAR EAST,Construction/Building/Engineering
PT The First National Glassware,Manufacturing/Production
PT The Himalaya Drug Company,Healthcare/Medical
PT The Master Steel MFc,Others
PT The Nail Shoppe,Arts / Design / Fashion
PT The Nielsen Company Indonesia,Consulting (Business & Management)
