Perusahaan,Sektor
PT Tridaya Manca Kuliner,Food & Beverage/Catering/Restaurant
PT Tridaya Manunggal Abadi,Entertainment/Media
PT Tridaya Mustika Sejahtera,Consumer Products/FMCG
PT Tridaya Pamurtya,General & Wholesale Trading
PT Tridaya Prima Artha,Human Resources Management/Consulting
PT Tridayamas Sinarpusaka,Textiles / Garment
PT Tridecca Indonesia,General & Wholesale Trading
PT Tridharma Guna Mandiri,Property / Real Estate
PT Tridharma Kencana,Electrical & Electronics
PT Tridinamika Jaya Instrument,General & Wholesale Trading
"PT Tridomain Performance Materials, Tbk Group",Manufacturing/Production
PT Triduta Mitra Sejahtera,General & Wholesale Trading
PT Triduta Mitraparama,Consulting (Business & Management)
PT Trie Mukty Pertama Putra,Manufacturing/Production
PT Trieksis Indonesia,Architectural Services/Interior Designing
PT Triendo Utama,General & Wholesale Trading
PT Trifa Abadi,Construction/Building/Engineering
PT Trifa Raya Laboratories,Healthcare/Medical
PT Trifisa Oktagon Perkasa,Architectural Services / Interior Designing
PT Trifita Perkasa,Mining
PT Trifosa Mulia,Transportation/Logistics
PT Trigana Air Service,Aerospace/Aviation/Airline
PT Trigatra Cipta Sinergi,Computer/Information Technology (Software)
PT Trigaya,Textiles / Garment
PT TriGlobal Mandiri indonesia,Retail/Merchandise
PT Trigoldenstar Wisesa,Textiles/Garment
PT TRIGRIYA HUTAMA,Construction/Building/Engineering
PT Trigun Andrawina,Food & Beverage / Catering / Restaurant
PT Triguna Inovatif Gemilang Abadi,Electrical & Electronics
PT Triguna Internusa Pratama,Oil/Gas/Petroleum
PT Triguna Karya Nusantara,Automobile / Automotive Ancillary / Vehicle
PT Triguna Mandala,Heavy Industrial / Machinery / Equipment
PT Triguna Mulya Abadi,Manufacturing/Production
PT Triguna Sukses Engineering,Construction / Building / Engineering
PT Trigunapratama Abadi,Environment/Health/Safety
PT Trigunung Padutama,Manufacturing/Production
PT Trigunung Padutama_Lampung,Others
PT Trihamas Finance,Banking/Financial Services
PT TRIHARSI,Healthcare/Medical
PT Triharta Bumi Karya,Construction/Building/Engineering
PT Trihasco Utama,Consulting (Business & Management)
PT TriInti International,Computer / Information Technology (Hardware)
PT Trijati Primula,Manufacturing/Production
PT Trijaya Adyabusana,Textiles/Garment
PT TRIJAYA AGUNG NASIONAL,Retail/Merchandise
PT Trijaya Anugrah Abadi,Education
PT Trijaya Anugrah Estetika ( Lashtique ),Grooming/Beauty/Fitness
PT Trijaya Anugrah Kreasi,Architectural Services / Interior Designing
PT Trijaya Anugrah Mulia,Architectural Services/Interior Designing
PT Trijaya Dewata,Advertising / Marketing / Promotion / PR
PT Trijaya Excel Madura,Telecommunication
PT Trijaya Hutama Lestari,Retail / Merchandise
PT Trijaya Indo Pratama,General & Wholesale Trading
PT Trijaya Kartika,Consumer Products/FMCG
PT Trijaya Karya Persada,Heavy Industrial/Machinery/Equipment
PT Trijaya Langgeng Abadi,General & Wholesale Trading
PT Trijaya Makara Indonesia,Construction/Building/Engineering
PT Trijaya Makmur Lestari,General & Wholesale Trading
PT Trijaya Mandiri Persada,Construction/Building/Engineering
PT Trijaya Motor Accesories,Automobile / Automotive Ancillary / Vehicle
PT Trijaya Nusantara,Call Center/IT-Enabled Services/BPO
PT Trijaya Prima Mandiri,Manufacturing / Production
PT Trijaya Rukun Abadi,Polymer / Plastic / Rubber / Tyres
PT Trijaya Satya,Heavy Industrial/Machinery/Equipment
PT Trijaya Selaras Abadi,Automobile/Automotive Ancillary/Vehicle
PT Trijaya Sentosa Abadi,Construction/Building/Engineering
PT Trijaya Sukses Makmur,Manufacturing/Production
PT Trijaya Tangguh,Manufacturing/Production
PT Trijaya Usaha Mandiri,Retail / Merchandise
PT Trikabumi Pertiwi,Property / Real Estate
PT Trikalindo Kharisma,Architectural Services / Interior Designing
PT Trikama Boga,General & Wholesale Trading
PT Trikarsa Buana Persada Gemilang,Construction/Building/Engineering
PT Trikarsa Indoinstrument (Bandung),Healthcare / Medical
PT Trikarsa Mitra Utama,Manufacturing/Production
PT Trikarsa Sempurna Sistemindo,Computer/Information Technology (Software)
PT Trikarya EshaGemilang,General & Wholesale Trading
PT Trikarya Global Pratama,Food & Beverage / Catering / Restaurant
PT Trikarya Idea Sakti,Hotel/Hospitality
PT Trikarya Jaya Sejahtera,Construction/Building/Engineering
PT Trikarya Kencana Makmoer,Human Resources Management / Consulting
PT Trikarya Mandiri,Heavy Industrial/Machinery/Equipment
PT Trikarya Megah Utama,"Consulting (IT, Science, Engineering & Technical)"
PT Trikarya Multi Sarana,Consulting (Business & Management)
PT Trikasa Promosindo,Advertising/Marketing/Promotion/PR
PT Trikasa Upayasa,Manufacturing / Production
PT Trikata Esa Karsa,Education
PT Trikemindo Utama,Accounting/Audit/Tax Services
PT Trikharisma Konsultan (Inter-Ed Indonesia),Consulting (Business & Management)
PT Triklin Rekatama,Computer / Information Technology (Software)
PT Trikomsel Oke Tbk (Pekanbaru),Telecommunication
PT Trikomsel Oke Tbk (SEMARANG),Telecommunication
PT Trikomsel Oke Tbk Lampung,Telecommunication
"PT Trikomsel Oke, Tbk",Retail/Merchandise
"PT Trikomsel Oke, Tbk",Retail / Merchandise
"PT Trikomsel Oke, Tbk (Balikpapan)",Manufacturing / Production
"PT Trikomsel Oke, Tbk (Pontianak)",Telecommunication
"PT Trikomsel Oke, Tbk (Yogyakarta)",Telecommunication
"PT Trikomsel, Tbk (Medan)",Telecommunication
PT Trikurnia Tirtacitra,Property/Real Estate
