Perusahaan,Sektor
PT. Iron Bird Transport (Semarang),Transportation/Logistics
PT. IRON FIST CRUSHED STONE,Construction/Building/Engineering
PT. ISAT,Telecommunication
PT. ISB,Others
PT. ISE FOODS INDONESIA,General & Wholesale Trading
PT. ISHIDA PRECISION INDONESIA,Others
PT. ISMART MEDIA INDONESIA (ismartv.id & polmastv.com),Entertainment/Media
PT. ISPFO,Others
PT. ISTAKA KARYA (PERSERO),Construction/Building/Engineering
PT. ITA MAS INDO,General & Wholesale Trading
PT. ITLS Indonesia,Manufacturing/Production
PT. ITTRON GLOBAL TECHNOLOGY,Computer/Information Technology (Software)
PT. Ivan Cipta Mukti Perkasa,Textiles/Garment
PT. Ixobox Multitren Asia,Accounting/Audit/Tax Services
PT. Iyengar Yoga Indonesia,Sports
PT. J.S.T. INDONESIA,Manufacturing/Production
pt. ja yang jaya,Others
PT. Jagad Sanitasi Indonesia,Consulting (Business & Management)
PT. Jago Pangan Indonesia,Others
PT. Jaka Perkasa,Human Resources Management/Consulting
PT. Jakarta Central Container,Transportation/Logistics
PT. Jakarta International Pendidikan,Education
PT. Jakarta Propertindo SBU Pluit Junction,Property/Real Estate
PT. Jakarta Utilitas Propertindo,Property/Real Estate
PT. Jakmall Digital Niaga,Computer/Information Technology (Software)
PT. JakMaster,Others
PT. Jalinmitra Maju Bersama,Construction/Building/Engineering
PT. JAMES TRENT CONSULTING,General & Wholesale Trading
PT. JANE INTAN PERMATA,Human Resources Management/Consulting
PT. JAPAN PACK INDONESIA,Others
PT. Japan Travel Agency,Travel/Tourism
PT. Japenansi Nusantara,Others
"PT. Japfa Comfeed Indonesia, Tbk (Commercial Poultry Division)",Agricultural/Plantation/Poultry/Fisheries
"PT. JAPFA COMFEED INDONESIA, Tbk.",Others
PT. JAPFA Medan,Others
PT. JAPINDO AMANAH ILLAHI,Others
PT. JASA BANTUAN INDONESIA,Education
PT. Jasa Bersih Indonesia,Others
PT. JASA MEDIVEST,Government/Defence
PT. Jasamall Indonesia,Repair & Maintenance Services
PT. Jasindo Artika Tirta (Coriate),"Consulting (IT, Science, Engineering & Technical)"
PT. JAT Powerindo,Others
PT. JATI ARTHA SINERGI,Accounting/Audit/Tax Services
PT. JATIM PETUALANGAN ALAM,Travel/Tourism
PT. Jatinom Indah Group,Construction/Building/Engineering
PT. JAVA BANANA INDONESIA,Hotel/Hospitality
PT. Java Global Futures Exchange,Others
PT. JAVA INTI SARANA,Manufacturing/Production
PT. Java Karlos Indonesia,Agricultural/Plantation/Poultry/Fisheries
PT. JAVA SURYA TEKNIK,General & Wholesale Trading
PT. JAVA TAIKO MINERALINDO,Manufacturing/Production
PT. Javae Expertindo Traco,Others
PT. Javae Expertindo Traco,Manufacturing/Production
PT. Javalina Development,"Consulting (IT, Science, Engineering & Technical)"
PT. Javis Teknologi,Others
PT. Jawa Pos Grup Multimedia,Others
PT. Jawa Pos Multi Media,Entertainment/Media
PT. Jawabetonindo Perkasa,Others
PT. Jawara Kreasitama,Advertising/Marketing/Promotion/PR
PT. JAYA AGUNG ELECTRIC,Electrical & Electronics
PT. Jaya Bumi Cakrawala,Property/Real Estate
PT. Jaya Cemerlang Sentosa,Construction/Building/Engineering
PT. Jaya Citra Kencana Abadi,Food & Beverage/Catering/Restaurant
PT. Jaya Columbia (Jaco TV Shopping),Grooming/Beauty/Fitness
PT. JAYA LANGKAH GLOBAL,Others
PT. JAYA MACHINERY EQUIPMENT,Heavy Industrial/Machinery/Equipment
PT. Jaya Mitra Kemilau Semarang,Others
PT. Jaya Mulya Luckindo,Manufacturing/Production
PT. JAYA PERKASA PROPERTINDO-GRAND MERIDIAN RESIDENCES,Property/Real Estate
PT. Jaya Persik Abadi,Grooming/Beauty/Fitness
PT. Jaya Pratama Groserindo,Retail/Merchandise
PT. JAYA SAKTI MULIA,"Consulting (IT, Science, Engineering & Technical)"
PT. Jaya Sukses Abadi Kramika,General & Wholesale Trading
PT. Jaya Utama Unggul,General & Wholesale Trading
PT. JBH Internasional Jaya,Retail/Merchandise
PT. Jejak Imani Berkah Bersama,Travel/Tourism
PT. Jembatan Indonesia Jepang,General & Wholesale Trading
PT. JEONGSUK TECH ABADI,Others
PT. Jeos Creative Industry,Retail/Merchandise
PT. JESI JASON SURJA MAKMUR,Others
PT. Jet Inovasi Asia (Jetcommerce Bandung),Others
PT. JIAEC Surabaya,Consulting (Business & Management)
PT. Jingga,Architectural Services/Interior Designing
PT. Jingga Unggul Lohjinawi,Retail/Merchandise
PT. JIT TRADING INDONESIA,Others
PT. Jitu Sakti,Heavy Industrial/Machinery/Equipment
PT. Jivika Kastara Pratama,General & Wholesale Trading
PT. Jodi Rupadhatu Kreasindo,Construction/Building/Engineering
PT. Jofar Mandiri Perkasa,Entertainment/Media
PT. Johnson Com Indonesia,Others
Pt. Joindo Eka Handal,General & Wholesale Trading
PT. JORONG ABADI JAYA,Retail/Merchandise
PT. JOVAN JAYA ABADI,General & Wholesale Trading
PT. JR,Construction/Building/Engineering
PT. JTech Jasa Pertambangan (Gresik),Mining
PT. JUJUR Kemasindo Persada,Exhibitions/Event management/MICE
PT. JULIKUIN EKSPRESS MANDIRI,Others
PT. Jus Sukses Selalu,Food & Beverage/Catering/Restaurant
PT. K-24 INDONESIA (Area Jawa Tengah),Healthcare/Medical
PT. K-LINK INDONESIA,Education
