Perusahaan,Sektor
PT. LOQATO TRISAKTI JAYA,Computer/Information Technology (Software)
PT. LOTTE CINEMA INDONESIA,Entertainment/Media
PT. Lotus Globalindo Sentosa,Healthcare/Medical
PT. LOTUS LINGGA PRATAMA,Gems/Jewellery
PT. LUCINDO LASER VISION,Manufacturing/Production
PT. Lumbung Mas Jaya,Retail/Merchandise
PT. Lumbungmas Konstrindo Utama,Construction/Building/Engineering
PT. LUNA BOGA NARAYAN,Food & Beverage/Catering/Restaurant
PT. Luna Boga Narayan,Others
PT. LUWU RAYA UTAMA,Others
PT. LUXINDO RAYA Bandung,Repair & Maintenance Services
PT. LV Logistics Indonesia,Transportation/Logistics
PT. LYRA AKRELUX,Retail/Merchandise
PT. LZWL Motors Indonesia,Automobile/Automotive Ancillary/Vehicle
PT. M-ONE,"Consulting (IT, Science, Engineering & Technical)"
PT. MABA MULTI KREATIF (Lesgood),Computer/Information Technology (Software)
PT. MACHIHA MEDICAL,General & Wholesale Trading
PT. Macroni Tei,Others
PT. MADA GRAHA NAGATA,Retail/Merchandise
PT. Madael Prima Sejahtera Indonesia,Manufacturing/Production
PT. MAF,Others
PT. Mafhindo Utama,Oil / Gas / Petroleum
PT. Magha Sukses Mandiri,Retail/Merchandise
PT. MAHA DATA SOLUSI,Computer/Information Technology (Software)
PT. MAHA KARYA BARU,Retail/Merchandise
PT. MAHAGRA ADHI KARYA BANYUMAS,Others
PT. Mahakarya Hutan Indonesia,Manufacturing/Production
PT. MAHAMERU AKSARA AGRI,Consumer Products/FMCG
PT. Mahardika Edutama Indonesia,Education
PT. MAHARDIKA WISNU KARYA,General & Wholesale Trading
PT. Maharta,Advertising/Marketing/Promotion/PR
PT. MAHKOTA BUMI PASUNDAN,Property/Real Estate
PT. MAHKOTA PALM GROUP,Others
PT. MAHKOTA PROSPERUS ABADI,Construction/Building/Engineering
PT. MAHKOTA SAMPURNA,Manufacturing/Production
PT. Mahoganie Tiga Puluh,Food & Beverage/Catering/Restaurant
pt. mailand amreta jaya,"Consulting (IT, Science, Engineering & Technical)"
PT. Maja Bintang Indonesia,General & Wholesale Trading
Pt. Maju bersama menuju puncak,General & Wholesale Trading
PT. Maju Express Indonesia (MiTO),Others
PT. Maju Jaya Putra Plasindo,Heavy Industrial/Machinery/Equipment
PT. MAJU PRATAMA INTERNASIONAL,Others
PT. MAJU SUKSES MANDIRI,Transportation/Logistics
PT. MAJUPERKASA INDONESIA,General & Wholesale Trading
PT. MAKALE INVESTAMA,Mining
PT. Makan Diantar Indonesia,Food & Beverage / Catering / Restaurant
PT. Makmur Abadi jaya Raya,Manufacturing/Production
PT. MAKMUR ANUGERAH SEJAHTERA,Construction/Building/Engineering
PT. Makmur Bintang Indonesia,Others
PT. Makmur Lintas Benua,Manufacturing/Production
PT. Makmur Mandiri Utama,Consumer Products/FMCG
PT. Makmur Sejahterah Mesindo,Manufacturing/Production
PT. MAKMUR WANGI ABADI,Others
PT. Makna Angan Karya Andanu,Food & Beverage/Catering/Restaurant
PT. MAKSIPACK MACHINERY,Heavy Industrial/Machinery/Equipment
PT. MALAKASARI,Manufacturing/Production
PT. Malea Energy,Others
PT. Mamminasata Syariah Propertindo,Property/Real Estate
PT. MANADO UNDERWATER EXPLORATIONS,Travel/Tourism
PT. Manajemen Konstruksi Utama,Construction/Building/Engineering
PT. Mandala Adirupa Sejahtera. Tbk,Others
PT. Mandala Arva,Manufacturing/Production
PT. Mandala Finance Cab. Pelaihari,Banking/Financial Services
PT. Mandala Mediatama (Star Auction) Makassar,Others
PT. MANDALA MULTIFINANCE (cilacap),Banking/Financial Services
PT. MANDALA MULTIFINANCE (kebumen),Banking/Financial Services
PT. MANDALA MULTIFINANCE (purwokerto),Banking/Financial Services
"PT. Mandala Multifinance, TBK Sumatera utara",Banking/Financial Services
PT. Mandiri Central Wahana,General & Wholesale Trading
PT. Mandiri Fragus Solusindo,Computer/Information Technology (Software)
PT. Mangan Mangan,Others
PT. Manikam Jaya,Others
PT. Manmulia,Arts/Design/Fashion
PT. Manna Audio,Electrical & Electronics
PT. Mantrijero Tours & Travel,Travel/Tourism
PT. Manunggal Sejati,General & Wholesale Trading
PT. Manunggal Suko Jaya,Consumer Products / FMCG
PT. Maputras Kakendage,Others
PT. MARAH NATURAL KORNESIA,Healthcare/Medical
PT. Marche International,Food & Beverage/Catering/Restaurant
PT. Mardika Daya Tribuana,Transportation/Logistics
PT. MARGUNA TARULATA APK FARMA,Others
PT. MARINDO VISI PRIMA INDONESIA,Advertising/Marketing/Promotion/PR
PT. MARIO MIKRON METALINDO,Others
PT. Marton Tekindo Abadi,Heavy Industrial/Machinery/Equipment
PT. Masabaru Guna Persada,Others
PT. Masabaru Gunapersada,General & Wholesale Trading
PT. Maspion 1 Div Aluminium,Manufacturing/Production
PT. Masuya Distra Sentosa / PT. Sari Makmur Sanjaya,Consumer Products/FMCG
PT. Mata Bola Cemerlang Indonesia,Call Center/IT-Enabled Services/BPO
PT. Mata Indah Nusantara,Hotel/Hospitality
PT. Matahari Baru Indonesia,Telecommunication
PT. Matahari Bersama,Others
PT. Matahari Distribusi Selular,Others
PT. Matahari Maju,Banking/Financial Services
PT. Mataram Surya Visi Sinema,Arts/Design/Fashion
PT. MATARAM SURYA VISI SINEMA (MSV STUDIO),Arts/Design/Fashion
PT. Matcha Muda Manggala,Retail/Merchandise
PT. Mats Charcoal,Manufacturing/Production
PT. MAX BERN INTERNASIONAL,Arts/Design/Fashion
