Perusahaan,Sektor
PT. Walletku Indompet Indonesia,Banking/Financial Services
PT. Wanama Jaya Abadi,Others
PT. Wang Properti Indonesia,Others
PT. Wangu Johap,General & Wholesale Trading
PT. Warung Kakilima,Computer/Information Technology (Software)
PT. Waskita Beton Precast,Manufacturing/Production
PT. Wateru Natural Alkalindo,Food & Beverage/Catering/Restaurant
PT. WATUKREASI DIGIDATA SOLONESI,Computer/Information Technology (Software)
PT. Web Stream Indonesia - www.nonton.com,"Consulting (IT, Science, Engineering & Technical)"
PT. Weststar Maxus Indonesia,Automobile/Automotive Ancillary/Vehicle
PT. WG Property,Automobile/Automotive Ancillary/Vehicle
PT. Widya Sapta Contractor,Construction/Building/Engineering
PT. Wiennexindo Solution,"Consulting (IT, Science, Engineering & Technical)"
PT. Wijaya Karya Bangunan Gedung - Divisi Modular,Others
PT. Wijaya Pratama Nusantara,Others
PT. Wijaya Tiara Pertiwi,Property/Real Estate
PT. Wiko Mobile Indonesia,Telecommunication
PT. WILIS JAYA SEMESTA,Others
PT. WILTOP AUTO ( DEALER HONDA JAMBI),Automobile/Automotive Ancillary/Vehicle
PT. Wima Logistic International,Transportation/Logistics
PT. Wimiku Indo Digital,Computer/Information Technology (Software)
PT. Win Win Realty Centre (Ciputra Group),Others
PT. Wina Wira Usaha Jaya,Oil/Gas/Petroleum
PT. Winata Perkasa Makmur,Telecommunication
PT. Winn Gas Appliance,Manufacturing/Production
PT. Winsen Indo Karya,Retail/Merchandise
PT. Wira Cipta Sejahtera,Human Resources Management/Consulting
PT. WIRA DUTA MEDITAMA,Others
PT. Wira Inno Mas,Others
PT. WIRA SATYA NIAGA,Construction/Building/Engineering
PT. WIRA SELATAN LESTARI,General & Wholesale Trading
PT. WIRAGUNA JAYA MANDIRI,Construction/Building/Engineering
PT. Wirausaha Improtir & Niaga Elit,Food & Beverage/Catering/Restaurant
PT. Wisata International (WINS Tour Travel),Others
PT. Wisesa Persada Indonesia,Construction/Building/Engineering
PT. Wita Laras Kirana,Others
PT. WNW INDONESIA,Retail/Merchandise
PT. World Innovative Telecommunication,Retail/Merchandise
PT. World KNK Surya Anugerah,Textiles/Garment
PT. WPS ASIA INDONESIA,Transportation/Logistics
PT. XCMG GROUP INDONESIA,Heavy Industrial/Machinery/Equipment
PT. XIN MING HUA ENGINE,General & Wholesale Trading
PT. XINYUAN INDUSTRY,Retail/Merchandise
PT. XNA KREASI INDONESIA,Advertising/Marketing/Promotion/PR
PT. XTEND INTEGRASI INDONESIA,"Consulting (IT, Science, Engineering & Technical)"
PT. Yanasurya Bhaktipersada (Surabaya),Manufacturing/Production
PT. Yang Kee Logistics Indonesia,Transportation/Logistics
PT. Yangchan Indonesia,Architectural Services/Interior Designing
PT. Yapindo Abadi Perkasa,Manufacturing/Production
PT. Yasa Patria Perkasa,Construction/Building/Engineering
PT. YASUIGAWA SILIWANGI ELEKTRIK INDONESIA,Electrical & Electronics
PT. Yatra Sakhi Boga,Food & Beverage/Catering/Restaurant
PT. YC TEC INDONESIA,Manufacturing/Production
PT. YCH Indonesia Denpasar,Others
PT. YID,General & Wholesale Trading
PT. YIHA GARUDA PERKASA,Others
PT. Ying Long International,Manufacturing/Production
PT. Yoofix Indonesia,Others
Pt. Yosephin Global Indonesia,Consumer Products/FMCG
PT. YOUNG SHIN WORLD ZIPPER,Manufacturing/Production
PT. Yudistrira Media Kreasi Utama,Advertising/Marketing/Promotion/PR
PT. Yuholi Auto Partindo,General & Wholesale Trading
PT. ZAD,Others
PT. Zain Multi Anugerah,Chemical/Fertilizers/Pesticides
PT. Zapplindo Gemilang,Manufacturing/Production
PT. Zataka Expressindo Utama (ZATAKA Express),Transportation/Logistics
PT. Zenifix Maju Mas,Others
PT. ZETA FINTECH INDONESIA,Banking/Financial Services
Pt. Zhongda Health Indonesia,Others
PT. ZOLLER Jakarta Indonesia,Manufacturing/Production
PT. ZONA SPASIAL,"Consulting (IT, Science, Engineering & Technical)"
PT.. BRIDGESTONE MINING SOLUTIONS INDONESIA,Others
PT.. Dinamika Expressindo,Transportation / Logistics
PT.AARTIJAYA,Others
PT.Achatina Meridien,Hotel/Hospitality
PT.Adiartha Swabuana,Others
PT.Adirupa Dara Sejahtera,Healthcare/Medical
PT.ADV Sekurindo,Oil/Gas/Petroleum
PT.AGUNDIAN EKATAMA GARMENT,Textiles/Garment
PT.ALFA STAR INDONESIA,Automobile/Automotive Ancillary/Vehicle
PT.AMEGA INDAH JAYA,Property/Real Estate
PT.Anna Jaya Mandiri,Heavy Industrial/Machinery/Equipment
pt.anugerah megah lestari textile,Textiles/Garment
PT.ANUGERAH PROTECINDO,Automobile/Automotive Ancillary/Vehicle
PT.Anugerah Tetap Abadi (ATA TOUR),Travel/Tourism
PT.Anugrah Karya Prima (OT GROUP),Others
Pt.anugrah kemasan kreatif,Others
PT.Apexindo Pratama Duta Tbk,Oil/Gas/Petroleum
PT.Arda Indonesia,Others
pt.arsha,Advertising / Marketing / Promotion / PR
PT.ASIA_PRAMULIA,Others
PT.Astra International Tbk Isuzu,Others
"PT.Astra International, Tbk - Auto2000 Cibiru (Jl.Soekarno Hatta No.759 Bandung)",Automobile/Automotive Ancillary/Vehicle
PT.ATASA CIPTA LARAS,Wood/Fibre/Paper
PT.Athenapools Nusapratama,Others
PT.AYOJEK INDONESIA,Computer/Information Technology (Software)
PT.Bahagia Intra Niaga,General & Wholesale Trading
Pt.bahagiaselalu,Others
