Perusahaan,Sektor
PT.Bank Tabungan Negara ( Bank BTN ),Others
PT.Bentara Fraktal Indonesia Teknologi,Computer/Information Technology (Software)
PT.Berkat Semangat Baru,Computer/Information Technology (Software)
PT.BEST PROFIT,Others
PT.Beton Prima Inti Serang,Others
PT.Bhinneka Life Yogyakarta,Insurance
PT.BINTANG OMEGA SAKTI,Property/Real Estate
PT.Bintang Tjan Digital,Arts/Design/Fashion
PT.BinterJet,Printing/Publishing
PT.BIRO TEKNIK SINAR BARU,Electrical & Electronics
PT.Bonanza Megah,Manufacturing/Production
PT.BOSINDO CAHAYA ANUGERAH,Others
PT.BPR BATANGHARI,Accounting/Audit/Tax Services
PT.BPR Permata Sedana,Banking/Financial Services
PT.BRI Life Batam,Others
PT.Brother International Sales Indoneisa,Others
PT.BSM NEW MATERIAL,Agricultural/Plantation/Poultry/Fisheries
PT.BUANA ESATE UNIT AGROWISATA VILLA BUKIT HAMBALANG,Others
PT.BUDI JAYA MEGAINDO,Heavy Industrial/Machinery/Equipment
PT.Budiawan Sejahtera,Accounting/Audit/Tax Services
PT.Bumi Inti Prakarsa,General & Wholesale Trading
PT.Bumi Universal Makmur,Agricultural/Plantation/Poultry/Fisheries
PT.BUNGA DARU,Transportation/Logistics
PT.BUSSAN AITO FINANCE,Others
PT.CAHAYA HIDUP SEJATI,Retail/Merchandise
PT.Cahaya Mitra International,Grooming/Beauty/Fitness
PT.CAKRA BUANA PERTIWI,Travel/Tourism
PT.Canai Indonesia International,Others
PT.Caterpillar Indonesi Batam,Others
PT.CENTER POINT HOMSTYLE,Others
PT.Centra Mega Kencana,Others
PT.CENTRAL CONVEYOR BELT,Others
PT.CENTRAL PERMATA GRAMINDO,Exhibitions/Event management/MICE
PT.CHAKRA ADHI PERKASA,Property/Real Estate
PT.CHEIL JEDANG INDONESIA - BIO,Manufacturing/Production
PT.Cipta Krida Bahari Logistics,Others
PT.Citra Mega Nusantara,Retail/Merchandise
PT.Citra Megah Selecomindo,Human Resources Management / Consulting
PT.CKW,Others
PT.COY STEEL INDONESIA,Others
PT.CPL,Others
PT.CRI Fluid Systems,Manufacturing/Production
PT.CSB,Food & Beverage/Catering/Restaurant
PT.DAE,Others
pt.dai nippon printing,Others
PT.DAIDO METAL INDONESIA DAN PT. ASNO HORIE INDONESIA,Others
PT.DAKONAN MAS,Healthcare/Medical
PT.Danamas Insan Kreasi Andalan (DIKA),Banking/Financial Services
PT.DAVAREL VISI SEJAHTERA,Property/Real Estate
PT.Davest Artha Propertindo (Makassar),Property/Real Estate
PT.DAYAKARYA SOLUSI SEJATI SUBS MPM RENT,Others
pt.dayatama trinintra,Banking/Financial Services
PT.DCI GROUP INDONESIA,Retail/Merchandise
PT.dekshaorlatranggana,Consulting (Business & Management)
PT.Dewata Abadi,Construction / Building / Engineering
PT.DEWI PENGAYOM BANGSA /Dewangga Tour & Travel,Travel/Tourism
PT.DHARMMA ANUGERAH UTAMMA,Electrical & Electronics
PT.Dian Anggara Persada,Agricultural/Plantation/Poultry/Fisheries
PT.DimensiDelapan Indonesia,Arts/Design/Fashion
PT.Dinamika Makmur a,Retail/Merchandise
PT.Divatama Intiperintis Jatake,Others
PT.DOWIMART,Retail/Merchandise
PT.DUNIA SEPEDA JAYA,Retail/Merchandise
PT.Duta Balai Lelang,Property/Real Estate
PT.DWIKARYA SUKSES ABADI,Environment/Health/Safety
PT.EAGLE HIGH PLANTATION,Others
PT.Educarindo Compumedia Utama,"Consulting (IT, Science, Engineering & Technical)"
PT.Elabram System Regional Balinusra,Others
PT.Era Multi Agro,Others
PT.ERASINAR 2000,Others
PT.ESPAY DEBIT INDONESIA KOE,Computer/Information Technology (Software)
PT.EVERGREEN SEAFER FEED,Agricultural/Plantation/Poultry/Fisheries
PT.ew-futures,Others
PT.Fajar Sejahtera Mandiri,Telecommunication
PT.FASTERINDO FORMWORK INDONESIA,Others
PT.FEIHONG INTERNATIONAL,Others
PT.FELTON ENERGI NUSANTARA,Construction/Building/Engineering
PT.FERGACO TEKNIKA,Telecommunication
PT.FIFGROUP CABANG TAMBORA,Others
PT.fintech uangkita,Banking/Financial Services
PT.FIRST INDO GROUP,Others
PT.Fresnel Perdana Mandri cab.Medan,Others
PT.GALANGAN KAPAL LANCAR,Construction/Building/Engineering
PT.Gama,Others
PT.GAPURA (galangan kapal madura),Others
PT.Garindo Sakti Jaya,Healthcare / Medical
PT.Gema Dewata Indah,Others
PT.GEMA INTERMULIA SEJAHTERA,Architectural Services / Interior Designing
PT.Geniee Technology Indonesia,"Consulting (IT, Science, Engineering & Technical)"
PT.Giken,Others
PT.Global Commodity,Consulting (Business & Management)
PT.Global Indoraya Lestari,Electrical & Electronics
PT.GOLD GRAFIKA INDONESIA,Others
PT.Golden Moment Tour,Travel/Tourism
PT.GRAHA MEGARIA SURABAYA,Others
PT.GRAHA SARANA DUTA AREA VI KALIMANTAN,Property/Real Estate
PT.Grahatour Indonesia,Travel/Tourism
PT.GRATAMA BARU,Others
PT.Griya Bahasa Asing,General & Wholesale Trading
PT.Griya Parahita Jaya,Construction/Building/Engineering
