Perusahaan,Sektor
Yayasan Imamat Rajani,Others
Yayasan Immanuel (Immanuel Publishing  house & bookstore ),Retail/Merchandise
Yayasan Indonesia Bisnis Links,Non-Profit Organisation / Social Services / NGO
Yayasan Indonesia Cerdas Unggul,Education
Yayasan Indonesia Mengajar,Education
Yayasan Inisiasi Alam Rehabilitasi Indonesia,Non-Profit Organisation/Social Services/NGO
Yayasan Inovasi Teknologi Indonesia,Non-Profit Organisation / Social Services / NGO
Yayasan Insan Baru / The New You Institute,Education
Yayasan Insan Cendikia Kalianda Lampung Indonesia,Education
Yayasan Insan Madani Sejahtera,Education
Yayasan Insan Mandiri Sejahtera,Education
Yayasan Inspirasi Indonesia Membangun,Non-Profit Organisation/Social Services/NGO
Yayasan Institut Bisnis Ekonomi dan Keuangan,Education
Yayasan Institute Bhaktivedanta Indonesia (YIBI),Education
Yayasan Intan Eduka,Education
Yayasan International Cahaya Fajar,Non-Profit Organisation/Social Services/NGO
Yayasan Inti Nusa Dharmabhakti Optima,Non-Profit Organisation / Social Services / NGO
Yayasan Intiland,Education
Yayasan Islam Al huda,Education
Yayasan Islam Al-Hamidiyah,Education
Yayasan Jakarta Taipei School,Education
Yayasan Jangkar Kehidupan,Non-Profit Organisation / Social Services / NGO
Yayasan Jantung Indonesia,Environment/Health/Safety
Yayasan Jemari Nusantara,Others
Yayasan Kalam Kudus Indonesia Batam,Education
Yayasan Kaldip,Education
Yayasan Kaliandra Sejati Pandaan,Education
Yayasan Kampus Tercinta - IISIP Jakarta,Education
Yayasan Kanaan,Education
yayasan kanaan nusantara,Education
Yayasan Kanaan/Sekolah Kristen Kanaan Cianjur,Education
Yayasan Kasih Bagi Dunia,Exhibitions / Event management / MICE
Yayasan Kasih Immanuel(Perguruan Methodist Tj. Morawa),Education
Yayasan Kasih Kibar Kreasi Indonesia,Education
Yayasan Kasih Mulia,Healthcare / Medical
Yayasan Kasih Mulia Sejahtera,Non-Profit Organisation / Social Services / NGO
Yayasan Katolik Prasekolah St Aurelia,Education
Yayasan Kehati,Others
Yayasan Kelola,Government/Defence
Yayasan Keluarga Sejahtera,Education
Yayasan Kesatuan,Education
Yayasan Kesehatan Bank Mandiri,Healthcare / Medical
Yayasan Kesehatan Telogorejo,Healthcare/Medical
Yayasan Kesejahteraan Hewan Indonesia (Inaw),Non-Profit Organisation / Social Services / NGO
yayasan kesindo,Non-Profit Organisation / Social Services / NGO
Yayasan Kids Funschool Indonesia,Education
Yayasan Kidsworld Indonesia,Education
Yayasan Komunitas Kasih Indonesia,Education
Yayasan Kopernik,Non-Profit Organisation/Social Services/NGO
Yayasan Kubu Tenang Bali,Healthcare/Medical
Yayasan Kusuma Husada Purwokerto,Education
Yayasan Laroche Preschool,Education
Yayasan Lazuardi Hayati,Education
Yayasan LBH Indonesia,Law / Legal
Yayasan Leadership As Discipleship (LAD),Human Resources Management/Consulting
Yayasan Lembaga Pendidikan Al Firdaus,Education
Yayasan Lembaga Pendidikan AL Firdaus Surakarta,Others
Yayasan Lembaga Pendidikan Islam Al-Hikmah,Education
Yayasan Lembaga Pengembangan CSR Indonesia,Others
Yayasan Lembaga Sertifikasi Profesi Spa Tirtanirwana Indonesia,General & Wholesale Trading
Yayasan Lengis Hijau,Non-Profit Organisation / Social Services / NGO
Yayasan Lentera Unggul,Education
Yayasan Lilli Pilly Indonesia,Education
Yayasan Literasi Anak Indonesia,Non-Profit Organisation/Social Services/NGO
Yayasan Lokal Rute Indonesia,Non-Profit Organisation/Social Services/NGO
"Yayasan LPIA (Pondok Cabe, Pondok Labu)",Education
Yayasan Machiko,Education
Yayasan Maju Langgeng Mitra Bangsa,Education
Yayasan Makarima,Education
Yayasan Manajemen Sukses Internasional (Lembaga Edukasi Sukses),Education
Yayasan Mara Sarz,Education
Yayasan Margaasah Talenta,Education
Yayasan Masji Al Akbar Surabaya,Government / Defence
Yayasan Masyarakat Dan Perikanan Indonesia,Non-Profit Organisation/Social Services/NGO
Yayasan Medica Sejahtera,Hotel/Hospitality
Yayasan Melania Regina,Education
Yayasan Mencerdaskan Anak Bangsa,Education
Yayasan Mencerdaskan Bangsa Indonesia,Education
Yayasan Mentari Indonesia Jaya,Education
Yayasan Mentari Taruna Bangsa,Education
Yayasan Mercu Suar Abadi,Education
Yayasan Meta Edutech,Education
Yayasan MI Al Hasanah,Education
Yayasan MICRA Indonesia,Non-Profit Organisation / Social Services / NGO
Yayasan Miftahul Jannah Cikupa,Education
Yayasan Mitra Industri Mandiri,Construction / Building / Engineering
Yayasan Mitra Kasih Tunas Harapan Bangsa,Education
Yayasan Mitra Netra,Non-Profit Organisation / Social Services / NGO
Yayasan Mitra Sehat (Klinik Mitra Sehat),Healthcare / Medical
Yayasan Modern Kawai Indonesia,Education
Yayasan Moriah,Education
Yayasan Muamalat Institute,Banking / Financial Services
Yayasan Mudra Swari Saraswati,Non-Profit Organisation/Social Services/NGO
Yayasan Muhammad Syahri,Education
YAYASAN MULIA MEISOU INDONESIA,Non-Profit Organisation/Social Services/NGO
Yayasan Multi Data Palembang,Education
Yayasan Mulya Mandiri,Education
Yayasan Murni Sadar (Wilmar Bisnis Indonesia),Education
YAYASAN MUSIK INDONESIA (YMI),Education
Yayasan Musik Jakarta,Education
