Nomor,Tahun,Daerah,,Persentase Suara (%),No Pasangan,Jabatan,Nama,,Jumlah Suara,Persentase Suara (%),,wakil,,,,,
1,2018,Provinsi Bali,Menang,57.62,1,Gubernur,"Dr. Ir. Wayan Koster, M.M.",Menang,1211517,57.62,Menang,FALSE,0,Menang,Menang,,
1,2018,Provinsi Bali,,42.38,2,Gubernur,"Ida Bagus Rai Dharmawijaya Mantra, S.E., M.Si",,891062,42.38,,FALSE,1,,,#VALUE!,
2,2018,Provinsi Jawa Barat,Menang,32.9,1,Gubernur,"H. Mochamad Ridwan Kamil, St., M.U.D",Menang,7236448,32.9,Menang,FALSE,0,Menang,Menang,,
2,2018,Provinsi Jawa Barat,,12.67,2,Gubernur,"Mayjen Tni (Purn.) Dr. H. Hasanuddin, Se., Mm",,2786052,12.67,,FALSE,1,,,,
2,2018,Provinsi Jawa Barat,,28.66,3,Gubernur,"Mayjen Tni (Purn) H. Sudrajat, M.Pa",,6303255,28.66,,FALSE,1,Menang,Menang,,TRUE
2,2018,Provinsi Jawa Barat,,25.78,4,Gubernur,"H. Deddy Mizwar, Se., S.Sn., M.I.Pol",,5669513,25.78,,FALSE,1,,,,
3,2018,Provinsi Jawa Tengah,Menang,59.52,1,Gubernur,"H. Ganjar Pranowo, S.H, M.Ip",Menang,9903485,59.52,Menang,FALSE,0,Menang,Menang,,
3,2018,Provinsi Jawa Tengah,,40.48,2,Gubernur,H. Sudirman Said,,6734913,40.48,,FALSE,1,,,,
4,2018,Provinsi Jawa Timur,Menang,53.56,1,Gubernur,Khofifah Indar Parawansa,Menang,10327690,53.56,Menang,FALSE,0,Menang,Menang,,
4,2018,Provinsi Jawa Timur,,46.44,2,Gubernur,Drs. H. Saifullah Yusuf,,8955979,46.44,,FALSE,1,,,,
5,2018,Provinsi Kalimantan Barat,,13.01,1,Gubernur,"Drs. Milton Crosby, M.Si.",,344006,13.01,,FALSE,0,,,,
5,2018,Provinsi Kalimantan Barat,,39.25,2,Gubernur,Dr. Karolin Margret Natasa,,1037424,39.25,,FALSE,1,Menang,Menang,,
5,2018,Provinsi Kalimantan Barat,Menang,47.74,3,Gubernur,"H. Sutarmidji, S.H., M.Hum.",Menang,1261758,47.74,Menang,FALSE,1,Menang,Menang,,
6,2018,Provinsi Kalimantan Timur,,21.65,1,Gubernur,"Dr. H. Andi Sofyan Hasdam, Sp.S",,288665,21.65,,FALSE,0,,,,
6,2018,Provinsi Kalimantan Timur,,22.71,2,Gubernur,"H. Syaharie Ja'Ang, Sh,M.Si",,302826,22.71,,FALSE,1,Menang,Menang,,
6,2018,Provinsi Kalimantan Timur,Menang,31.29,3,Gubernur,"Dr. Ir. H. Isran Noor, M.Si",Menang,417139,31.29,Menang,FALSE,1,Menang,Menang,,
6,2018,Provinsi Kalimantan Timur,,24.35,4,Gubernur,"Ir. H. Rusmadi, Ms, Ph.D",,324617,24.35,,FALSE,1,,,,
7,2018,Provinsi Lampung,,22,1,Gubernur,"H. Muhammad Ridho Ficardo, M.Si",,934407,22,,FALSE,0,,,,
7,2018,Provinsi Lampung,,24.32,2,Gubernur,"Drs. H. Herman Hasanusi, Mm",,1033159,24.32,,FALSE,1,Menang,Menang,,
7,2018,Provinsi Lampung,Menang,36.77,3,Gubernur,Ir. H. Arinal Djunaidi,Menang,1562020,36.77,Menang,FALSE,1,Menang,Menang,,
7,2018,Provinsi Lampung,,16.9,4,Gubernur,Dr. H. Mustafa,,717974,16.9,,FALSE,1,,,,
8,2018,Provinsi Maluku,,31.76,1,Gubernur,Ir.Said Assagaff,,246583,31.76,,FALSE,0,,,,
8,2018,Provinsi Maluku,Menang,39.49,2,Gubernur,Irjen Pol. (Purn) Drs. Murad Ismail,Menang,306636,39.49,Menang,FALSE,1,Menang,Menang,,
8,2018,Provinsi Maluku,,28.75,3,Gubernur,"Herman Adrian Koedoeboen,Sh.M.Si",,223198,28.75,,FALSE,1,,,,
9,2018,Provinsi Maluku Utara,Menang,31.91,1,Gubernur,Ahmad Hidayat Mus,Menang,176973,31.91,Menang,FALSE,0,Menang,Menang,,
9,2018,Provinsi Maluku Utara,,25.87,2,Gubernur,"Dr. H. Burhan Abdurahman, Sh., Mm.",,143439,25.87,,FALSE,1,,,,
9,2018,Provinsi Maluku Utara,,30.47,3,Gubernur,"Kh. Abdul Gani Kasuba, Lc.",,168946,30.47,,FALSE,1,Menang,Menang,,
9,2018,Provinsi Maluku Utara,,11.75,4,Gubernur,"Dr. H. Muhammad Kasuba, M.A.",,65169,11.75,,FALSE,1,,,,
10,2018,Provinsi Nusa Tenggara Barat,,26.44,1,Gubernur,"H. Moh. Suhaili Fadil Thohir, Sh",,674954,26.44,Menang,FALSE,0,Menang,Menang,,
10,2018,Provinsi Nusa Tenggara Barat,,24.92,2,Gubernur,Tgh. Ahyar Abduh,,636027,24.92,,FALSE,1,,,,
10,2018,Provinsi Nusa Tenggara Barat,Menang,31.79,3,Gubernur,"Dr. H. Zulkieflimansyah, Se, M.Sc",Menang,811489,31.79,Menang,FALSE,1,Menang,Menang,,
10,2018,Provinsi Nusa Tenggara Barat,,16.85,4,Gubernur,H. Moch. Ali Bin Dachlan,,430136,16.85,,FALSE,1,,,,
11,2018,Provinsi Nusa Tenggara Timur,,19.44,1,Gubernur,"Ir. Esthon Leyloh Foenay, M.Si",,447871,19.44,,FALSE,0,,,,
11,2018,Provinsi Nusa Tenggara Timur,,25.34,2,Gubernur,"Marianus Sae, S.Ap",,583794,25.34,Menang,FALSE,1,Menang,Menang,,
11,2018,Provinsi Nusa Tenggara Timur,,20.72,3,Gubernur,"Dr. Benediktus Kabur Harman, Sh",,477252,20.72,,FALSE,1,,,,
11,2018,Provinsi Nusa Tenggara Timur,Menang,34.5,4,Gubernur,Viktor Bungtilu Laiskodat,Menang,794695,34.5,Menang,FALSE,1,Menang,Menang,,
12,2018,Provinsi Papua,Menang,62.36,1,Gubernur,"Lukas Enembe.S.Ip, Mh",Menang,846105,62.36,Menang,FALSE,0,Menang,Menang,,
12,2018,Provinsi Papua,,37.64,2,Gubernur,"Jhon Wempi Wetipo, Sh,. Mh",,51068,37.64,,FALSE,1,,,,
13,2018,Provinsi Riau,,31.87,1,Gubernur,"Drs. H. Syamsuar, M.Si",,720695,31.87,Menang,FALSE,0,Menang,Menang,,
13,2018,Provinsi Riau,,15.91,2,Gubernur,"Muhamad Lukman Edy, M.Si",,35979,15.91,,FALSE,1,,,,
13,2018,Provinsi Riau,,19.27,3,Gubernur,"Dr. H. Firdaus, St.Mt",,435725,19.27,Menang,FALSE,1,Menang,Menang,,
13,2018,Provinsi Riau,Menang,32.96,4,Gubernur,"Ir. H. Arsyadjuliandi Rahman, Mba",Menang,745389,32.96,Menang,FALSE,1,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,27.36,1,Gubernur,H. A. M. Nurdin Halid,,1153814,27.36,Menang,FALSE,0,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,10.03,2,Gubernur,"Ir. H. Agus Arifin Nu'Mang, Ms",,422889,10.03,,FALSE,1,,,,
14,2018,Provinsi Sulawesi Selatan,Menang,43.27,3,Gubernur,"Prof. Dr. Ir. H. M. Nurdin Abdullah, M.Agr.",Menang,1824516,43.27,Menang,FALSE,1,Menang,Menang,,
14,2018,Provinsi Sulawesi Selatan,,19.34,4,Gubernur,"H. Ichsan Yasin Limpo, Sh, Mh",,815316,19.34,,FALSE,1,,,,
15,2018,Provinsi Sulawesi Tenggara,Menang,43.64,1,Gubernur,"H. Ali Mazi, Sh",Menang,495283,43.64,Menang,FALSE,0,Menang,Menang,,
